,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Phi,264,78,20050721155506,20181123215709,unknown
1,212.118.216.43,50,0,20120411183206,20150927092440,unknown
2,Liberal Freemason,45,14,20050627122341,20090713231012,unknown
3,Richard Lenzen,25,25,20121022135829,20190121042203,unknown
4,Asthma,24,7,20051106094711,20100727214732,unknown
5,Wilske,23,13,20111019193036,20140130172234,unknown
6,Eisbaer44,22,15,20051218070541,20111007145028,unknown
7,Polentario,21,0,20090314005248,20111225204923,unknown
8,Widerborst,19,1,20111230110609,20121029121709,unknown
9,Superikonoskop,18,14,20120203104750,20120203122414,unknown
10,Hardenacke,18,10,20120203122546,20190206181100,unknown
11,Sprachfreund49,18,5,20120211102313,20120229235240,unknown
12,Die Winterreise,17,8,20081211212927,20100320093745,unknown
13,Uli 88,15,5,20061020202148,20071209182545,unknown
14,Aka,13,13,20060222180902,20181124123303,unknown
15,Goliath613,13,0,20110815173449,20130827174608,unknown
16,Ajnem,11,4,20090129142431,20090915145140,unknown
17,Captain-C,10,1,20040127114404,20060319190443,unknown
18,Kriddl,10,2,20071012073456,20160309212823,unknown
19,Über-Blick,10,0,20131019152716,20171227221631,unknown
20,Merlinschnee,9,8,20120617031716,20150129094059,unknown
21,Jesusfreund,9,1,20041217192059,20110216075546,unknown
22,Miraki,9,5,20100502163835,20140216144102,unknown
23,Khatschaturjan,9,0,20160703184904,20180916145757,unknown
24,217.50.38.84,9,0,20161207155754,20161207173612,unknown
25,Pjacobi,8,4,20050921181657,20100320135141,unknown
26,62.204.165.222,8,0,20160306123936,20171220180307,unknown
27,Ulrich.fuchs,7,2,20030623155635,20040428115707,unknown
28,Southpark,6,3,20040820200404,20060806121013,unknown
29,Chricho,6,1,20120731140359,20140528165706,unknown
30,Mr. Froude,6,0,20141207144729,20141209023623,unknown
31,82.154.36.208,6,0,20180803164654,20180803165410,unknown
32,84.58.194.32,6,0,20050907000613,20050907004646,unknown
33,193.174.122.17,6,0,20040428114946,20060209185325,unknown
34,Giftzwerg 88,6,4,20120413224103,20140516094518,unknown
35,Stefan64,6,4,20061024134707,20161207173702,unknown
36,Polentarion,6,2,20130601235045,20130826100413,unknown
37,Ot,5,1,20050726112605,20161118053456,unknown
38,Meskin,5,2,20111018202906,20111019142313,unknown
39,Orik,5,1,20101125175549,20120131192119,unknown
40,Alkim Y,5,2,20130826063708,20130826200332,unknown
41,Max Shakhray,5,2,20080426235237,20080427000129,unknown
42,Zwobot,5,5,20031218191250,20041123094158,unknown
43,Pacogo7,5,2,20131212133717,20180803165452,unknown
44,Agathenon,5,3,20071003175805,20130425143310,unknown
45,RoBri,4,4,20180630183922,20181123185937,unknown
46,77.12.95.90,4,0,20130826062506,20130826072729,unknown
47,KarlV,4,1,20070725143215,20161215125906,unknown
48,Foswiki,4,1,20100404232047,20100419000632,unknown
49,Alfons2,4,0,20100316155937,20100316160942,unknown
50,Levante1915,4,2,20161120134448,20161120135644,unknown
51,Robertorizzo,4,3,20081212182139,20081212184714,unknown
52,84.57.73.32,4,0,20041118144715,20041118152015,unknown
53,Benatrevqre,4,2,20101125180915,20131018084140,unknown
54,Peter Gratzer,4,3,20120115201814,20120115203626,unknown
55,Luckas-bot,4,4,20100205153155,20120225220724,unknown
56,217.81.100.59,4,0,20031012225300,20031012230857,unknown
57,217.248.83.168,4,0,20050808221628,20050808223908,unknown
58,Wickie,4,1,20060504071049,20060512132152,unknown
59,House1630,4,1,20080626200419,20080629203417,unknown
60,YurikBot,4,4,20050804105010,20060624132525,unknown
61,Illuminat,4,1,20050626124343,20060405171959,unknown
62,S.K.,4,4,20141209010059,20141209064651,unknown
63,El,4,2,20031024210637,20040430114736,unknown
64,80.129.120.245,3,0,20060315171631,20060315173410,unknown
65,Grauhut,3,0,20061205081744,20061205084412,unknown
66,Uwca,3,3,20091204162415,20100205190924,unknown
67,193.170.53.9,3,0,20050629142325,20050629142721,unknown
68,Griesgram,3,0,20040909022457,20050518094602,unknown
69,Konfitüre,3,0,20131223113950,20140101121653,unknown
70,CommonsDelinker,3,2,20090426214423,20170106080327,unknown
71,WikitanvirBot,3,3,20110321024531,20111223214503,unknown
72,RonMeier,3,3,20111105144958,20111113221009,unknown
73,195.71.16.43,3,0,20161215113849,20161215124335,unknown
74,87.173.59.32,3,0,20171123090923,20171123091432,unknown
75,80.135.199.113,3,0,20050813225741,20050813230656,unknown
76,TNolte,3,3,20071111105221,20071111110348,unknown
77,Schilderwaldmeister,3,0,20181125144154,20190310062345,unknown
78,Calle Cool,3,2,20130524082911,20130524084453,unknown
79,Ziko,3,0,20071001180242,20080209195511,unknown
80,Elektrofisch,3,2,20150416172737,20161215121703,unknown
81,LinkFA-Bot,3,1,20080916053815,20100330154855,unknown
82,Logograph,3,2,20100604084828,20140312183758,unknown
83,RobotQuistnix,3,3,20050826064857,20070423044655,unknown
84,Amga,3,2,20120725091343,20130826074918,unknown
