,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Str1977,26,1,20090921184730,20180302063420,unknown
1,Damei81,19,3,20091027133621,20100630185711,unknown
2,Usquam,18,3,20090908172606,20091102105531,unknown
3,Wikinger86,13,0,20051013213642,20091030002407,unknown
4,TMFS,10,4,20041007143927,20060112202406,unknown
5,Roentgenium111,9,2,20131022221205,20171027224158,unknown
6,EBB,7,4,20050813133842,20060408073943,unknown
7,Benedikt2008,7,0,20110323124649,20180228185352,unknown
8,Zwobot,5,5,20040610231731,20070911221706,unknown
9,Valentin Dietrich,5,3,20051022194115,20060409110221,unknown
10,80.129.105.78,5,0,20051019172436,20051019174143,unknown
11,84.137.201.188,5,0,20060826114137,20060826115116,unknown
12,.Manu.,5,3,20040605222052,20051023214906,unknown
13,217.250.234.179,5,0,20060524234013,20060524235944,unknown
14,Mannerheim,5,1,20080803163946,20090717133354,unknown
15,Informationswiedergutmachung,4,2,20160302032031,20180718223558,unknown
16,Aka,4,4,20060526141446,20171121194707,unknown
17,WikiFreibeuter,4,3,20171024132237,20171024133154,unknown
18,JPB,4,4,20060122212605,20060122215011,unknown
19,193.17.243.1,4,0,20060504062641,20060504063531,unknown
20,Anakin04,4,3,20091027165841,20181124143816,unknown
21,Jesi,4,1,20080803091809,20081013235916,unknown
22,Chef,4,3,20041121163341,20051018144354,unknown
23,Bear,3,1,20030818170538,20030823083805,unknown
24,Diopuld,3,3,20160720231751,20160720232123,unknown
25,Pistazienfresser,3,1,20090717090037,20121212222932,unknown
26,Memorino,3,3,20080819170849,20100326154118,unknown
27,Wetterwolke,3,3,20151018203454,20151128124956,unknown
28,Natura,3,0,20051018115425,20051018115729,unknown
29,Hansbaer,3,2,20060322235347,20131022120211,unknown
30,Mogelzahn,3,2,20050601083709,20131101140400,unknown
31,GeorgR (de),3,3,20051015195842,20051015195959,unknown
32,Derrobin154,3,0,20171024111508,20171024111910,unknown
33,89.50.65.17,3,0,20060407091014,20060407091601,unknown
34,Politics,3,2,20091102102057,20091113125935,unknown
35,WAH,3,2,20061127124458,20090226150121,unknown
36,Horst Gräbner,3,3,20170214162519,20171022131218,unknown
37,84.137.240.40,2,0,20050702210404,20050702211247,unknown
38,217.225.117.129,2,0,20061031221537,20061031221630,unknown
39,2A02:810A:80:19DC:F8E0:A491:269:7CF3,2,0,20150108113804,20150108113910,unknown
40,Sonaz,2,1,20170407175524,20170407175546,unknown
41,Mff,2,2,20060302080939,20070416185516,unknown
42,PortalBot,2,2,20070206204329,20070327024916,unknown
43,MiLuZi,2,1,20131022191345,20131022192242,unknown
44,Underdog06,2,0,20100304093040,20100304093236,unknown
45,217.228.32.104,2,0,20041125195319,20041125195408,unknown
46,Wiegels,2,2,20171107221138,20180302193202,unknown
47,Neun-x,2,0,20161127171136,20161127171625,unknown
48,Yoda1893,2,0,20171024111056,20171024113233,unknown
49,MorbZ-Bot,2,2,20090610132809,20130307052417,unknown
50,SH~dewiki,2,1,20051004120844,20061031173902,unknown
51,RoBri,2,1,20130107135001,20171024070505,unknown
52,62.144.80.91,2,0,20050907122445,20050907122611,unknown
53,Tenorhornist5798,2,0,20170208153130,20180225233447,unknown
54,77.11.223.78,2,0,20120502180324,20120502180838,unknown
55,DerHexer,2,2,20131106103514,20140922190537,unknown
