,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,JD,17,13,20080122132640,20180528134910,unknown
1,Hao Xi,16,10,20080211112251,20100320111645,unknown
2,Phi,15,2,20090829180625,20181125163518,unknown
3,Bunnyfrosch,12,2,20071103142350,20180502152323,unknown
4,Ot,9,1,20080210124707,20190111061753,unknown
5,Gabbahead.,8,5,20060703022433,20100701185041,unknown
6,Regi51,8,8,20080923084530,20180909212831,unknown
7,Agathenon,7,4,20080515212454,20180708163217,unknown
8,Horst Gräbner,7,6,20130506150943,20171128115744,unknown
9,Über-Blick,7,0,20181125145334,20181126000831,unknown
10,Gripweed,6,6,20140726095431,20181126083344,unknown
11,Heliogabel,6,2,20090511210304,20090516153557,unknown
12,172.173.149.108,6,0,20070322150832,20070322150948,unknown
13,Krtek76,5,3,20050307110229,20050411085111,unknown
14,213.163.240.34,5,0,20050821161245,20050821161424,unknown
15,H. 217.83,5,0,20120116233054,20130315065401,unknown
16,Pappenheim,5,1,20140221121029,20170306104928,unknown
17,Pittimann,5,5,20100510080338,20180413080735,unknown
18,Timemaster,5,5,20060226164634,20060322195323,unknown
19,Excolis,5,0,20151106174349,20171008113421,unknown
20,Rmcharb,5,4,20160927122036,20181125170356,unknown
21,Kopilot,5,0,20110801095640,20110801103652,unknown
22,Alnilam,4,4,20130311121312,20160425104731,unknown
23,Jergen,4,3,20070904150506,20120107155719,unknown
24,Mandarinchen,4,0,20080628011223,20080704081527,unknown
25,Zipper5004,4,3,20081216100221,20081216100544,unknown
26,84.177.226.196,4,0,20060907175411,20060907180022,unknown
27,Dundak,4,2,20061225205932,20080730212202,unknown
28,ESNRZ,4,2,20070619061518,20070813020736,unknown
29,Steschke,4,4,20050506142646,20071217181458,unknown
30,€pa,4,2,20090826004212,20090830082748,unknown
31,84.141.252.78,4,0,20060102114342,20060102115436,unknown
32,Philosemitischer Pantheist,3,0,20161122160230,20161122160311,unknown
33,Hoiroix,3,3,20060424235530,20060427045324,unknown
34,Welfing,3,0,20140721020425,20140721021041,unknown
35,Aka,3,3,20140825125219,20160323003226,unknown
36,Pntkrts101,3,1,20121206150512,20121206150746,unknown
37,69.58.42.90,3,0,20170530213554,20170530214257,unknown
38,Peter200,3,3,20120326074830,20130212140825,unknown
39,Gustav von Aschenbach,3,2,20090829183408,20151008203549,unknown
40,Macador,3,3,20050322095152,20050611114550,unknown
41,BurghardRichter,3,3,20110512091344,20190111204332,unknown
42,Schaengel89,3,1,20050611074418,20050611080513,unknown
43,Menphrad,3,3,20071220094234,20071220094635,unknown
44,Antemister,3,1,20110620192536,20120315193057,unknown
45,84.137.149.125,3,0,20070223201735,20070223202010,unknown
46,Serols,3,3,20160317135317,20181214122528,unknown
47,Notebook,3,0,20060721051952,20070306092828,unknown
48,62.158.4.160,3,0,20050322141405,20050322155126,unknown
49,87.193.20.235,3,0,20060519153158,20060519153826,unknown
50,213.135.10.58,3,0,20160425104724,20160425105034,unknown
51,Gunnar.offel,3,3,20160213045001,20160213050952,unknown
52,79.195.255.94,3,0,20110627120459,20110627120632,unknown
53,LKD,3,3,20060524082807,20100210093339,unknown
54,MerlIwBot,3,3,20120718122717,20120911003530,unknown
55,Oberfoerster,3,3,20100913093354,20130531081225,unknown
56,Dirkb,3,1,20130418123519,20130726125338,unknown
57,MIB4u,2,0,20180903191041,20180903192313,unknown
58,Itti,2,2,20140606210401,20141121120546,unknown
59,79.247.29.111,2,0,20151114162423,20151114162439,unknown
60,213.7.89.126,2,0,20051102003233,20051102003414,unknown
61,83.121.13.126,2,0,20061014133758,20061014133958,unknown
62,77.184.55.69,2,0,20080514233359,20080514233503,unknown
63,87.138.163.76,2,0,20170530095945,20170530100125,unknown
64,Zahnputzbecher,2,2,20171128110048,20180306100002,unknown
65,212.65.1.102,2,0,20060811123748,20060925071202,unknown
66,95.90.223.133,2,0,20171112205123,20171112205640,unknown
67,Hedwig in Washington,2,2,20061112082232,20070227212829,unknown
68,Martin1978,2,1,20120208195559,20120503071120,unknown
69,Carol.Christiansen,2,2,20110511131458,20120406182213,unknown
70,80.130.63.44,2,0,20130109143238,20130109143538,unknown
71,85.178.138.107,2,0,20131117011429,20131117011531,unknown
72,Cherubino,2,1,20050925142627,20050925143016,unknown
73,84.189.218.38,2,0,20060503112047,20060503112203,unknown
74,132.252.173.15,2,0,20150116082353,20150116082432,unknown
75,84.136.84.220,2,0,20081104125357,20081104125519,unknown
76,Siebi,2,0,20180103223616,20180106133815,unknown
77,Flothi,2,2,20050605210336,20050814225736,unknown
78,Iwesb,2,2,20170305093202,20180923052447,unknown
79,Mcm1802,2,1,20100727071736,20100727073440,unknown
80,Wahldresdner,2,2,20120315193113,20120316084732,unknown
81,Geitost,2,2,20090611133519,20091011210207,unknown
82,Marinus Draza Sakic,2,0,20161125183007,20161125183222,unknown
83,NsMn,2,0,20110620190228,20120128175113,unknown
84,Exoport,2,2,20130115191314,20130212095450,unknown
85,Halleroni,2,1,20071107091931,20071107092208,unknown
86,Urgelein,2,1,20140424151045,20140430154145,unknown
87,Toscout,2,2,20140221115342,20140412100533,unknown
88,Kite DH,2,0,20090222035808,20090318194643,unknown
89,Zindigus,2,2,20130726122618,20130726123025,unknown
90,Ichneumon,2,0,20101127002245,20101209122904,unknown
91,Parachute,2,1,20060923154749,20070410151307,unknown
92,80.130.179.189,2,0,20100115001957,20100115002202,unknown
93,91.65.40.9,2,0,20080902142021,20080902142257,unknown
94,62.2.200.98,2,0,20170106142532,20170106142716,unknown
95,Baird's Tapir,2,2,20100706183842,20100917140749,unknown
96,MorbZ-Bot,2,2,20130226224700,20130809152943,unknown
97,84.136.205.1,2,0,20071126114343,20071126114702,unknown
98,Spuk968,2,2,20100517095535,20130422104153,unknown
99,ErhardSiller,2,1,20180902185133,20180911155013,unknown
100,77.178.54.124,2,0,20070227212552,20070227212720,unknown
101,Se4598,2,2,20130109143248,20130109143543,unknown
102,RoGa,2,2,20180619134636,20180620074010,unknown
103,Dubium,2,2,20110918135529,20120605232526,unknown
104,72.131.32.92,2,0,20130709070951,20130722075507,unknown
105,Snoopy1964,2,2,20150116082412,20150116082441,unknown
106,Viciarg,2,2,20181128123342,20190305082222,unknown
107,212.185.80.6,2,0,20120428051138,20120428051226,unknown
108,Gruni07,2,0,20120323072317,20120323080004,unknown
109,Ellipse,2,2,20100629131139,20101124232725,unknown
110,93.208.153.130,2,0,20130212095245,20130212095340,unknown
111,77.3.120.122,2,0,20151008203002,20151008203137,unknown
112,Firefly333,2,1,20060426214631,20060426214651,unknown
113,Seewolf,2,2,20070108193140,20180604144345,unknown
114,Ilja Lorek,2,2,20141031093348,20141031093828,unknown
115,217.254.114.84,2,0,20060817104850,20060817104926,unknown
116,Baumfreund-FFM,2,0,20070613193351,20070706100201,unknown
117,Kaiser Bob,2,1,20080210155915,20080211134655,unknown
118,91.4.69.135,2,0,20100708214820,20100708214850,unknown
119,109.84.0.7,2,0,20120314044217,20120315040138,unknown
120,Sinn,2,2,20071126114350,20071126114709,unknown
121,62.47.53.187,2,0,20060628200838,20060628200855,unknown
122,Codc,2,2,20080604172642,20110512221059,unknown
123,84.167.125.209,2,0,20051005125545,20051005125626,unknown
124,AERA-History,2,0,20190111052459,20190111052727,unknown
125,Ciciban,2,0,20070219181610,20070219193028,unknown
126,GelöschterBenutzer77977,2,2,20120818155535,20120820184959,unknown
127,Taadma,2,2,20080508192601,20080508193423,unknown
128,Asthma,2,1,20060910145748,20071015220946,unknown
129,79.200.107.13,2,0,20100904094655,20100904094721,unknown
130,84.139.116.95,2,0,20171128110034,20171128110544,unknown
131,Logograph,2,2,20061122203540,20171123074823,unknown
132,88.76.38.156,2,0,20080119012840,20080119013037,unknown
133,Merkið,2,1,20140702095619,20140827055710,unknown
134,Kuhlo,2,2,20070322150907,20070322150927,unknown
135,84.129.67.98,2,0,20130212140748,20130212140813,unknown
136,Blunt.,2,2,20080621143709,20081113192422,unknown
137,Natsu Dragoneel,2,0,20151008203019,20151008203155,unknown
138,193.171.131.229,2,0,20170927103100,20170927103154,unknown
139,Qniemiec,2,2,20111112132928,20111112133006,unknown
140,Sirlarge,2,0,20081118095354,20081118095913,unknown
141,MyContribution,2,2,20170616141505,20180914202357,unknown
142,Unusually Weird Nibba,2,0,20180604144027,20180604144227,unknown
143,83.124.41.226,2,0,20060926195843,20060926201009,unknown
144,84.39.70.145,2,0,20181214122202,20181214122513,unknown
145,141.90.2.107,2,0,20060907091043,20060907092152,unknown
146,85.183.208.108,2,0,20061225200821,20061225200954,unknown
147,Evr,2,0,20090919190325,20090919190411,unknown
148,Rotten Bastard,2,0,20060306195839,20071225134053,unknown
149,80.142.98.154,1,0,20061119170759,20061119170759,unknown
150,80.88.21.17,1,0,20120315081644,20120315081644,unknown
151,84.58.205.220,1,0,20070422212901,20070422212901,unknown
152,84.179.101.65,1,0,20071211210703,20071211210703,unknown
153,217.87.241.92,1,0,20080730212153,20080730212153,unknown
154,Punker,1,0,20050325152702,20050325152702,unknown
155,Teddy1503,1,1,20090609161926,20090609161926,unknown
156,LaWa,1,0,20051113235443,20051113235443,unknown
157,88.76.116.123,1,0,20100619152528,20100619152528,unknown
158,86.56.156.137,1,0,20171008173525,20171008173525,unknown
159,SEppl,1,1,20060629104208,20060629104208,unknown
160,93.207.249.104,1,0,20110618012236,20110618012236,unknown
161,80.226.0.1,1,0,20120113224853,20120113224853,unknown
162,84.168.229.228,1,0,20070316231228,20070316231228,unknown
163,79.251.120.18,1,0,20130115191307,20130115191307,unknown
164,Die silberlocke,1,0,20071103182102,20071103182102,unknown
165,Master of mtb,1,0,20140327071753,20140327071753,unknown
166,79.236.235.117,1,0,20140109074610,20140109074610,unknown
167,88.70.140.120,1,0,20080610160049,20080610160049,unknown
168,130.180.38.50,1,0,20150804164843,20150804164843,unknown
169,Dein Freund der Baum,1,1,20090131212617,20090131212617,unknown
170,91.43.22.111,1,0,20160827074557,20160827074557,unknown
171,Savin 2005,1,1,20100502183720,20100502183720,unknown
172,2003:D2:93D5:A200:B5B0:4ABD:5415:3123,1,0,20170705184825,20170705184825,unknown
173,80.171.18.219,1,0,20060519161850,20060519161850,unknown
174,Krdbot,1,0,20110306122743,20110306122743,unknown
