,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Hao Xi,318,194,20080204214259,20141229090818,unknown
1,Jesusfreund,242,47,20050109015704,20090416185648,unknown
2,BurghardRichter,60,36,20100415180029,20181209215159,unknown
3,Klaus Frisch,40,16,20120316213220,20121126082146,unknown
4,Ulitz,34,14,20051231121118,20120505162916,unknown
5,Reinhard Wenig,31,7,20090410090640,20110811184856,unknown
6,Boris Fernbacher,27,0,20070524094940,20070814053536,unknown
7,Micha81,26,3,20100714092821,20100715044143,unknown
8,Benatrevqre,21,6,20070422220312,20071026224234,unknown
9,Shoshone,21,2,20060522130453,20060523110949,unknown
10,Jeldrik,18,6,20051231105352,20060130222634,unknown
11,The Brainstorm,16,3,20090408172545,20170723111724,unknown
12,Fiat tux,16,0,20090302090040,20120218172103,unknown
13,Aka,16,16,20051229185322,20180813204028,unknown
14,Rosa Liebknecht,16,1,20070525194517,20070526080242,unknown
15,KarlV,15,6,20060504134932,20121211141546,unknown
16,Emkaer,15,5,20080630092355,20080708093219,unknown
17,217.84.176.153,15,0,20060522144649,20060522170734,unknown
18,Natzel,14,2,20080205020612,20080205150248,unknown
19,Tsui,14,3,20050408231752,20070525213519,unknown
20,Giro,14,7,20061012220921,20070127170622,unknown
21,85.74.166.238,14,0,20050202010750,20050202013401,unknown
22,Marcus Schätzle,13,8,20080213231523,20080214181517,unknown
23,S-b,12,2,20080725185543,20090416201512,unknown
24,Braveheart,12,1,20051015011230,20080706144000,unknown
25,Dingo,12,1,20050110212357,20050812165119,unknown
26,EscoBier,12,1,20070522144120,20080504054305,unknown
27,Dbachmann,11,2,20071025134732,20071030105818,unknown
28,Arcy,11,1,20080222210319,20101228211742,unknown
29,Endless78,11,0,20080312111346,20080325090220,unknown
30,3mnaPashkan,11,0,20160116003734,20181019093659,unknown
31,Zumbo,11,6,20040406190730,20040819224637,unknown
32,Heinzi.at,10,2,20080506071817,20081122162020,unknown
33,Fossa,10,4,20060816152500,20090923012252,unknown
34,Gabbahead.,10,8,20060708232608,20080504143354,unknown
35,Stefan64,9,5,20050606092653,20080607021249,unknown
36,Richarddd,9,6,20071113104239,20080211120122,unknown
37,Kristallschädel,9,0,20051022060240,20051022104235,unknown
38,Subversiv-action,9,1,20041106230159,20050729214135,unknown
39,Stefan Bellini,9,5,20121114221458,20131222101036,unknown
40,Eintragung ins Nichts,9,1,20071014153727,20090630130854,unknown
41,Southpark,8,5,20040120175821,20050314180403,unknown
42,Miltrak,8,0,20140621002343,20160125005901,unknown
43,Anamcaran,8,0,20050408160805,20050408173913,unknown
44,212.118.216.43,8,0,20121218165622,20121221103843,unknown
45,Der Standortälteste,8,0,20121125213407,20121126080903,unknown
46,Lung,8,5,20050202011327,20070526084516,unknown
47,Mannerheim,8,2,20080726092224,20090924120155,unknown
48,Hamburg322,8,0,20150429181229,20150607170304,unknown
49,Oberlaender,8,0,20080311152558,20080319145902,unknown
50,Q-ß,7,1,20090315190554,20150325090000,unknown
51,Leonhardt,7,0,20060525060835,20060526101242,unknown
52,Stammzelle,7,3,20080312174613,20080312190045,unknown
53,Schreibvieh,7,0,20080522122445,20080628153716,unknown
54,Almeida,7,7,20060619144442,20090220064119,unknown
55,Der Ultraweise,6,1,20070610213822,20070613183947,unknown
56,790,6,0,20050213034614,20080213093521,unknown
57,Fräggel,6,0,20080312175255,20080521163959,unknown
58,RokerHRO,6,5,20050330171534,20050915073058,unknown
59,Asthma,6,3,20060906223103,20101212060055,unknown
60,Ot,6,3,20060130062354,20130130071221,unknown
61,Vinci,6,6,20041017131240,20041017132704,unknown
62,Scooter,6,2,20051019103825,20080630223623,unknown
63,Lucarelli,6,6,20080215132140,20080215133456,unknown
64,Captain-C,6,2,20040505183808,20051013080655,unknown
65,Griesgram,6,0,20050408115137,20050408173853,unknown
66,Jesi,5,0,20080327014325,20150730154002,unknown
67,Dietrich,5,0,20071021070330,20170612100637,unknown
68,Elisabeth59,5,2,20101207043105,20101209051405,unknown
69,Meffo,5,1,20091220070449,20100223174951,unknown
70,Patavium,5,2,20090430214000,20090515113455,unknown
71,Reni Tenz,5,0,20100114175246,20110811124600,unknown
72,Polizeiliche Kriminalprävention,5,0,20060926083347,20070216100701,unknown
73,Mitteleuropäer,5,1,20061021055911,20070525201634,unknown
74,Ratz Faz,5,1,20120921164944,20130619155214,unknown
75,Florian Korsch,5,1,20100112085811,20100112091836,unknown
76,Stefanbw,5,0,20111115113209,20121015194454,unknown
77,Rita2008,5,0,20110125132924,20140612175843,unknown
78,D,5,5,20040823222347,20060108123159,unknown
79,Hungchaka,5,4,20170813145426,20180211175655,unknown
80,Pulekumrimatuzamzibo,5,0,20070609015752,20070610185836,unknown
81,Malik17,5,2,20080624094353,20090307235447,unknown
82,Molily,4,4,20051022165844,20051022184842,unknown
83,Mnh,4,4,20060524084317,20061017071324,unknown
84,CommonsDelinker,4,3,20090112173520,20160120160934,unknown
85,80.121.27.156,4,0,20051018182935,20051018203245,unknown
86,Luke081515Bot,4,0,20161103205511,20161124215933,unknown
87,Lokalpatriot-Tegel,4,0,20070102144431,20070103190546,unknown
88,212.93.25.165,4,0,20060108122215,20060108122748,unknown
89,Horst Gräbner,4,3,20130117075344,20180928095829,unknown
90,Uwe Gille,4,4,20061018105904,20071209114213,unknown
91,Objekt,4,0,20070416103229,20080106150551,unknown
92,Dr. Manuel,4,1,20100818160953,20120602130308,unknown
93,Hubertl,4,1,20060108122412,20060410062542,unknown
94,CocuBot,4,4,20110604233355,20110625194602,unknown
95,Exa,4,3,20060419183058,20060419185101,unknown
96,Sprachpfleger,4,3,20100909211602,20150710201901,unknown
97,Stern,4,0,20050613181359,20050613181536,unknown
98,Mangostin,4,1,20080402210511,20080403140227,unknown
99,Kopilot,4,0,20161007070611,20181208221944,unknown
100,AF666,4,0,20060121184134,20070130171130,unknown
101,WinfriedSchneider,4,4,20190208194952,20190212222011,unknown
102,Dateientlinkerbot,4,0,20160408190318,20181226151614,unknown
103,TobiasKlaus,4,2,20100402105229,20100715054030,unknown
104,KastusK,4,0,20150709173148,20170613195424,unknown
105,Negative Konnotation,4,3,20090106183913,20090303132021,unknown
106,Golden State,4,3,20051215231832,20060513125517,unknown
107,84.151.113.211,4,0,20051206131240,20051206131500,unknown
108,Jergen,4,3,20051031181233,20080427161201,unknown
109,Anamnesis,4,2,20070715150123,20070719135228,unknown
110,Gustav von Aschenbach,4,3,20071206125530,20190124165348,unknown
111,Zwobot,4,4,20040908100001,20090830014454,unknown
112,Uuu87,4,3,20070112052534,20070112052955,unknown
113,S.Didam,4,1,20061006130138,20140128172956,unknown
114,U-96,4,4,20090402234718,20090416082346,unknown
115,Gary Dee,4,2,20101206140335,20101228211214,unknown
116,Jhartmann,4,2,20051117195152,20051117195414,unknown
117,Der Stachel,4,0,20070415133623,20070611234649,unknown
118,84.158.111.90,4,0,20060214090512,20060214090734,unknown
119,212.65.1.75,3,0,20060922055022,20060922055213,unknown
120,Jordi,3,0,20170523130300,20181209014009,unknown
121,PDD,3,1,20061026064602,20070821162943,unknown
122,Rufus46,3,3,20060628114535,20070525093044,unknown
123,Bunnyfrosch,3,0,20060117204808,20080312182334,unknown
124,THWZ,3,3,20080701163105,20080701164108,unknown
125,Varp,3,0,20050816091235,20050816092458,unknown
126,212.6.108.141,3,0,20040217153746,20040217154205,unknown
127,JD,3,1,20100501113951,20180929163718,unknown
