,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,3mnaPashkan,95,0,20150822093234,20190304184617,unknown
1,Toter Alter Mann,88,66,20100919232112,20140601135543,unknown
2,Braveheart,32,5,20100327220009,20180510224135,unknown
3,Carolus.Abraxas,18,5,20131121204639,20141010200542,unknown
4,KorrekTOM,14,9,20150921130032,20160310123326,unknown
5,Häuslebauer,13,5,20080818175428,20171206114050,unknown
6,Bond491,13,0,20160807202312,20171201225818,unknown
7,BuschBohne,13,9,20161212153612,20180911013347,unknown
8,Benatrevqre,12,5,20101012153943,20110521101528,unknown
9,Allander,12,3,20161121133335,20180828173310,unknown
10,Mrdaemon,11,6,20111101162201,20181008201549,unknown
11,Phi,10,1,20130401083246,20180828172934,unknown
12,Msuess,9,9,20111118073724,20111212121128,unknown
13,Stefanbw,9,0,20121202233700,20160121225338,unknown
14,EH⁴²,9,3,20101006165508,20140507163454,unknown
15,Drüfft,8,8,20171112173149,20180321120305,unknown
16,Ulitz,8,5,20110830213708,20170924182732,unknown
17,Jensbest,8,0,20161026165444,20171126095848,unknown
18,Neun-x,7,0,20101102082414,20161118220016,unknown
19,Sprachpfleger,7,4,20110907204021,20151105083314,unknown
20,Mme Mim,7,7,20100920054653,20100930211149,unknown
21,Bujo,6,1,20141010114427,20181008143855,unknown
22,Dateientlinkerbot,6,0,20161106122618,20180914162206,unknown
23,CommonsDelinker,6,2,20110506195215,20180118220610,unknown
24,JosFritz,6,1,20121204074729,20180825221711,unknown
25,In dubio pro dubio,6,5,20110606172629,20170225004321,unknown
26,Bunnyfrosch,6,4,20100924161614,20131204224500,unknown
27,Lektor w,6,1,20160512031838,20160521040318,unknown
28,89.182.217.5,5,0,20110606171251,20110606173058,unknown
29,Braganza,5,0,20170824094613,20170930065016,unknown
30,Nonkonformisten,5,3,20101112025319,20101112110047,unknown
31,Rmcharb,5,3,20150716202943,20180411155552,unknown
32,Plk,5,3,20140916152623,20161026182715,unknown
33,Aka,5,5,20110425165001,20181026193542,unknown
34,Hardenacke,5,0,20170807194001,20181123093255,unknown
35,Europrofiti,4,0,20120720143335,20130314010646,unknown
36,80.187.113.76,4,0,20151128103554,20151128104409,unknown
37,Sitacu,4,3,20170111162614,20170701142012,unknown
38,Pappenheim,4,1,20101005103558,20150423205630,unknown
39,Imagrabber,4,0,20150507141905,20150507142215,unknown
40,Benqo,4,0,20151009134907,20171107214302,unknown
41,Geitost,4,3,20100926203007,20100926212455,unknown
42,Alkim Y,4,2,20110715213416,20130613090416,unknown
43,Mateo K 01,4,0,20171102094215,20180105002312,unknown
44,Andy king50,3,2,20170430130254,20170430131842,unknown
45,188.146.75.228,3,0,20151104093138,20151104093738,unknown
46,212.123.27.66,3,0,20110510144238,20110519090959,unknown
47,Petruz,3,3,20171109082512,20171113075739,unknown
48,Eishöhle,3,2,20140506193034,20140520080009,unknown
49,Blogotron,3,2,20101011120135,20101102140049,unknown
50,Schotterebene,3,3,20140520061057,20181026084417,unknown
51,Zaphiro,3,3,20100920232326,20100926205915,unknown
52,JonskiC,3,1,20180305205045,20180828173605,unknown
53,Pittimann,3,3,20110606173132,20160226083430,unknown
54,Seewolf,3,3,20111114103047,20151102083722,unknown
55,178.11.6.29,3,0,20180802091634,20180802092503,unknown
56,Centenier,3,2,20160306155840,20160708090916,unknown
57,Mamicale,3,1,20130630125728,20130630151546,unknown
58,Amadeu Antonio Stiftung,2,0,20140506152732,20140507094016,unknown
59,178.189.182.83,2,0,20150616174254,20150616174526,unknown
60,2A02:120B:2C2C:94A0:28BD:50E2:3FB4:D23D,2,0,20170430130211,20170430130645,unknown
61,Ute Erb,2,2,20121226102548,20140304083225,unknown
62,Dbachmann,2,0,20151009113101,20151009113138,unknown
63,Gr1,2,0,20170925094420,20170925094713,unknown
64,Genosse Gorbatschow,2,0,20170811155924,20170811162552,unknown
65,Waru x,2,0,20161008120537,20161009181339,unknown
66,Standarte Eins,2,0,20130330115424,20130330115600,unknown
67,Politbildung,2,0,20110419123444,20110608210330,unknown
68,Cekay,2,2,20140206111149,20140206111224,unknown
69,176.94.42.86,2,0,20160614121318,20160614122521,unknown
70,Luckas-bot,2,2,20110919192619,20110926110513,unknown
71,Wisdom cough,2,0,20180801021423,20180803161621,unknown
72,Squasher,2,2,20161111185137,20161111185222,unknown
73,Nuuk,2,0,20160125092305,20160128073947,unknown
74,91.1.214.23,2,0,20181008100529,20181008100545,unknown
75,84.143.169.57,2,0,20110106170224,20110106170409,unknown
76,Actualicante,2,0,20151102070432,20151102070610,unknown
77,Rita2008,2,0,20110802152505,20130630153236,unknown
78,El Duende,2,1,20110421111715,20110421111740,unknown
79,Ataraxis1492,2,0,20130506013301,20130526021707,unknown
80,Horst Gräbner,2,1,20150616174541,20161002135812,unknown
81,2A02:1206:45C0:630:9C44:6AE4:ACBC:AC4C,2,0,20160708085729,20160708090836,unknown
82,Arise13,2,0,20170329130120,20170413121259,unknown
83,Bisam,2,1,20171031223810,20171102212429,unknown
84,Haplochromis,2,1,20120104141002,20151104093921,unknown
85,Sprachfreund49,2,0,20110418173402,20110908121058,unknown
86,Snoopy1964,2,2,20151201100337,20160614122553,unknown
87,Senechthon,2,2,20160530210256,20171230181237,unknown
88,RedBot,2,2,20120611160304,20120816194259,unknown
89,Giftpflanze,2,2,20140315133033,20140315135048,unknown
90,Zigomer trubahin,2,0,20160115214735,20160115215139,unknown
91,MorbZ-Bot,2,2,20130225003103,20130324155011,unknown
92,Kiepski1,2,0,20151120214152,20151228112246,unknown
93,Wiegels,2,2,20101117210505,20151027214147,unknown
94,Logograph,2,0,20110515121452,20110515123121,unknown
95,77.4.79.187,1,0,20181228095027,20181228095027,unknown
96,92.73.152.166,1,0,20150804204638,20150804204638,unknown
97,JuTe CLZ,1,0,20160128060935,20160128060935,unknown
98,Dschanz,1,1,20100921143825,20100921143825,unknown
99,Ama von und zu,1,1,20161016191344,20161016191344,unknown
100,º the Bench º,1,1,20110418183655,20110418183655,unknown
101,RonMeier,1,1,20170531073823,20170531073823,unknown
