,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Apple tree1234,16,14,20181018002506,20190111202641,unknown
1,KorrekTOM,9,5,20151118134639,20190110222538,unknown
2,Olaf Kosinsky,6,3,20150212174918,20190303201350,unknown
3,Falkmart,6,0,20151122103209,20180729165547,unknown
4,Aka,6,6,20110915172931,20190127204935,unknown
5,Burstwings~dewiki,5,0,20100820190259,20100820191057,unknown
6,TMFS,5,0,20050825200632,20070517121231,unknown
7,Andreastischler,5,3,20131213224657,20131213225801,unknown
8,Sevenidea65,5,0,20100810085704,20100812085229,unknown
9,RoBri,4,4,20180711153850,20180723193329,unknown
10,KMoEH,3,0,20110905092629,20110915120853,unknown
11,84.130.136.170,3,0,20151117182957,20151117183830,unknown
12,Etmot,3,2,20130924072716,20130924072839,unknown
13,Hardenacke,3,3,20081013185141,20110918163314,unknown
14,Urgelein,2,0,20151117140310,20151117140920,unknown
15,Muns,2,0,20160416220715,20160416220800,unknown
16,Rudolph Buch,2,2,20130416213638,20130910061558,unknown
17,Indeedous,2,0,20130429140202,20140109212943,unknown
18,2.247.249.234,2,0,20180723090152,20180723090506,unknown
19,Groupsixty,2,1,20180707193200,20180707194944,unknown
20,Seewolf,2,2,20100823122941,20100823123015,unknown
21,ANKAWÜ,2,2,20160416072404,20160416072619,unknown
22,Sebbot,2,0,20121004171002,20150213064157,unknown
23,Jck,2,0,20060316150601,20060316150713,unknown
24,2003:C9:BE8:DC36:C814:922D:1511:EDB4,2,0,20180723092917,20180723093206,unknown
25,Scooter,2,2,20051202233125,20070419211911,unknown
26,Erdic,2,1,20170516102936,20170516104810,unknown
27,Pelz,2,2,20110125220441,20111201224841,unknown
28,Stepro,2,0,20180408222644,20181201164232,unknown
29,Dietrich,2,0,20160416075630,20160416075731,unknown
30,31.18.140.119,2,0,20180711153421,20180711153713,unknown
31,Ruge,2,0,20180724164422,20180725153514,unknown
32,2A02:908:191:5FA0:9C28:5AB3:344B:B31C,1,0,20180723123742,20180723123742,unknown
33,PsY.cHo,1,1,20070324144023,20070324144023,unknown
34,145.253.32.3,1,0,20091125125006,20091125125006,unknown
35,Simpsonsfan2,1,0,20091216002920,20091216002920,unknown
36,InternetArchiveBot,1,0,20180325130809,20180325130809,unknown
37,84.58.153.22,1,0,20060316213315,20060316213315,unknown
38,2A0A:DC07:0:2:0:0:0:1,1,0,20180723054655,20180723054655,unknown
39,Cherämon,1,1,20180708125556,20180708125556,unknown
40,Inkowik,1,0,20100820191059,20100820191059,unknown
41,BrankoJ,1,1,20180722190923,20180722190923,unknown
42,109.41.193.157,1,0,20180309001305,20180309001305,unknown
43,Hannes Röst,1,0,20100820114824,20100820114824,unknown
