,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,TMFS,16,6,20031117203007,20080208232420,unknown
1,SamWinchester000,12,0,20171109213356,20180810081111,unknown
2,Oreg,10,6,20080113044751,20090305143329,unknown
3,Nicolai P.,9,1,20120309114937,20130212132312,unknown
4,N.Eschenhagen,8,4,20100928114241,20170402161240,unknown
5,Cyve,6,0,20160721091624,20160721112459,unknown
6,Osika,5,1,20091022150715,20101022211858,unknown
7,Sargoth,5,3,20101022212301,20101023094336,unknown
8,SchnitteUK,4,0,20101021095804,20101021100303,unknown
9,Olaf Kosinsky,4,0,20130203174344,20170921194635,unknown
10,Sebbot,4,0,20061218102059,20130212140340,unknown
11,Anathema,4,3,20040319110127,20040921083938,unknown
12,Holiday,4,0,20121102111015,20121102174318,unknown
13,Sir James,4,4,20110831121634,20110919180608,unknown
14,91.39.231.45,4,0,20090226130251,20090226130602,unknown
15,Schotterebene,3,3,20170404050247,20180527131154,unknown
16,79.217.110.1,3,0,20091202130210,20091202130720,unknown
17,Amilamia,3,2,20110218175849,20110724105941,unknown
18,217.231.233.118,3,0,20040319110014,20040319112217,unknown
19,Franz Jäger Berlin,3,0,20101103133400,20101107175745,unknown
20,Aktionsbot,3,3,20071003140532,20111117181442,unknown
21,David Wintzer,3,3,20160118130308,20180104094208,unknown
22,Zollernalb,3,3,20100315213628,20101112101741,unknown
23,212.202.41.238,3,0,20050929175007,20050929175612,unknown
24,T. Schmidbauer,3,2,20050720183723,20050928102105,unknown
25,=,3,1,20110919014333,20110919014846,unknown
26,Felix Stember,3,2,20051119090307,20101022212213,unknown
27,84.133.31.60,2,0,20111010191428,20111010191826,unknown
28,Jed,2,2,20040207150935,20051015211202,unknown
29,Mocy,2,1,20101105231811,20101105232342,unknown
30,Otto,2,1,20021216155028,20021216155204,unknown
31,Neun-x,2,0,20120820062731,20170911195134,unknown
32,Itti,2,2,20140205083857,20140313180314,unknown
33,89.56.254.176,2,0,20061208194953,20061208195012,unknown
34,Jhartmann,2,0,20080930123354,20080930123435,unknown
35,80.145.35.62,2,0,20120507090849,20120507091013,unknown
36,Ephraim33,2,0,20090821174225,20100320101147,unknown
37,Triesenberger,2,0,20110421151620,20110421151657,unknown
38,Jivee Blau,2,2,20150422221428,20160325150426,unknown
39,Kuebi,2,0,20170107191446,20170107191659,unknown
40,Bautsch,2,0,20121017081358,20140207082229,unknown
41,91.13.86.236,2,0,20090921104731,20090921105111,unknown
42,Miebner,2,0,20110521065259,20110728193720,unknown
43,Clemenceau,2,0,20041112093908,20041112105306,unknown
44,Stefan,2,2,20050927151043,20051004165245,unknown
45,KastusK,2,0,20130822191949,20130822192454,unknown
46,85.178.45.43,2,0,20060831225514,20060831230334,unknown
47,Pm,2,1,20040411083603,20040411083752,unknown
48,91.23.19.136,2,0,20111019092040,20111019092122,unknown
49,Jjkorff,2,0,20060602152711,20060602152817,unknown
50,Vinci,2,0,20030113022256,20030113024254,unknown
51,217.245.30.198,2,0,20050101014721,20050101014758,unknown
52,Sujalajus,2,1,20130924112134,20130924173520,unknown
53,Arne List,2,0,20090915074824,20090915202455,unknown
54,213.61.190.204,2,0,20050924040448,20050924040518,unknown
55,CaratNaturelle,2,0,20170901165755,20170901165827,unknown
