,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,TMFS,30,15,20031106000604,20080602112242,unknown
1,MAY,18,1,20051101223729,20161215010705,unknown
2,Besenwesen,16,13,20040929001628,20050426201432,unknown
3,Mhvn,15,5,20090907084354,20120914172358,unknown
4,Dietrich,12,0,20070428215937,20070429105022,unknown
5,Ot,12,4,20050619081638,20121028065937,unknown
6,Falkmart,11,0,20110206122920,20140620183442,unknown
7,Sir James,9,7,20081225143118,20150127211543,unknown
8,Aka,9,9,20050510084313,20150131170346,unknown
9,Bvo66,9,4,20081014191618,20110602230609,unknown
10,Luckas-bot,8,8,20100424130510,20120405151707,unknown
11,217.235.223.147,7,0,20050214115200,20050214115703,unknown
12,David Wintzer,7,6,20040816165640,20150217160542,unknown
13,Tuutor,7,3,20090305172405,20120102145404,unknown
14,Calvin Ballantine,6,2,20051007122758,20070613112954,unknown
15,Mirer,6,2,20040806013653,20041004174820,unknown
16,80.132.220.56,6,0,20150201011151,20150201083357,unknown
17,130.133.8.114,6,0,20070628142134,20071001184401,unknown
18,Zwobot,6,5,20040208174836,20080111022608,unknown
19,GT1976,6,0,20081222040126,20160326062848,unknown
20,BurghardRichter,6,0,20150201104602,20150201201424,unknown
21,217.237.91.49,6,0,20050508205511,20050508211230,unknown
22,62.153.71.162,5,0,20051205114335,20060914111216,unknown
23,62.227.173.158,5,0,20060930145300,20060930145721,unknown
24,Regi51,5,5,20100515210019,20150310175506,unknown
25,Spuk968,5,5,20100415094132,20150202131658,unknown
26,Sänger,5,1,20150131111542,20180409040756,unknown
27,221.115.67.77,5,0,20051021042433,20051021043056,unknown
28,Ehrhardt,5,3,20080928093855,20090920211721,unknown
29,Malabon,5,5,20150201191526,20150201213056,unknown
30,Derkoelner,5,0,20070618222606,20070922111423,unknown
31,Savin 2005,5,4,20081201151833,20100606185318,unknown
32,MachtaUnix,5,0,20150131112111,20150211234403,unknown
33,Sebbot,5,2,20090123121037,20150727053821,unknown
34,Goesseln,5,1,20100312182113,20121119115009,unknown
35,Tönjes,5,5,20070428182716,20071001184406,unknown
36,217.226.102.242,5,0,20071107100137,20071107101937,unknown
37,Triebtäter,5,0,20040523004109,20050120200241,unknown
38,212.23.103.132,5,0,20150131104527,20150131161521,unknown
39,Neun-x,4,0,20141118190147,20150131204636,unknown
40,Kuebi,4,0,20120609215258,20120917053416,unknown
41,84.157.253.137,4,0,20060208094334,20060208095920,unknown
42,213.61.85.199,4,0,20061129102701,20061129103105,unknown
43,82.207.210.197,4,0,20060717180805,20060717181239,unknown
44,Wikifreund,4,0,20061109004304,20121208142940,unknown
45,Roth99,4,0,20120708093246,20120708093405,unknown
46,80.171.61.70,4,0,20040924185250,20040924204623,unknown
47,Pittimann,4,4,20091210080511,20121210103856,unknown
48,PaSova,4,4,20131122141305,20131127113208,unknown
49,Leonce49,4,0,20091022152726,20091023112523,unknown
50,Altaripensis,4,1,20130413161835,20130413162416,unknown
51,Gnom,4,3,20090907152740,20160702083444,unknown
52,217.250.235.19,4,0,20060808222625,20060808225629,unknown
53,Speaker,4,1,20090106195231,20090514221313,unknown
54,19XAVO90,4,1,20171228235433,20180610182924,unknown
55,Dr. Rolf Lindner,4,0,20061220103005,20061221122242,unknown
56,Huberbe,4,1,20161216212459,20171211112309,unknown
57,217.231.55.245,4,0,20100316120525,20100316120924,unknown
58,PerfektesChaos,4,0,20141011205722,20160718115309,unknown
59,Itti,4,4,20130122111518,20170126170553,unknown
60,Hansele,4,0,20040818065649,20040919152249,unknown
61,NL,3,1,20040426093732,20040707180037,unknown
62,Neueschwarz,3,0,20110310143744,20110310143908,unknown
63,84.170.134.45,3,0,20070407225957,20070407230229,unknown
64,PortalBot,3,3,20060129165449,20070330130427,unknown
65,Gödeke,3,2,20090122182609,20120802200018,unknown
66,Jed,3,3,20031207013456,20041007215712,unknown
67,GMH,3,3,20091031192340,20091031192430,unknown
68,83.76.123.181,3,0,20061011200122,20061011200617,unknown
69,Robert Prummel,3,0,20110221144355,20110221144752,unknown
70,Ilja Lorek,3,1,20150131193638,20150202041400,unknown
71,Pfieffer Latsch,3,0,20110923071851,20120414091222,unknown
72,Liborianer,3,0,20120928195005,20130114222351,unknown
73,GDEA,3,0,20141006225751,20141006225957,unknown
74,217.245.34.163,3,0,20041021124725,20041021125000,unknown
75,TXiKiBoT,3,3,20090419200453,20120102164246,unknown
76,Xqbot,3,3,20090924042510,20100701200048,unknown
77,Sir,3,3,20051029153624,20060804195006,unknown
78,HHHoffmann,3,2,20050425193559,20050510084842,unknown
79,Emmridet,3,3,20110113191550,20150211153051,unknown
80,Florian.Keßler,3,3,20090706225715,20090730202956,unknown
81,Armin P.,3,3,20101201173126,20140316211705,unknown
82,87.164.201.52,3,0,20070328131214,20070328131256,unknown
83,37.81.122.66,3,0,20150201195924,20150201200100,unknown
84,Momo,3,3,20040725125332,20061105190434,unknown
85,JüKü,3,2,20051106081240,20051231095540,unknown
