,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,TMFS,24,7,20031117210515,20080820090955,unknown
1,Mogelzahn,12,3,20060806144214,20170607084004,unknown
2,Hardenacke,11,11,20081207174430,20140203172259,unknown
3,88.72.1.240,10,0,20070402065134,20070402194427,unknown
4,89.51.126.64,9,0,20060411212323,20060411215309,unknown
5,Über-Blick,9,0,20130703214318,20161119045054,unknown
6,5.147.24.71,8,0,20140613234009,20140623063238,unknown
7,Aka,7,7,20050620104103,20160417210648,unknown
8,78.51.78.207,6,0,20120825203321,20120825204436,unknown
9,70.108.248.216,6,0,20070220163209,20070220174059,unknown
10,Pelz,6,0,20041102205800,20170801230419,unknown
11,88.72.13.201,5,0,20070331174709,20070331180555,unknown
12,WinfriedSchneider,5,2,20100326001949,20110321131227,unknown
13,Funparade,5,5,20100804081030,20100804081527,unknown
14,212.60.146.29,5,0,20070702130327,20070702135730,unknown
15,Jivee Blau,4,3,20120825205424,20120909195812,unknown
16,Ngowatchtransparent,4,0,20090727134531,20101113102350,unknown
17,Boonekamp,4,3,20100317113206,20111117095657,unknown
18,Wikswat,4,1,20130518155429,20130525195817,unknown
19,Anathema,4,1,20040921064524,20040923073131,unknown
20,Liborianer,3,0,20120928141642,20120928142120,unknown
21,Emergency doc,3,0,20140212143758,20140613234427,unknown
22,An-d,3,3,20120825203536,20120825204210,unknown
23,Sänger,3,2,20161228092356,20181210091217,unknown
24,Southpark,3,1,20040318233938,20081204143848,unknown
25,Jkü,3,1,20100129152508,20131117160427,unknown
26,84.188.196.28,3,0,20050630071403,20050630083139,unknown
27,Zollernalb,3,3,20090526212232,20120825205554,unknown
28,Hhdw,3,0,20040315134740,20040315135149,unknown
29,78.51.13.52,3,0,20120909194949,20120909195500,unknown
30,Phj.meurer,3,0,20070614070215,20070614070429,unknown
31,OLTMAR,3,0,20080820070821,20101018162031,unknown
32,213.23.4.74,3,0,20060725125722,20060727145920,unknown
33,7Pinguine,3,3,20100802163831,20100903135013,unknown
34,Sir,3,3,20051211154519,20060506024033,unknown
35,80.143.126.63,3,0,20061129110152,20061129131725,unknown
36,Shchuna gimmel b7,3,0,20051026161746,20051118151637,unknown
37,Mps,2,2,20100811203359,20100811203419,unknown
38,Thegelkamp,2,0,20120417153504,20120417153529,unknown
39,Volker631,2,0,20130430215804,20130430220047,unknown
40,Definitiv,2,0,20090209133158,20111210144014,unknown
41,Zwobot,2,2,20040208175145,20040331165327,unknown
42,Mikue,2,2,20030926090814,20030926090829,unknown
43,Abrisskante,2,0,20131124054619,20141117231033,unknown
44,84.153.14.150,2,0,20060312135126,20060312135148,unknown
45,Horst Gräbner,2,1,20150801165427,20180609212213,unknown
46,Nuuk,2,0,20081203151933,20090223171708,unknown
47,Gatekeeper07,2,2,20130623192649,20130623194229,unknown
48,Stechlin,2,1,20051029141329,20051209155526,unknown
49,Kajjo,2,1,20081222163759,20081222163820,unknown
50,62.159.48.242,2,0,20170801141812,20170801141957,unknown
51,Atamari,2,1,20090801005605,20100405153642,unknown
52,213.7.217.146,2,0,20051207132050,20051207132716,unknown
53,Stefan64,2,1,20040601093646,20040601093925,unknown
54,88.66.206.62,2,0,20070912093918,20070912094013,unknown
55,Emdee,2,1,20090130120158,20090720003937,unknown
56,Thomas Glintzer,2,2,20120825204422,20120825204447,unknown
57,82.83.136.211,2,0,20050609211750,20050609212454,unknown
58,80.153.208.17,2,0,20100803123212,20100804122624,unknown
59,Tilman Berger,2,2,20041202125640,20041219162845,unknown
60,Paddy,2,1,20040830032548,20040830033157,unknown
61,Longinus Müller,2,2,20140829213436,20140829213602,unknown
62,Cäsium137,2,1,20090523225910,20090524065609,unknown
63,Teta pk,2,0,20130327153759,20130327154104,unknown
64,Christoph Wagener,2,1,20050919192440,20050919192522,unknown
65,212.8.193.40,2,0,20161011140116,20170503142425,unknown
66,Sebbot,2,1,20070501195632,20130412094758,unknown
67,Bitzer,2,2,20090913181217,20090914021440,unknown
68,Pittimann,2,2,20120202110850,20140623063251,unknown
69,Komischn,2,2,20150119125234,20150122122636,unknown
70,Kritzolina,2,0,20140623062954,20140623063054,unknown
71,Radschläger,2,2,20081211145424,20090131184521,unknown
72,PanchoS,2,0,20131009173725,20131113125825,unknown
73,MAY,2,0,20110407214114,20110531151512,unknown
74,Jed,2,2,20040206023128,20040207154417,unknown
75,Engie,2,2,20120909195624,20120909195728,unknown
76,88.76.84.189,2,0,20140212143250,20140212143337,unknown
77,Ceeemm,2,2,20060604184310,20060604184957,unknown
