,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Zaphiro,75,71,20051225051241,20100528081031,unknown
1,TMFS,42,11,20031106213256,20080424214058,unknown
2,Karsten11,31,7,20060622130903,20180112080257,unknown
3,Notebook,30,0,20060624022526,20070301122633,unknown
4,Kibou,29,5,20060518231007,20070530225241,unknown
5,Eresthor,26,4,20060914205201,20070301115909,unknown
6,Taxiarchos228,23,15,20080111112420,20081116201954,unknown
7,Trintheim,22,0,20080310001344,20080424213908,unknown
8,Neun-x,18,3,20100525105057,20180220183225,unknown
9,Zollernalb,18,18,20080504213359,20110925182643,unknown
10,Hao Xi,14,6,20090110111851,20090110134940,unknown
11,98102,12,0,20050728101050,20081116201821,unknown
12,Elektrolurch,12,12,20050904095029,20080104131005,unknown
13,Verzettelung,11,11,20130212175325,20150527163710,unknown
14,Berlin-Jurist,10,4,20060129213213,20080424212701,unknown
15,Mogelzahn,10,6,20061017133909,20181121143543,unknown
16,Leit,10,9,20080405180629,20101115183032,unknown
17,Stefan64,9,7,20070520022019,20120220225318,unknown
18,HV,9,0,20071229001109,20081110091610,unknown
19,Laufbahn,9,0,20080628035252,20080711012632,unknown
20,ThorstenKlapsing,9,3,20051007093759,20060531133515,unknown
21,84.174.201.67,8,0,20060602184837,20060602190226,unknown
22,Complex,8,7,20080318165436,20091128151113,unknown
23,Aka,8,8,20060201203937,20160414202850,unknown
24,217.224.214.124,8,0,20060211093459,20060211105613,unknown
25,AF666,8,2,20071220211954,20080112114931,unknown
26,Sicherlich,7,4,20060601210445,20060624193840,unknown
27,César,7,1,20100525104230,20100525112722,unknown
28,Altaripensis,7,1,20140307205741,20140504142428,unknown
29,WernerE,6,3,20041223120428,20060810154853,unknown
30,Florian Adler,6,6,20060602185010,20090110103130,unknown
31,Nemissimo,6,1,20060905104903,20130701100302,unknown
32,Steinbock.sis,6,0,20070911153542,20070911161410,unknown
33,84.184.204.34,6,0,20051225045453,20051225213941,unknown
34,Frederic~dewiki,6,0,20071011105433,20100612230455,unknown
35,Yoda1893,6,3,20090118220627,20090205221934,unknown
36,141.90.2.58,6,0,20060531123458,20060606125545,unknown
37,HaeB,5,3,20050909153556,20051226004839,unknown
38,Magadan,5,1,20040913072850,20050907162110,unknown
39,141.90.2.52,5,0,20050927163433,20060130114357,unknown
40,Pajz,5,5,20060211104832,20060211105628,unknown
41,Perrak,5,5,20061211135120,20070109091705,unknown
42,Soerenson,5,0,20050913112030,20050915074055,unknown
43,Volkes Stimme,5,0,20100525120938,20100527135021,unknown
44,Poupou l'quourouce,4,1,20080311120144,20080313110334,unknown
45,134.93.198.238,4,0,20060825095717,20060825100050,unknown
46,Gustav von Aschenbach,4,4,20081022230547,20131023054022,unknown
47,Aschmidt,4,0,20101030094740,20120428183304,unknown
48,37.201.190.19,4,0,20180112213954,20180118080648,unknown
49,178.203.60.225,4,0,20100907232626,20100908210602,unknown
50,Steschke,4,1,20051012180001,20080113004900,unknown
51,Boshomi,4,2,20150425232016,20161103220233,unknown
52,Tohma,4,0,20140809042858,20140920072939,unknown
53,DaubiKo,4,1,20181020212916,20181023194955,unknown
54,Gibgasachi,4,0,20080403120835,20080403121105,unknown
55,EvaK,4,0,20100525112011,20100525113147,unknown
56,58.216.235.242,4,0,20080504211159,20080504214922,unknown
57,Columbin,4,3,20080503195227,20080503195713,unknown
58,Times,4,2,20110115170036,20121208233212,unknown
59,Sir James,3,3,20090212034911,20110301075438,unknown
60,Nachtwächter90,3,0,20090120154150,20090120154545,unknown
61,141.90.2.43,3,0,20051005115040,20051017111306,unknown
62,Glsystem,3,3,20101029103115,20101115132710,unknown
63,Casus,3,0,20080711005942,20080711013247,unknown
64,Pfalzfrank,3,0,20061226141523,20070207213742,unknown
65,91.14.167.121,3,0,20121208232852,20121208233217,unknown
66,Johnny Controletti,3,3,20111224102939,20111224103551,unknown
67,Dontworry,3,2,20080130064811,20180221074600,unknown
68,Jed,3,3,20040211141802,20110819095353,unknown
69,81.10.166.188,3,0,20050903214309,20050904113520,unknown
70,84.163.149.164,3,0,20160326171951,20160326203235,unknown
71,Knase,3,1,20091103111647,20101029124741,unknown
72,Logograph,3,3,20060825095758,20081106094841,unknown
73,RoBri,3,2,20170707212629,20181011162241,unknown
74,Q'Alex,3,2,20080605185347,20080605185741,unknown
75,84.174.241.58,3,0,20060618222520,20060618222920,unknown
76,LKD,3,3,20081001133832,20081106095639,unknown
77,MAY,3,0,20090113211805,20120308213052,unknown
78,Seewolf,3,3,20060523191618,20080114192530,unknown
79,Kh80,3,3,20100525082521,20100525103653,unknown
80,Kuebi,3,0,20071214113245,20080111175231,unknown
81,Tsor,3,3,20041223120546,20060808142528,unknown
82,Starclimber,3,0,20071121124523,20080106190357,unknown
83,Casra,3,2,20100901065639,20100901071716,unknown
84,Burstwings~dewiki,3,0,20100823102254,20100823122331,unknown
85,217.236.189.204,3,0,20041230225148,20041230225607,unknown
86,Pittimann,3,2,20091128150428,20121112101237,unknown
87,GT1976,3,0,20120723060017,20151116041354,unknown
88,Leonce49,3,1,20101012084519,20101012084901,unknown
89,Stegelhans,3,0,20111224102914,20111224103456,unknown
90,Hs-berlin,3,0,20161025111117,20170313115838,unknown
91,Felix König,3,1,20110706192909,20130205150442,unknown
92,MeFuTö,3,0,20080103190938,20080104150641,unknown
93,77.186.205.57,2,0,20100103212746,20100103213344,unknown
94,172.180.224.36,2,0,20060606191244,20060606191413,unknown
95,Krdbot,2,1,20110304143225,20140331221057,unknown
96,217.251.171.184,2,0,20051020103224,20051020103330,unknown
97,Onkelkoeln,2,2,20060116224700,20060116230340,unknown
98,Wst,2,1,20021212220914,20021213142549,unknown
99,Rec,2,1,20070926100833,20070926101429,unknown
100,Hpt,2,2,20131124165257,20131124165639,unknown
101,153.100.131.97,2,0,20180219141256,20180219141320,unknown
102,Stern,2,1,20040320134242,20051007093550,unknown
103,217.231.20.182,2,0,20050307113633,20050307113852,unknown
104,Unscheinbar,2,0,20050904113443,20050904113537,unknown
105,80.153.29.160,2,0,20081106094808,20081106095549,unknown
106,84.177.131.173,2,0,20050722010004,20050722010027,unknown
107,79.192.190.215,2,0,20081001133713,20081001133814,unknown
108,Pelz,2,1,20070909001242,20120110185836,unknown
109,Freundlicher Zeitgenosse,2,0,20080310083915,20080311065336,unknown
110,Fossa,2,0,20080714223750,20100527093713,unknown
111,212.243.143.66,2,0,20051219084225,20051219084420,unknown
112,217.234.66.177,2,0,20040529103828,20040529105810,unknown
113,5.56.187.125,2,0,20150313094924,20150313095136,unknown
114,Luke081515Bot,2,0,20161103205225,20161119113231,unknown
115,Connoisseur of politics,2,2,20140805174906,20140805175524,unknown
116,212.114.239.180,2,0,20160815172048,20160815172137,unknown
117,Kleiner Tiger,2,0,20090417234428,20090417234618,unknown
118,Xocolatl,2,2,20060211094412,20060211094555,unknown
119,82.82.118.198,2,0,20031102152148,20031102152250,unknown
120,Tasma3197,2,1,20071206143447,20071206144402,unknown
121,Titus389,2,2,20121113191513,20121208233245,unknown
122,JKS,2,0,20181017123035,20181017123201,unknown
