,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Danielkr,14,0,20090103102114,20090103190028,unknown
1,Horst-schlaemma,10,1,20170110145844,20170110213536,unknown
2,TMFS,10,6,20040306194403,20060706160316,unknown
3,Voyager1500,10,4,20140126153459,20140424124023,unknown
4,Vsop,9,2,20100805210742,20170221093613,unknown
5,C.Löser,8,7,20050407175304,20070726183149,unknown
6,84.135.154.98,8,0,20170110175021,20170110211138,unknown
7,MAY,7,0,20101015060829,20180520143906,unknown
8,Luckas-bot,6,6,20100530175206,20120404141710,unknown
9,Stahlfresser,6,1,20110310145517,20110614105601,unknown
10,Zollernalb,6,6,20090203180216,20090517123143,unknown
11,ChristophDemmer,6,4,20040610094737,20070324183509,unknown
12,Harry8,6,3,20130807061918,20170113220821,unknown
13,Sebbot,6,1,20061230204709,20141203062831,unknown
14,Aka,5,5,20050625143923,20171008120326,unknown
15,Radschläger,5,3,20090123082835,20090206163937,unknown
16,Nemissimo,5,0,20120516123411,20120520180411,unknown
17,Geisslr,5,1,20070529093714,20110614140706,unknown
18,Horst Gräbner,4,2,20141005075025,20170112220154,unknown
19,Zwobot,4,4,20031218192851,20090320162532,unknown
20,RoBri,4,2,20170110090954,20181105131626,unknown
21,Thijs!bot,4,4,20070108103002,20080622010606,unknown
22,84.56.168.185,4,0,20140816102334,20140816103058,unknown
23,188.155.148.73,4,0,20181105234257,20181105234434,unknown
24,Sir James,4,1,20120311113743,20170114164237,unknown
25,GT1976,4,0,20081222035923,20151111050519,unknown
26,Rmw73,4,4,20070927131606,20070927132321,unknown
27,Mastad,4,4,20041224204920,20050926232042,unknown
28,Andim,3,3,20120204221522,20170110085250,unknown
29,Diba,3,3,20081009091156,20140207110226,unknown
30,Plattmaster,3,1,20030706140728,20030706143104,unknown
31,Schoopr,3,0,20041108134127,20041108141008,unknown
32,176.6.82.79,3,0,20151123110956,20151123111614,unknown
33,2A02:8070:BAC:2800:7C42:F89:65B2:4570,3,0,20170110094123,20170110094718,unknown
34,Numbo3-bot,3,3,20080806010550,20090923112500,unknown
35,Intimidator,3,0,20051113093725,20140613201621,unknown
36,84.154.102.58,3,0,20070216165407,20070216165659,unknown
37,Pfieffer Latsch,3,0,20110613172029,20121209102724,unknown
38,Triebtäter,3,0,20040523004044,20050120201034,unknown
39,Alraunenstern,3,2,20110526205613,20110527162928,unknown
40,Neun-x,3,0,20120706145412,20170110140454,unknown
41,Stechlin,3,0,20051113102535,20161028095215,unknown
42,Muns,3,1,20170110125011,20170116132700,unknown
43,Bota47,3,3,20060611174827,20070710131354,unknown
44,Stadt-Echo,3,0,20161029221138,20161029222559,unknown
45,Mauerquadrant,3,0,20170110125903,20170110130132,unknown
46,Slökmann,3,3,20051019130720,20170110171941,unknown
47,Wikifreund,3,0,20100731213734,20150103151738,unknown
48,H-stt,3,3,20061112085342,20080214222300,unknown
49,Regi51,3,3,20150629171107,20160124211933,unknown
50,Witwe Bolte,3,0,20050803113752,20050803113906,unknown
51,Sepia,3,0,20110828214303,20110828225512,unknown
52,Neueschwarz,3,0,20110310140714,20110311143327,unknown
53,85.178.46.121,2,0,20060622004956,20060622010205,unknown
54,Itti,2,2,20090616195239,20141006092006,unknown
55,RobotE,2,2,20050818232838,20051019172357,unknown
56,Dschungelfan,2,0,20170110181050,20170113191050,unknown
57,FZC,2,0,20071002143509,20071002143548,unknown
58,Tokota,2,1,20180313090325,20180313094427,unknown
59,Schneid9,2,1,20150405214210,20150405214731,unknown
60,Ehrhardt,2,1,20090501001002,20091016211121,unknown
61,Liborianer,2,0,20120928144559,20170110171835,unknown
62,Sir,2,2,20050502211430,20060127154830,unknown
63,Holger Nimmermann,2,0,20170110084706,20170110084812,unknown
64,217.252.35.250,2,0,20061113150058,20061113150216,unknown
65,Speaker,2,0,20090107192727,20090112173907,unknown
66,Head,2,0,20040226205547,20040324183739,unknown
67,J.-H. Janßen,2,0,20060917155142,20160306201344,unknown
68,Dealerofsalvation,2,0,20081206160739,20090405123922,unknown
69,Stefan Kühn,2,2,20031012113122,20040724184229,unknown
70,Foundert,2,1,20090819201758,20090922084720,unknown
71,Hfudfdb,2,0,20090530205647,20090602184246,unknown
72,Jón,2,1,20130919100048,20130919100147,unknown
73,Pelz,2,1,20100311203957,20120102211953,unknown
74,Cholo Aleman,2,1,20080126071702,20120314193527,unknown
75,Luha,2,0,20090929121150,20090929122311,unknown
76,Tobias Aland,2,2,20101213105602,20110427130607,unknown
77,Shchuna gimmel b7,2,0,20051026202903,20051118152112,unknown
78,Mehlauge,2,1,20140802205612,20180124173041,unknown
79,80.137.251.249,2,0,20081022083703,20081022083829,unknown
80,JunoArtemis,2,0,20090619050106,20090619050244,unknown
81,Schubbay,2,1,20050823083138,20050823083309,unknown
82,JuergenL,2,0,20040824185517,20040824190716,unknown
83,87.189.243.76,2,0,20100515202302,20100515202409,unknown
84,Edamer,2,0,20170110084740,20170110085017,unknown
85,178.115.249.42,2,0,20130609142246,20130609143329,unknown
86,N.Eschenhagen,2,0,20080103233213,20110117154517,unknown
87,ArthurBot,2,2,20081206201415,20090204212544,unknown
88,Calvin Ballantine,2,0,20051008072105,20060706141730,unknown
89,194.69.14.78,2,0,20170110103042,20170110103254,unknown
90,TDKR Chicago 101,2,0,20170110221824,20170110221847,unknown
91,Diopuld,2,0,20180616212014,20180616212104,unknown
92,HeinzWörth,2,2,20150808113916,20150808114018,unknown
93,ToddyB,2,2,20090602180945,20090602202057,unknown
94,S.K.,2,1,20041006014533,20041222164616,unknown
95,Xqbot,2,2,20100701195731,20121211204221,unknown
96,Nefud,2,0,20171227115527,20171227123343,unknown
97,BWBot,2,2,20040815231127,20040903221059,unknown
98,67.170.224.120,2,0,20060208052628,20060208053109,unknown
99,Tim Pritlove,2,1,20040523041338,20040523041523,unknown
100,Je regrette,2,2,20061111182444,20061112103659,unknown
101,Zeno Gantner,2,2,20040102124048,20040102124247,unknown
102,Mps,2,1,20041222151314,20061112105732,unknown
103,Knase,2,0,20100903061959,20100903062100,unknown
104,Cirdan,2,1,20151201221232,20170212141922,unknown
105,78.34.140.193,2,0,20100628183201,20100628183241,unknown
106,Wiki-vr,2,2,20070207122751,20070207202303,unknown
107,Bertrand Freiesleben,2,0,20150219191752,20150222160431,unknown
108,91.16.251.120,2,0,20080515102522,20080515102712,unknown
109,195.71.119.85,2,0,20050610122046,20050610122241,unknown
110,Tomatenfreaky,2,2,20170110084855,20170110084929,unknown
111,129.13.72.153,2,0,20061218225254,20061218225512,unknown
112,Mvb,2,0,20080217134016,20080217134036,unknown
113,141.48.3.57,2,0,20051204223222,20051204223410,unknown
114,Bahnmoeller,2,2,20050711203613,20060421194902,unknown
115,95.91.218.142,2,0,20170110090017,20170110090117,unknown
116,EBB,2,2,20040523072134,20040611104645,unknown
117,84.152.70.199,2,0,20060104115636,20060104115713,unknown
118,Roentgenium111,2,1,20170110114441,20170110165021,unknown
119,Ulsimitsuki,2,2,20070404112338,20070626221805,unknown
120,Visitator,2,2,20090707170513,20091224111226,unknown
121,Langec,2,2,20050928182544,20050928182842,unknown
122,46.87.30.50,2,0,20170110195225,20170110201515,unknown
123,Jivee Blau,2,2,20100628183207,20100628183253,unknown
124,Jaer,2,2,20070213211213,20070216172903,unknown
125,Sargoth,2,1,20080515102821,20080515102911,unknown
126,=,2,2,20130624113859,20150203031310,unknown
127,Label5,1,1,20130430083246,20130430083246,unknown
128,Johannes XXIII.,1,0,20070505210409,20070505210409,unknown
129,217.250.166.220,1,0,20170112221442,20170112221442,unknown
130,Torsten Bätge,1,1,20080116193424,20080116193424,unknown
131,Medienhai,1,1,20090919171439,20090919171439,unknown
132,217.249.123.63,1,0,20050106122442,20050106122442,unknown
133,Martina2504,1,1,20101208161655,20101208161655,unknown
134,Achim Raschka,1,1,20051025132644,20051025132644,unknown
135,94.216.78.170,1,0,20160715072828,20160715072828,unknown
136,Arndtmc1,1,0,20170110105332,20170110105332,unknown
137,89.54.174.226,1,0,20070313225117,20070313225117,unknown
138,Gmünder,1,1,20170111073457,20170111073457,unknown
139,Henry Purcel,1,1,20140712185718,20140712185718,unknown
140,217.110.154.54,1,0,20071205132018,20071205132018,unknown
141,Tommes,1,1,20180916132214,20180916132214,unknown
142,Kartenhaus,1,0,20150911200349,20150911200349,unknown
143,Rainyx,1,1,20111108180329,20111108180329,unknown
144,Markusvoss,1,1,20060425105640,20060425105640,unknown
145,Gugerell,1,1,20130218071034,20130218071034,unknown
146,Rosenzweig,1,0,20140126160354,20140126160354,unknown
147,Paddy,1,1,20040824163307,20040824163307,unknown
148,Marcel4995,1,0,20100606152302,20100606152302,unknown
149,Schally,1,1,20050718125714,20050718125714,unknown
150,Phd,1,1,20110808160837,20110808160837,unknown
151,212.63.57.45,1,0,20060307140217,20060307140217,unknown
152,94.79.134.162,1,0,20170110090246,20170110090246,unknown
153,88.66.6.157,1,0,20070205121005,20070205121005,unknown
154,Thomas Dürr,1,1,20170110144422,20170110144422,unknown
155,93.219.255.216,1,0,20130807065600,20130807065600,unknown
156,CommonsDelinker,1,1,20070621154703,20070621154703,unknown
157,M Huhn,1,1,20170217204547,20170217204547,unknown
158,Steinsplitter,1,1,20141218074636,20141218074636,unknown
159,Mark Wolf,1,0,20080507185346,20080507185346,unknown
160,84.174.101.137,1,0,20090203175219,20090203175219,unknown
161,84.128.98.89,1,0,20040523121424,20040523121424,unknown
162,LaaknorBot,1,1,20100424144444,20100424144444,unknown
163,Striegistalzwerg,1,0,20110526134407,20110526134407,unknown
164,JCS,1,0,20060105004802,20060105004802,unknown
165,Stephan Klage,1,0,20120607065719,20120607065719,unknown
166,Aschmidt,1,1,20130605124159,20130605124159,unknown
167,89.54.88.188,1,0,20070528222825,20070528222825,unknown
168,Yen Zotto,1,1,20170114220754,20170114220754,unknown
169,PerfektesChaos,1,0,20141112155525,20141112155525,unknown
170,Ewiger Besserwisser,1,0,20080215001710,20080215001710,unknown
171,62.153.86.73,1,0,20091127103806,20091127103806,unknown
172,FlaBot,1,1,20050221001007,20050221001007,unknown
173,WikitanvirBot,1,1,20110125121917,20110125121917,unknown
174,Middelmarch,1,1,20161113140906,20161113140906,unknown
175,Maliardo-1,1,0,20120306045841,20120306045841,unknown
176,193.22.32.200,1,0,20170110124703,20170110124703,unknown
177,LosKoslows,1,1,20070423145048,20070423145048,unknown
178,79.234.43.36,1,0,20170111210926,20170111210926,unknown
179,Jelizawjeta P.,1,1,20140816102815,20140816102815,unknown
180,141.20.240.12,1,0,20071224024403,20071224024403,unknown
181,Nordprinz,1,0,20181121142252,20181121142252,unknown
182,Salmi,1,1,20041229110033,20041229110033,unknown
183,MelancholieBot,1,1,20050930191600,20050930191600,unknown
184,2A02:908:ED32:4680:75D4:A657:DD23:DAEC,1,0,20160124211923,20160124211923,unknown
185,Helfmann,1,0,20111218051815,20111218051815,unknown
186,84.50.157.67,1,0,20060526205431,20060526205431,unknown
187,Armin P.,1,1,20170110101316,20170110101316,unknown
188,Jesi,1,0,20130316153615,20130316153615,unknown
189,Holger1974,1,0,20170110200449,20170110200449,unknown
190,112.198.82.245,1,0,20140627103341,20140627103341,unknown
191,Thorbjoern,1,0,20071119091224,20071119091224,unknown
192,TaxonKatBot,1,1,20180422130055,20180422130055,unknown
193,2003:60:845:9D01:ECB8:E435:3E31:550E,1,0,20150717134620,20150717134620,unknown
194,87.122.78.54,1,0,20080925133927,20080925133927,unknown
195,Anathema,1,1,20040921070711,20040921070711,unknown
196,Triebtäter (MMX),1,0,20100630215056,20100630215056,unknown
197,84.172.2.141,1,0,20050807170134,20050807170134,unknown
198,Brodkey65,1,0,20110829072046,20110829072046,unknown
199,Philipp Grunwald,1,1,20060401233026,20060401233026,unknown
200,Tfjt,1,1,20130125215153,20130125215153,unknown
201,188.174.34.222,1,0,20170110171421,20170110171421,unknown
202,Karsten11,1,0,20070828104635,20070828104635,unknown
203,80.226.1.29,1,0,20171007090318,20171007090318,unknown
204,Mfb,1,1,20150310105443,20150310105443,unknown
205,Str1977,1,0,20080521070850,20080521070850,unknown
206,80.109.15.9,1,0,20090316200319,20090316200319,unknown
207,TheK,1,0,20040716120410,20040716120410,unknown
208,PortalBot,1,1,20060129221206,20060129221206,unknown
209,Stefanaugsburg,1,1,20170110085214,20170110085214,unknown
210,Sol1,1,1,20120831131807,20120831131807,unknown
211,62.134.59.2,1,0,20070103095046,20070103095046,unknown
212,Bembel1971,1,0,20170110131400,20170110131400,unknown
213,XenonX3,1,1,20130626112451,20130626112451,unknown
214,Phj.meurer,1,0,20070618125041,20070618125041,unknown
215,Ronja19875,1,0,20170123150853,20170123150853,unknown
216,93.104.167.123,1,0,20141206111035,20141206111035,unknown
217,78.34.142.20,1,0,20080414180851,20080414180851,unknown
218,85.72.221.207,1,0,20051212175346,20051212175346,unknown
219,194.50.160.201,1,0,20170110084452,20170110084452,unknown
220,Oldnag85,1,1,20061019185901,20061019185901,unknown
221,Man77,1,0,20130512213906,20130512213906,unknown
222,Azog,1,1,20070505210600,20070505210600,unknown
223,Mildenstein,1,0,20170113112203,20170113112203,unknown
224,217.247.73.192,1,0,20141006091939,20141006091939,unknown
225,Wikileo,1,0,20090103122122,20090103122122,unknown
226,Publius,1,1,20031223125457,20031223125457,unknown
227,Hansele,1,0,20050207090445,20050207090445,unknown
228,HowardBeale,1,0,20160913181727,20160913181727,unknown
229,Crazy1880,1,0,20120216200805,20120216200805,unknown
230,84.174.104.47,1,0,20060710101434,20060710101434,unknown
231,Wiegels,1,1,20170110113914,20170110113914,unknown
232,Morgensonne,1,1,20070325111446,20070325111446,unknown
233,Hnsjrgnweis,1,0,20170111092206,20170111092206,unknown
234,GMH,1,1,20071212185024,20071212185024,unknown
235,46.87.118.20,1,0,20181105130959,20181105130959,unknown
