,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Smoking Joe,376,130,20070228102957,20071208121037,unknown
1,Nils Freiheit,333,159,20140707211520,20190107232912,unknown
2,Krakatau,202,65,20070405160613,20090520195915,unknown
3,Hybscher,178,31,20060815222832,20171018225718,unknown
4,Ulitz,105,38,20040604225802,20160416211904,unknown
5,Root axs,89,69,20030430223220,20050515081449,unknown
6,Nuuk,67,27,20070116160850,20160416073019,unknown
7,M. Yasan,61,21,20070410104507,20080116083653,unknown
8,Pittigrilli,55,10,20051016193432,20120930162342,unknown
9,3ecken1elfer,40,1,20061004194255,20070226224911,unknown
10,Hans Haase,40,4,20150724193859,20170909192740,unknown
11,Sister Ray,38,29,20060511053914,20070711123659,unknown
12,Taadma,36,16,20080813213220,20080928102508,unknown
13,Phi,35,11,20080928094146,20171110162729,unknown
14,Tohma,35,4,20081018070313,20160409132704,unknown
15,Schreibvieh,34,11,20070110094945,20081117215705,unknown
16,Andropov,31,7,20141210144350,20180406211736,unknown
17,Fräggel,27,3,20070204144620,20070428030329,unknown
18,Häuslebauer,27,4,20100823012025,20170905123720,unknown
19,Eike sauer,26,5,20040612214616,20061012165312,unknown
20,Stefan Kühn,23,12,20030720124021,20041103092102,unknown
21,Rita2008,22,1,20081205134657,20150815134435,unknown
22,Giro,17,3,20070304001251,20070910115008,unknown
23,Hardenacke,17,14,20070926191349,20170911074628,unknown
24,Dietrich,16,0,20070916110531,20080921183850,unknown
25,149.148.252.244,16,0,20050726132343,20050823105215,unknown
26,Ekkenekepen,14,0,20050119055118,20050416083950,unknown
27,Mandavi,13,3,20061011200036,20080228150642,unknown
28,Thdoerfler,12,0,20040310152217,20060104131003,unknown
29,Freedom Lübeck,12,0,20060627103241,20060629221416,unknown
30,TMFS,10,5,20041106201649,20070330211442,unknown
31,195.93.74.7,10,0,20040325022040,20040413115435,unknown
32,Kris Kaiser,10,0,20030724004450,20040430234446,unknown
33,Boris Fernbacher,10,0,20070309165648,20070310074059,unknown
34,Über-Blick,10,0,20120522104127,20141203233207,unknown
35,-jha-,10,0,20060623012553,20070330210749,unknown
36,Jeldrik,9,2,20060107122956,20060318193356,unknown
37,Laotse,9,5,20050721204234,20060903194840,unknown
38,Aka,9,9,20060923193013,20181005202213,unknown
39,Mannerheim,9,2,20080901082139,20081123192815,unknown
40,Stimme aus dem Off,9,5,20050801083503,20050801094053,unknown
41,Zwobot,9,9,20040208180019,20080110153601,unknown
42,Southpark,9,8,20040302090942,20060403174823,unknown
43,195.93.60.73,8,0,20060615181254,20060625170501,unknown
44,Boshomi,8,2,20140926191938,20160603202307,unknown
45,Nico b.,8,3,20100203180414,20150807074450,unknown
46,Benatrevqre,8,3,20111122162122,20160425144648,unknown
47,217.224.245.184,8,0,20070116160542,20070116203946,unknown
48,217.227.197.155,7,0,20070117151738,20070117154913,unknown
49,Lucius argenteus,7,2,20081017202645,20081018152756,unknown
50,Innere Sicherheit,7,7,20090307151147,20090313114648,unknown
51,62.226.25.243,7,0,20050511100354,20050511101916,unknown
52,Gustav von Aschenbach,7,2,20080205132349,20130309222454,unknown
53,CommonsDelinker,7,7,20080108133533,20130331024319,unknown
54,Zeno Gantner,7,3,20040120165257,20050617185843,unknown
55,Scherben,7,5,20070227161331,20070716145954,unknown
56,GS,7,1,20070303103328,20080917162042,unknown
57,Drifty,7,1,20060521103552,20070413083750,unknown
58,Hoheit,7,2,20041114164115,20060218140138,unknown
59,Arabsalam,7,0,20150327160833,20171125134143,unknown
60,Samsungdrucker,7,5,20080505151353,20080513160022,unknown
61,Seewolf,6,3,20060328072256,20080928062144,unknown
62,141.10.86.236,6,0,20060504095208,20060512202050,unknown
63,JanMan,6,2,20050108135527,20051027101625,unknown
64,Mirer,6,3,20040309024234,20040609020325,unknown
65,212.7.142.74,6,0,20050417173124,20050417173644,unknown
66,Sir James,6,4,20080712090640,20171026122340,unknown
67,Langec,6,6,20040819102808,20061013173736,unknown
68,Krautrose,6,2,20080210111228,20080210111749,unknown
69,Perrak,6,2,20040307162152,20140715164004,unknown
70,RyanMcKenzie,6,0,20080803205852,20080803211917,unknown
71,141.91.240.162,6,0,20040928091317,20050712132941,unknown
