,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,TMFS,32,7,20031117204044,20080314145046,unknown
1,Sicherlich,19,5,20040706114845,20061103145613,unknown
2,Berlin-Jurist,15,7,20050618222502,20160128010830,unknown
3,Zinnmann,13,8,20041227092544,20181207112703,unknown
4,Tsor,10,10,20040715200716,20080711133243,unknown
5,Anathema,10,9,20040921064918,20041028174038,unknown
6,Hardenacke,9,9,20080213084008,20131121174858,unknown
7,Mihewag,9,7,20101202125835,20101202135833,unknown
8,Zoidberg,7,7,20041027201630,20041104085141,unknown
9,Unscheinbar,7,5,20041122124953,20050902072635,unknown
10,Mogelzahn,7,4,20051206152906,20121030152125,unknown
11,Wackknuerstchen,7,1,20061128221051,20081215192006,unknown
12,46.244.189.157,6,0,20160421073329,20160421192546,unknown
13,Miltrak,6,0,20130524224217,20130528121756,unknown
14,Aka,6,6,20050319174824,20190106134453,unknown
15,Mulno,6,0,20050830210807,20050830220055,unknown
16,AndreasE,5,0,20040828194329,20050902171834,unknown
17,Encyclopedist~dewiki,5,0,20071030054903,20071030060359,unknown
18,HaeB,5,2,20040706112557,20051208155706,unknown
19,N.Eschenhagen,5,1,20070216155622,20150728201143,unknown
20,Neun-x,4,0,20150830115848,20180212092540,unknown
21,78.51.101.214,4,0,20080706074614,20080706082627,unknown
22,Head,4,3,20030714083424,20070228160518,unknown
23,Luckas-bot,4,4,20100321144236,20111125084548,unknown
24,TomK32,4,3,20030413161438,20040211194715,unknown
25,Paddy,4,3,20040830032448,20041028100712,unknown
26,Nicola,4,0,20090322205726,20171025160931,unknown
27,Marcel601,4,0,20111025194728,20111025194851,unknown
28,Srittau,4,3,20040720231540,20041219082725,unknown
29,Holmium,4,3,20160329200651,20160329201413,unknown
30,HenrikHolke,4,4,20040209131011,20040209131215,unknown
31,Slökmann,3,2,20070308100841,20161231195338,unknown
32,Nocturne,3,2,20041029062926,20041208095026,unknown
33,Seefahrt,3,0,20040706100410,20040707071435,unknown
34,91.2.249.2,3,0,20140805151003,20140805151534,unknown
35,Zwobot,3,3,20031218212152,20040406100908,unknown
36,MAK,3,2,20041112202607,20050108102846,unknown
37,Donautalbahner,3,1,20081227105649,20081227110546,unknown
38,Leit,3,3,20061228114014,20090301181510,unknown
39,77.22.253.36,3,0,20171003183219,20171003183627,unknown
40,Pittigrilli,3,0,20091027154933,20091027160049,unknown
41,Behemoth~dewiki,3,3,20070328222457,20070328222742,unknown
42,Okatjerute,3,2,20041104101259,20051208210431,unknown
43,Waringham,3,3,20040326134819,20040326135214,unknown
44,Stern,3,3,20041116180646,20051013203049,unknown
45,Ravn~dewiki,3,3,20040706145736,20040711000508,unknown
46,David Wintzer,3,3,20090204153830,20111214153032,unknown
47,46.244.164.117,3,0,20160424004847,20160424005511,unknown
48,Pelz,3,2,20111227175452,20140125105857,unknown
49,84.159.200.156,2,0,20051208155309,20051208155516,unknown
50,Mac CH,2,2,20040703160627,20040709144708,unknown
51,Wiegels,2,2,20070301004617,20070807110334,unknown
52,217.0.11.31,2,0,20040409110024,20040409110056,unknown
53,217.226.149.136,2,0,20050405071242,20050405071732,unknown
54,46.244.186.42,2,0,20160422190957,20160422191430,unknown
55,Sproink,2,2,20060305161417,20060311172520,unknown
56,Dmicha,2,2,20130330111215,20140630071123,unknown
57,84.128.171.123,2,0,20041028173859,20041028174724,unknown
58,Florian Adler,2,2,20070217150912,20080706075633,unknown
59,80.142.24.106,2,0,20050319174500,20050319174558,unknown
60,Tobias1983,2,1,20071013083640,20090301181322,unknown
61,85.180.110.140,2,0,20120211171413,20120211171938,unknown
62,Langec,2,2,20050928180416,20050928181246,unknown
63,Phi,2,0,20150830131557,20180127211509,unknown
64,Nuuk,2,0,20080827152600,20080827152741,unknown
65,84.167.62.119,2,0,20050822160546,20050822160720,unknown
66,Martin-vogel,2,0,20041027203802,20041028011841,unknown
67,Schnabeltassentier,2,0,20160422191114,20160424232846,unknown
68,Stefan Kühn,2,2,20040618202032,20040712093900,unknown
69,217.82.248.122,2,0,20041028183154,20041028184407,unknown
70,Heldt,2,2,20110614184736,20110614185010,unknown
71,Tfjt,2,2,20151010210850,20151010211031,unknown
72,Flups,2,1,20020718121259,20020718121311,unknown
73,217.253.215.17,2,0,20040814160947,20040814161215,unknown
74,Sujalajus,2,1,20150110223156,20160424083211,unknown
75,84.58.96.9,2,0,20050827160736,20050827160833,unknown
76,HenHei,2,0,20041025165244,20041106104401,unknown
77,Jurgen,2,1,20030727213704,20041227202725,unknown
78,Johpick,2,1,20160828170430,20160828170449,unknown
79,Thommess,2,1,20040813094237,20040813094259,unknown
80,Yuszuv,2,0,20051017162154,20051021153218,unknown
81,TheK,2,0,20040712214217,20040716145236,unknown
82,Qualiabavariae,2,0,20140124135741,20160927113246,unknown
83,Stefan64,2,0,20041108111811,20051015225853,unknown
84,84.181.63.169,2,0,20161231195219,20161231195433,unknown
85,Bgks,2,1,20060212080820,20060212081729,unknown
86,84.128.168.209,2,0,20040706095350,20040706095554,unknown
87,Marcus Cyron,2,2,20080910222656,20080910222723,unknown
88,85.180.156.152,2,0,20070303192730,20070303201055,unknown
89,AHZ,2,0,20040608185721,20040824221926,unknown
90,93.134.219.56,2,0,20080710192806,20080710192833,unknown
91,84.73.157.111,2,0,20121228064502,20131222190553,unknown
92,86.129.118.20,2,0,20050803154947,20050803155039,unknown
93,Tilo,2,2,20040222130328,20040325194825,unknown
94,Simplicius,2,0,20080301165730,20080301170010,unknown
95,178.79.61.159,2,0,20160329201151,20160329201316,unknown
96,Sol1,1,0,20130623222805,20130623222805,unknown
97,217.245.31.182,1,0,20041227221156,20041227221156,unknown
