,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Gonzo Greyskull,26,3,20081108140441,20120521172052,unknown
1,Phi,18,0,20100131093127,20190118142024,unknown
2,Webcyss,17,3,20120508081853,20120520193614,unknown
3,User86,16,0,20101107152935,20101111145000,unknown
4,Ulitz,13,3,20041231193046,20140908201736,unknown
5,Bahrmatt,12,8,20120411162310,20120521170749,unknown
6,Sargoth,12,10,20080318223826,20170919211405,unknown
7,62.47.39.172,12,0,20050806091416,20050806095058,unknown
8,Aka,11,11,20051110201159,20180205172822,unknown
9,Bernd vdB,10,0,20070223095959,20070724091446,unknown
10,217.84.247.102,9,0,20030924090007,20030924091027,unknown
11,Anima,9,6,20060926201726,20141013173325,unknown
12,Regi51,7,6,20080314144306,20190110194720,unknown
13,Rita2008,7,0,20100221195716,20140405165904,unknown
14,Fräggel,7,0,20060626212740,20080318233040,unknown
15,Sirdon,7,0,20050630125341,20070405140249,unknown
16,Mannerheim,6,0,20080113192025,20080615185140,unknown
17,Edgar8,6,3,20080316133244,20120206195724,unknown
18,Ot,6,5,20041128104809,20090108104607,unknown
19,Superikonoskop,6,3,20090307103831,20100617203505,unknown
20,Nuuk,6,1,20060215103312,20171113152125,unknown
21,TennisOpa,6,0,20190204084023,20190204090937,unknown
22,Benatrevqre,6,0,20090617155430,20090617161544,unknown
23,Katty,5,0,20051010054214,20051010201337,unknown
24,Lektor w,5,1,20140808115245,20140808121021,unknown
25,145.254.34.197,5,0,20050821050118,20050821053637,unknown
26,85.97.88.10,5,0,20121021165152,20121021165619,unknown
27,Inspektor.Godot,5,5,20070627082313,20080318232433,unknown
28,Christophorus77,5,5,20141013074509,20141013075315,unknown
29,143.93.234.240,4,0,20090914074428,20090914075158,unknown
30,Schmuckeremit,4,1,20080522102631,20080522103031,unknown
31,Goliath613,4,0,20110411095353,20120730180125,unknown
32,Redmaxx,4,1,20060406195728,20060414124524,unknown
33,Zwobot,4,4,20040808003446,20080803183212,unknown
34,-jkb-,4,2,20140527142704,20140527145207,unknown
35,217.225.12.116,3,0,20041019122454,20041019123048,unknown
36,217.251.167.152,3,0,20060207085131,20060207090122,unknown
37,62.214.226.115,3,0,20060403143829,20060403143951,unknown
38,CAG Hi,3,2,20180626152559,20180627134526,unknown
39,Maddiin,3,3,20110102213950,20110102215253,unknown
40,Eisbaer44,3,3,20131115195533,20131115195850,unknown
41,80.150.3.154,3,0,20050930105942,20050930110443,unknown
42,145.254.218.137,3,0,20060110182135,20060110192726,unknown
43,Invisigoth67,3,3,20180508152111,20180921162644,unknown
44,Jkobisch,3,1,20110617080840,20110617133254,unknown
45,LKD,3,3,20060424134404,20090821120805,unknown
46,84.148.99.185,3,0,20090311090949,20090311092240,unknown
47,80.145.198.251,2,0,20140509074142,20140509074234,unknown
48,HaeB,2,0,20060110182353,20060110195856,unknown
49,Comm. makatau,2,1,20081027143625,20081027143733,unknown
50,Sansculotte,2,1,20030827002955,20030924101924,unknown
51,DelSarto,2,0,20110617081013,20110617090147,unknown
52,Hedwig Storch,2,0,20160209144350,20160301113832,unknown
53,C.Löser,2,0,20060423115737,20060424133458,unknown
54,Louis Wu,2,2,20101216145849,20141114100926,unknown
55,Bloomfield~dewiki,2,0,20051129165100,20051129165415,unknown
56,84.142.85.108,2,0,20070329130613,20070329130808,unknown
57,Martinwilke1980,2,0,20051030124637,20051030125535,unknown
58,RobertLechner,2,1,20041009155239,20051104181306,unknown
59,Nachtwächter,2,0,20121128195127,20121128195302,unknown
60,84.169.244.214,2,0,20051005153422,20051005153447,unknown
61,62.104.208.85,2,0,20061129150159,20061129150229,unknown
62,31.19.3.35,2,0,20121003202203,20121003202240,unknown
63,Jed,2,2,20070917162158,20110822134633,unknown
64,Itti,2,2,20140509074227,20151122134931,unknown
65,Jhartmann,2,0,20060111135718,20060111144231,unknown
66,Horst Gräbner,2,1,20161119095821,20180626154956,unknown
67,85.233.54.115,2,0,20070603220952,20070603221218,unknown
68,Hoss,2,2,20160531105921,20160531110304,unknown
69,Rotkaeppchen68,2,2,20121109230031,20121109230129,unknown
70,Matthiasb,2,2,20120419131957,20140125215632,unknown
71,145.254.123.142,2,0,20051221211204,20051221211222,unknown
72,82.199.40.244,2,0,20041015112216,20041015112429,unknown
73,Themistokles1984,2,1,20090313223117,20110104133044,unknown
74,€pa,2,0,20050827114034,20050827114311,unknown
75,84.190.57.100,2,0,20071001190834,20071001191148,unknown
