,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Rita2008,38,2,20080212174359,20180109175047,unknown
1,Nuuk,32,14,20060120100748,20181022071446,unknown
2,Tohma,26,8,20060830135015,20170328134618,unknown
3,Ulitz,25,7,20070106220309,20181117220240,unknown
4,Gabel1960,22,2,20140121171231,20180225085734,unknown
5,Papphase,21,5,20090306001443,20091021120643,unknown
6,DerekSmalls,21,2,20090810100651,20100301095952,unknown
7,TheRandomIP,20,3,20160728125633,20180811134534,unknown
8,Lectorium,19,0,20160601223314,20171206231159,unknown
9,Berichtbestatter,19,0,20160528131227,20170108122206,unknown
10,Ulenspygel,16,9,20151104213805,20151121212022,unknown
11,JosFritz,16,8,20111124232638,20181020223612,unknown
12,Bennsenson,15,1,20100130233816,20100308215009,unknown
13,78.52.147.154,14,0,20150321105548,20150321155842,unknown
14,Hardenacke,14,11,20100201121252,20180820084816,unknown
15,Kleiner Stampfi,13,7,20120731143725,20120902221210,unknown
16,Cartinal,12,7,20090930154906,20180806132136,unknown
17,Hansele,12,0,20040826171148,20060121121342,unknown
18,Mama Leone,12,7,20121031153223,20160530130312,unknown
19,Miltrak,11,0,20130529170950,20140121191058,unknown
20,=,9,6,20111112151256,20160606233300,unknown
21,Eintragung ins Nichts,8,0,20080422143145,20090324164708,unknown
22,Polentario,8,1,20091107124203,20100713155114,unknown
23,House1630,7,2,20100131130831,20160530091841,unknown
24,Klaus Frisch,7,3,20130107232754,20161125231305,unknown
25,Anima,7,4,20170904151844,20170914222610,unknown
26,Politics,7,2,20080519164422,20100304173013,unknown
27,Simpsonsfan2,7,0,20090324181053,20160403143024,unknown
28,Vilary,6,0,20120731141727,20120731152201,unknown
29,Lokalpatriot-Tegel,6,0,20061217125929,20070107191015,unknown
30,Über-Blick,6,0,20170513095851,20180323201339,unknown
31,24karamea,6,2,20101020201506,20170710141949,unknown
32,Sabine Müller,6,0,20090323163912,20090629110316,unknown
33,Neun-x,6,1,20120506080724,20160802144020,unknown
34,Gonzo Greyskull,6,1,20100514192547,20110511200740,unknown
35,Briefkasten300,6,1,20100308204117,20100909142431,unknown
36,Fräggel,6,1,20060830002141,20070516131943,unknown
37,Pelz,6,6,20090727163559,20141113220005,unknown
38,Berlin-Jurist,6,2,20060830130719,20070821163157,unknown
39,Dick Tracy,6,0,20060407094002,20061219000937,unknown
40,Volkstribun 2.0,6,3,20130207140325,20160415223209,unknown
41,Aka,6,6,20060119202013,20180611180557,unknown
42,93.104.185.139,5,0,20110511185059,20110511201404,unknown
43,Messina,5,0,20120123174058,20120127191207,unknown
44,Emma7stern,5,0,20110518210812,20121003224004,unknown
45,217.224.209.210,5,0,20060122145126,20060122180120,unknown
46,217.224.211.21,5,0,20060121090751,20060122001252,unknown
47,Procolotor,5,2,20100515193609,20100516174330,unknown
48,88.72.199.154,5,0,20120831214221,20120902204239,unknown
49,Tinz,5,1,20050917085835,20060122145636,unknown
50,Xocolatl,5,5,20090807233227,20130614140819,unknown
51,Seelefant,5,1,20100211083315,20100211184200,unknown
52,217.224.195.57,5,0,20060119202009,20060119220218,unknown
53,Horst Gräbner,5,2,20151227181802,20181110094524,unknown
54,Gustav von Aschenbach,5,2,20090323164310,20180912114424,unknown
55,Arcy,5,0,20081220170153,20100911164338,unknown
56,Sander Sander,5,0,20160727125314,20160727130249,unknown
57,Berlinersorbenbayer,5,0,20070706202900,20080621191420,unknown
58,Savin 2005,5,4,20080408193737,20100204211107,unknown
59,AF666,5,2,20050423180225,20080815084815,unknown
60,Entlinkt,5,5,20070618002943,20071013021810,unknown
61,Pruefer,5,5,20060821134645,20060821145546,unknown
62,Tolanor,4,4,20130122235714,20130123002134,unknown
63,Uwe Thüringer,4,0,20161208161849,20161208170621,unknown
64,Spacecaptain,4,2,20041101103823,20041101130557,unknown
65,THausherr,4,0,20060525143047,20070716153907,unknown
66,Temtet,4,1,20060829203121,20060830120753,unknown
67,Seddinerphilipp,4,2,20131208203735,20140129185945,unknown
68,Tets,4,2,20080207022455,20110618175434,unknown
69,84.59.225.78,4,0,20060119152903,20060120034125,unknown
70,Von Eden,4,2,20111024080751,20120514131014,unknown
71,87.164.133.206,4,0,20161026174808,20161026183440,unknown
72,89.0.232.37,4,0,20160528112528,20160528114720,unknown
73,Steschke,4,2,20140919195056,20181030225217,unknown
74,Sue107,4,1,20100130214743,20100130214941,unknown
75,Guandalug,4,4,20091117133601,20100313194320,unknown
76,Roentgenium111,4,2,20131029153349,20160531163547,unknown
77,PommDöner,4,0,20170108114405,20170109101522,unknown
78,Nescio*,4,4,20161127221041,20161206145242,unknown
79,RoBri,4,2,20150702075737,20190116151451,unknown
80,THWZ,4,4,20090427174612,20111206080233,unknown
81,Regi51,4,4,20090823110917,20180812225201,unknown
82,JøMa,3,1,20161023102313,20161023132725,unknown
83,Zaphiro,3,1,20060122124140,20091107134215,unknown
84,Iwesb,3,3,20170222035316,20180813014859,unknown
85,Conny,3,3,20060120215152,20060120215446,unknown
86,Heinzelmänchen,3,1,20110607215600,20110607220136,unknown
87,Grindinger,3,0,20120412210331,20180908211658,unknown
88,Raubsaurier,3,0,20080419163653,20080503125457,unknown
89,84.59.168.164,3,0,20050826204139,20050826204405,unknown
90,EH⁴²,3,2,20110413154005,20130530193634,unknown
91,Sprachpfleger,3,1,20110810123755,20151007075355,unknown
92,Grp,3,0,20181108211751,20181108212628,unknown
93,KAMiKAZOW,3,3,20091010095545,20091010095801,unknown
94,Verum,3,0,20161016082745,20161026185753,unknown
95,Wortsportler,3,2,20160727124556,20181108235145,unknown
96,Dlonra,3,2,20100314115245,20130407075702,unknown
97,Unscheinbar,3,2,20040907140151,20061031101902,unknown
98,2A02:8108:4740:58BC:AD15:42D1:387A:A42,3,0,20161122025923,20161122030247,unknown
99,KastusK,3,0,20130430135843,20140213163834,unknown
100,KurtR,3,0,20160528144146,20160623231516,unknown
101,Leit,3,1,20080624183626,20181030215420,unknown
102,Jaellee,3,3,20161012171817,20180824173402,unknown
103,Herr Andrax,3,1,20070107143016,20070107185840,unknown
104,77.10.86.1,3,0,20090910224734,20090910225629,unknown
105,Magnummandel,3,2,20060122001318,20090910224810,unknown
106,Oberst~dewiki,3,0,20080521095139,20080623135336,unknown
107,84.59.189.201,3,0,20050510214336,20050510215059,unknown
108,193.17.232.2,3,0,20100201121239,20111110094106,unknown
109,Mautpreller,3,1,20161229143917,20180113181108,unknown
110,Verita,3,0,20111109100748,20111110104209,unknown
111,Southpark,3,2,20040420121806,20130614151146,unknown
112,Codc,3,1,20120414163804,20140127003338,unknown
113,80.187.107.159,3,0,20130614134804,20130614144635,unknown
114,-jha-,3,1,20060724104210,20071013032711,unknown
115,Rmcharb,3,1,20140126170331,20190116151337,unknown
116,203.59.60.42,3,0,20110415015513,20160727014229,unknown
117,67.166.158.239,3,0,20091027053044,20091027233359,unknown
118,78.53.5.98,3,0,20170222035108,20170222040626,unknown
119,193.17.243.1,3,0,20110228115902,20111110085609,unknown
120,Buchbibliothek,3,1,20141113064900,20170910234954,unknown
121,217.224.203.104,3,0,20060120215128,20060120215416,unknown
122,Pittimann,3,2,20121004152036,20170928075612,unknown
123,Tönjes,3,3,20070609162928,20070817133616,unknown
124,Stefanbw,3,0,20090302153405,20171126185527,unknown
125,Andy king50,3,2,20161026181604,20180603154109,unknown
126,84.183.109.148,3,0,20141218062837,20141218064307,unknown
127,Gnu1742,3,0,20090707140938,20091116160301,unknown
128,Hozro,3,3,20091009132821,20110511202018,unknown
129,Rosenzweig,3,0,20110609145705,20110609150348,unknown
130,Bunnyfrosch,3,0,20090929121530,20100201194722,unknown
131,Schnederpelz,3,1,20120302172043,20120518072629,unknown
132,Armin P.,3,3,20091111235645,20111112162216,unknown
133,Andropov,2,1,20150309105044,20161125224535,unknown
134,95.168.158.104,2,0,20130310143149,20130310143316,unknown
135,Fossa,2,1,20070509232910,20070511165712,unknown
136,Parzi,2,0,20131125224524,20131125225342,unknown
137,Sujalajus,2,0,20150625201039,20170109105054,unknown
138,UKoch,2,2,20170903180924,20170903181916,unknown
139,Pauelz,2,1,20180816181638,20181031153747,unknown
140,Kh80,2,2,20060118181326,20060118203909,unknown
141,Pölkkyposkisolisti,2,1,20140911143246,20160603184930,unknown
142,MachtaUnix,2,0,20150322192333,20150322192912,unknown
143,188.103.216.73,2,0,20111112124136,20111112124201,unknown
144,Bene16,2,2,20090402072020,20090402072113,unknown
145,BKSlink,2,1,20090908193835,20091124093642,unknown
146,89.204.153.170,2,0,20130608214441,20130608214643,unknown
147,Baird's Tapir,2,2,20111023101546,20111113084203,unknown
148,Velo-PEDI,2,2,20171014120817,20171014142130,unknown
149,Dmicha,2,2,20141218111005,20180716071605,unknown
150,Rauschenderbach,2,0,20150717205514,20150717205658,unknown
151,D,2,2,20060122001029,20060122001234,unknown
152,217.186.187.165,2,0,20130220104744,20130220105033,unknown
153,Fiede,2,0,20070423104513,20070423104646,unknown
154,Saturn25,2,0,20131004113937,20131004120055,unknown
155,Ingmar Suhrbier,2,0,20080519172112,20080519172202,unknown
156,Theokrat,2,0,20090612083410,20090621102836,unknown
157,94.220.155.28,2,0,20120505112514,20120505113648,unknown
158,Finanzer,2,2,20060119220155,20060119220233,unknown
159,33cln33,2,2,20161229143752,20161229151936,unknown
160,217.232.99.128,2,0,20090918085523,20090918085617,unknown
161,Hartmann Linge,2,1,20091123162217,20110426171432,unknown
162,Seewolf,2,2,20161208091306,20161208172628,unknown
163,HSV4life,2,2,20180122191150,20180122191217,unknown
164,Anselmikus,2,0,20140502123239,20140520130757,unknown
165,Escla,2,1,20090325124310,20130614163535,unknown
166,BrutFork,2,1,20160623224559,20161106214209,unknown
167,92.229.52.74,2,0,20100708190824,20100708190859,unknown
168,Peter B. Liebig,2,0,20090807232924,20090807233054,unknown
169,Laeufer,2,1,20100205160036,20100205161520,unknown
170,80.228.64.106,2,0,20070511122241,20070511165544,unknown
171,M 93,2,0,20170126191023,20170126191036,unknown
172,Revus~dewiki,2,2,20110609142259,20110609142340,unknown
173,Edelseider,2,0,20080518151932,20080520055158,unknown
174,Olaf Kosinsky,2,0,20160321220708,20160326092753,unknown
175,217.227.152.80,2,0,20050226114515,20050226114545,unknown
176,87.245.109.46,2,0,20120414163556,20120414163814,unknown
177,LexyNN,2,0,20130823091851,20130823091914,unknown
178,Qaswa,2,2,20160723095824,20160723100200,unknown
179,Rademacher2015,2,1,20161207194159,20170123101713,unknown
180,Musikhörer,2,1,20070617121933,20070617122405,unknown
181,Sebastian Muders,2,0,20080214212924,20080214213028,unknown
182,Claus P.,2,0,20151013181047,20151013181457,unknown
183,Medozas,2,0,20181110094310,20181110094544,unknown
184,Blunt.,2,1,20090707145826,20090707145854,unknown
185,Xqt,2,2,20160528115841,20161122050743,unknown
186,Komischn,2,2,20120602003554,20150529092918,unknown
187,188.111.121.26,2,0,20130110143301,20130110143425,unknown
188,Limdictus,2,1,20170824180554,20170824210600,unknown
189,Label5,2,0,20101029074400,20101030093325,unknown
190,Giftmischer,2,2,20110525152208,20131004151354,unknown
191,84.180.113.226,2,0,20061016175937,20061016180005,unknown
192,89.245.72.46,2,0,20090906120324,20090906120430,unknown
193,84.158.251.77,2,0,20070609162919,20070609163549,unknown
194,ChristophS,2,2,20171116115704,20171116120008,unknown
195,Tarantelle,2,0,20090228131830,20090323190317,unknown
196,84.128.143.242,2,0,20040811230438,20040811230458,unknown
197,Schlachtnagel,2,0,20160529080107,20160529080546,unknown
198,Timur und sein Trupp,2,0,20080212112822,20080212115205,unknown
199,HeicoH,2,0,20141207001111,20150103034758,unknown
200,RonaldH,2,0,20080802200732,20160322145404,unknown
201,Str1977,2,0,20111113082451,20111113083304,unknown
202,Thomas Wozniak,2,0,20100515204207,20160321193241,unknown
203,Tapetis,2,0,20180311211314,20180520183116,unknown
204,2003:74:CD09:2416:2D80:3A2E:7C4F:C9CB,2,0,20150523211813,20150523211954,unknown
205,Ansgar Björn Behringer,2,0,20161208085404,20161208090542,unknown
206,Wiegels,2,2,20100731224210,20170918203211,unknown
207,Pöt,2,1,20111026162411,20111031065227,unknown
208,217.255.10.254,2,0,20040907055207,20040907055247,unknown
209,FredericII,2,2,20070608051858,20080307040155,unknown
210,178.11.199.105,2,0,20180603145138,20180603153641,unknown
211,Thgoiter,2,0,20150306164300,20150309093431,unknown
212,Schoener alltag,2,2,20120603065935,20120603070304,unknown
213,217.224.211.25,2,0,20060122124002,20060122124048,unknown
214,MorbZ-Bot,2,2,20130302132855,20130425023651,unknown
215,Taiwanfreund,2,2,20100518221516,20100518221755,unknown
216,172.177.182.205,2,0,20070427161554,20070427161622,unknown
217,Kroko.Deal,2,0,20161011104525,20161022171202,unknown
218,König der Geister,2,2,20080516101454,20080516102641,unknown
219,217.83.14.222,2,0,20050109120136,20050109120609,unknown
220,217.224.214.184,2,0,20060118181134,20060118203707,unknown
221,Xneb20,2,0,20161208161801,20161208162014,unknown
222,Assayer,2,1,20140618192946,20140619114139,unknown
223,ZéroBot,2,2,20111109123255,20120326132310,unknown
224,Mogelzahn,2,2,20041009104046,20050503202903,unknown
225,Wilske,2,1,20091117083147,20091117133509,unknown
226,GünniX,2,2,20171127063837,20171127063905,unknown
227,Boshomi,2,1,20151005172724,20161027121752,unknown
228,91.15.197.191,2,0,20090809112336,20090809112450,unknown
229,Altsprachenfreund,2,2,20160529095220,20161014164544,unknown
230,Quant3-kurzstrumpf,2,0,20100222221410,20100223090658,unknown
231,91.47.147.147,2,0,20100528173235,20100528173326,unknown
232,4Frankie,2,1,20111114140116,20111114140346,unknown
233,Cirdan,2,1,20170205151755,20170212215035,unknown
234,Lutheraner,2,0,20140920161523,20140920161715,unknown
235,94.16.66.131,2,0,20150616181957,20150616182055,unknown
236,Harrobot,2,2,20161210135326,20161213113604,unknown
237,Theghaz,2,0,20110518204917,20110616120347,unknown
238,158.143.45.253,2,0,20160727122332,20160727122502,unknown
239,Alnilam,2,1,20130614144645,20150625171756,unknown
240,Der Marsianer,2,2,20180623082507,20180623083428,unknown
241,217.227.158.146,2,0,20040907135542,20040907135602,unknown
242,Hydro,2,2,20160611180154,20180520211037,unknown
243,Isa Blake,2,0,20120917150410,20120917150834,unknown
244,Asthma,2,2,20100227115559,20100227115621,unknown
245,Minderbinder,2,1,20100616154206,20100824073638,unknown
246,85.181.124.51,2,0,20070608084258,20070608084603,unknown
247,80.133.246.205,2,0,20140127003209,20140127003506,unknown
248,KompostBot,1,1,20180608044913,20180608044913,unknown
249,178.202.136.198,1,0,20110920210604,20110920210604,unknown
250,Donat,1,1,20081220172419,20081220172419,unknown
251,ANKAWÜ,1,1,20181121093723,20181121093723,unknown
252,2A02:8071:41CD:5B00:5D5C:A5F:CDA3:825F,1,0,20150721202109,20150721202109,unknown
253,79.213.251.87,1,0,20090807230845,20090807230845,unknown
254,Baba Wijnia,1,0,20040708195539,20040708195539,unknown
255,LeoDavid,1,0,20160528144035,20160528144035,unknown
256,Kurzsprung,1,1,20111120113337,20111120113337,unknown
257,Oberlaender,1,1,20091027053101,20091027053101,unknown
258,84.190.146.36,1,0,20050722134658,20050722134658,unknown
259,Thomas Glintzer,1,1,20100204211556,20100204211556,unknown
260,FordPrefect42,1,1,20100520223943,20100520223943,unknown
261,Senior Coconut,1,1,20170924172343,20170924172343,unknown
262,85.178.129.83,1,0,20110303174242,20110303174242,unknown
263,JAnDbot,1,1,20080201120005,20080201120005,unknown
264,Henry Purcel,1,0,20141124085656,20141124085656,unknown
265,John Red,1,0,20110705154125,20110705154125,unknown
266,TheK,1,0,20080620232610,20080620232610,unknown
267,Didionline,1,1,20181020222945,20181020222945,unknown
268,87.170.139.92,1,0,20111112224725,20111112224725,unknown
269,84.190.32.66,1,0,20090620192827,20090620192827,unknown
270,Arne List,1,0,20040210135413,20040210135413,unknown
271,Ute Erb,1,1,20160521111159,20160521111159,unknown
272,Pinneberg,1,0,20111113101240,20111113101240,unknown
273,Ulsimitsuki,1,1,20091001224826,20091001224826,unknown
274,Groucho,1,1,20050515123146,20050515123146,unknown
275,Tscherpownik,1,0,20161011225348,20161011225348,unknown
276,Jbergner,1,0,20120509065713,20120509065713,unknown
277,Mr. mettwurst,1,0,20100201153939,20100201153939,unknown
278,88.71.146.227,1,0,20170122153942,20170122153942,unknown
279,95.118.64.74,1,0,20100515185427,20100515185427,unknown
280,Ixitixel,1,0,20070107142327,20070107142327,unknown
281,Flo998,1,1,20130910105458,20130910105458,unknown
282,77.188.113.205,1,0,20101105225605,20101105225605,unknown
283,80.134.68.28,1,0,20070927143038,20070927143038,unknown
284,Dschungelfan,1,0,20180409215424,20180409215424,unknown
285,Der Tildenmann,1,0,20080517202619,20080517202619,unknown
286,Ilja Lorek,1,0,20150608081620,20150608081620,unknown
287,Spuk968,1,1,20111112164339,20111112164339,unknown
288,217.84.177.2,1,0,20090521211250,20090521211250,unknown
289,79.237.195.169,1,0,20160314144617,20160314144617,unknown
290,Balham Bongos,1,1,20090925161956,20090925161956,unknown
291,Menze,1,0,20050205185516,20050205185516,unknown
292,145.253.111.194,1,0,20091220125645,20091220125645,unknown
293,217.81.33.191,1,0,20121124162611,20121124162611,unknown
294,84.130.80.183,1,0,20100511215356,20100511215356,unknown
295,TableSitter,1,1,20061112221125,20061112221125,unknown
296,Pentachlorphenol,1,1,20170630055215,20170630055215,unknown
297,Tobiwae,1,1,20130811210420,20130811210420,unknown
298,Silewe,1,1,20101009190152,20101009190152,unknown
299,84.184.72.147,1,0,20070714193921,20070714193921,unknown
300,Skittels0,1,0,20180228102343,20180228102343,unknown
301,Natsu Dragoneel,1,0,20180806203052,20180806203052,unknown
302,Jivee Blau,1,1,20151219043037,20151219043037,unknown
303,MoldBreaker,1,1,20160721205543,20160721205543,unknown
304,Xiaozhouzhou,1,0,20091117123151,20091117123151,unknown
305,YurikBot,1,1,20051209124107,20051209124107,unknown
306,Maasikaru,1,0,20161206102458,20161206102458,unknown
307,RobertLechner,1,1,20121006151125,20121006151125,unknown
308,Moucis,1,0,20100313194158,20100313194158,unknown
309,2003:DE:CBC0:918D:EC04:77CF:C55A:5189,1,0,20170402172930,20170402172930,unknown
310,78.49.136.58,1,0,20100721220141,20100721220141,unknown
311,82.82.136.192,1,0,20070617102510,20070617102510,unknown
312,Benatrevqre,1,0,20171208084204,20171208084204,unknown
313,Inkowik,1,1,20140215211314,20140215211314,unknown
314,109.192.11.12,1,0,20180611111720,20180611111720,unknown
315,46.237.220.217,1,0,20190116114517,20190116114517,unknown
316,46.243.85.220,1,0,20151013171306,20151013171306,unknown
317,82.82.144.71,1,0,20040902173328,20040902173328,unknown
318,87.123.241.186,1,0,20111206055218,20111206055218,unknown
319,91.64.174.84,1,0,20091108133513,20091108133513,unknown
320,Felistoria,1,1,20161026184426,20161026184426,unknown
321,Toa7d6,1,0,20120830212114,20120830212114,unknown
322,Radh,1,0,20100223114416,20100223114416,unknown
323,2003:48:8F73:23F4:D10:4750:BDC5:40AB,1,0,20170310233034,20170310233034,unknown
324,M-B,1,0,20130327231444,20130327231444,unknown
325,Lemidi,1,1,20100603102833,20100603102833,unknown
326,217.231.242.153,1,0,20070607224830,20070607224830,unknown
327,Boenki,1,1,20180526075526,20180526075526,unknown
328,Visitator,1,1,20081204210242,20081204210242,unknown
329,Björn Bornhöft,1,1,20090707143537,20090707143537,unknown
330,82.83.136.144,1,0,20040612121500,20040612121500,unknown
331,Centenier,1,1,20160528114841,20160528114841,unknown
332,87.179.187.140,1,0,20111114163326,20111114163326,unknown
333,217.68.180.58,1,0,20050614200154,20050614200154,unknown
334,Jochen2707,1,0,20120524054916,20120524054916,unknown
335,78.52.55.202,1,0,20100204211017,20100204211017,unknown
336,134.99.2.130,1,0,20170212213718,20170212213718,unknown
337,88.73.253.214,1,0,20100515224539,20100515224539,unknown
338,LukyFrame,1,0,20170923224625,20170923224625,unknown
339,95.88.95.35,1,0,20110223151611,20110223151611,unknown
340,Pinus pinea,1,1,20071216105111,20071216105111,unknown
341,DerHexer,1,0,20140924002510,20140924002510,unknown
342,Akkakk,1,0,20110612010416,20110612010416,unknown
343,Drhwenk,1,1,20180912114331,20180912114331,unknown
344,Frag9812,1,0,20150617171532,20150617171532,unknown
345,Wagenknechthä,1,0,20111112182021,20111112182021,unknown
346,RonMeier,1,1,20160329161436,20160329161436,unknown
347,Lipstar,1,0,20090929221551,20090929221551,unknown
348,84.142.58.7,1,0,20050508135856,20050508135856,unknown
349,194.39.1.132,1,0,20160916090440,20160916090440,unknown
350,Romwriter,1,0,20100514185500,20100514185500,unknown
351,Rabanus Flavus,1,1,20170726203853,20170726203853,unknown
352,Kursch,1,1,20130907210544,20130907210544,unknown
353,84.165.160.172,1,0,20101024143942,20101024143942,unknown
354,80.228.74.194,1,0,20070822175930,20070822175930,unknown
355,Ralf Roletschek,1,0,20180323065428,20180323065428,unknown
356,Mthezeroth,1,1,20080428134445,20080428134445,unknown
357,110.165.189.129,1,0,20180812225055,20180812225055,unknown
358,Tremonist,1,1,20150528122936,20150528122936,unknown
359,79.219.32.207,1,0,20111112153652,20111112153652,unknown
360,78.53.64.243,1,0,20090429100512,20090429100512,unknown
361,Cmpr,1,0,20160202120111,20160202120111,unknown
362,Malula,1,0,20041223111356,20041223111356,unknown
363,WinfriedSchneider,1,1,20120320201707,20120320201707,unknown
364,Jazzman,1,0,20051227213238,20051227213238,unknown
365,Qyerro,1,0,20121105070359,20121105070359,unknown
366,Head,1,1,20061001105235,20061001105235,unknown
367,87.152.111.61,1,0,20130703151956,20130703151956,unknown
368,HiW-Bot,1,1,20100918063517,20100918063517,unknown
369,Gammelgul,1,0,20070621102736,20070621102736,unknown
370,Franz Kappes,1,1,20080226074109,20080226074109,unknown
371,Rotesdiadem,1,0,20180803114838,20180803114838,unknown
372,Emmridet,1,1,20150321155631,20150321155631,unknown
373,Lindsay Cobain,1,1,20111030213236,20111030213236,unknown
374,Bernabo,1,0,20190309200629,20190309200629,unknown
375,93.131.110.25,1,0,20090902084829,20090902084829,unknown
376,Definitiv,1,1,20111220085137,20111220085137,unknown
377,91.64.150.35,1,0,20091115181426,20091115181426,unknown
378,194.145.64.117,1,0,20050917085740,20050917085740,unknown
379,79.239.114.57,1,0,20121003223343,20121003223343,unknown
380,Hölzl 74,1,0,20100304110435,20100304110435,unknown
381,Unfugsbeseitiger,1,1,20170327083946,20170327083946,unknown
382,Chbegga,1,1,20070608090202,20070608090202,unknown
383,Ptolusque,1,1,20171022232327,20171022232327,unknown
384,Frogfol,1,1,20140127004301,20140127004301,unknown
385,Sf67,1,1,20110418100241,20110418100241,unknown
