,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Cirdan,53,16,20150805191450,20181117114933,unknown
1,Fossa,7,0,20180201105830,20180302173322,unknown
2,Natsu Dragoneel,7,5,20150412071718,20181023125558,unknown
3,AKor4711,6,4,20150728064337,20150728072416,unknown
4,Anne Winsch,5,0,20170511032225,20170511202633,unknown
5,Pendethan,5,0,20161109164612,20181022080855,unknown
6,Willi Weasel,5,2,20161211231950,20161213165304,unknown
7,Kabelschmidt,5,5,20171017071628,20171024104415,unknown
8,Synkretist,4,1,20170315220626,20171027093749,unknown
9,Seewolf,4,4,20171021063355,20181023125725,unknown
10,Flavia67,4,2,20161209103618,20161216164054,unknown
11,Laviva1,3,0,20161211113238,20161220003032,unknown
12,Abutoum,3,2,20180903072844,20180903074504,unknown
13,Thylacin,3,0,20161209100629,20180301173521,unknown
14,Bujo,3,1,20160406182707,20160406183413,unknown
15,JonskiC,3,0,20170815093537,20170816101917,unknown
16,Aka,3,3,20140129104521,20171024091529,unknown
17,Dtuk,3,2,20171024050820,20171029173930,unknown
18,LexICon,3,1,20180902231513,20181111011620,unknown
19,Itu,3,0,20171025103753,20171027162036,unknown
20,WeiterWeg,3,0,20180919040110,20181117104237,unknown
21,Maeve von Connacht,2,1,20160102055837,20160118000648,unknown
22,Belarpady,2,1,20150918171053,20150918171226,unknown
23,134.245.44.19,2,0,20180403150904,20180403151100,unknown
24,Snoopy1964,2,2,20160112083512,20160303100754,unknown
25,Hubschrauberspezialist,2,0,20171021071538,20171021071812,unknown
26,Bartlebooth,2,2,20160629191322,20160705203004,unknown
27,Schnabeltassentier,2,0,20171021054528,20171021071623,unknown
28,2.247.254.168,2,0,20181023120950,20181023122140,unknown
29,Horst Gräbner,2,2,20151231104302,20160102073131,unknown
30,Krdbot,2,2,20160429020300,20160517021453,unknown
31,88.71.183.103,2,0,20160719175133,20160720133915,unknown
32,Stefanbw,2,0,20140227001702,20140227002146,unknown
33,PaulAsimov,2,1,20180923111517,20180923190119,unknown
34,79.238.173.186,2,0,20160101105506,20160102072723,unknown
35,Rmcharb,2,0,20180624145800,20180624150500,unknown
36,2001:16B8:6743:1D00:F17C:B0A6:6193:83EC,2,0,20181022073945,20181022075244,unknown
37,Merkasso,2,0,20160810153010,20170119155012,unknown
38,The SBC Guy,2,0,20160629155715,20160629155744,unknown
39,RoBri,2,2,20170219114829,20181023121002,unknown
40,Chaddy,2,2,20140226233247,20140226233332,unknown
41,Longinus Müller,2,0,20180228194318,20180228194812,unknown
42,Tristangelug,2,0,20171017071841,20171018065420,unknown
43,78.55.45.223,2,0,20171103154658,20171103155842,unknown
44,Trebronson,2,0,20180219100853,20180301090105,unknown
45,Muruj,2,0,20140126183529,20140129165204,unknown
46,79.246.148.86,2,0,20150718194802,20150718195418,unknown
47,217.87.159.151,2,0,20181023125548,20181023125652,unknown
48,Mankamla,2,0,20171021054356,20171021054605,unknown
49,80.141.72.16,1,0,20170813140649,20170813140649,unknown
50,Pelz,1,0,20170613223750,20170613223750,unknown
51,DerPhimor,1,1,20170906102951,20170906102951,unknown
52,TaxonBot,1,1,20190306235112,20190306235112,unknown
53,77.179.168.24,1,0,20150817175226,20150817175226,unknown
54,77.180.197.3,1,0,20161220171533,20161220171533,unknown
55,77.186.59.127,1,0,20140806231430,20140806231430,unknown
56,79.215.159.68,1,0,20160813153146,20160813153146,unknown
57,77.178.28.27,1,0,20181022201803,20181022201803,unknown
58,Jaellee,1,1,20171028120337,20171028120337,unknown
59,Berichtbestatter,1,0,20171121204933,20171121204933,unknown
60,194.127.8.28,1,0,20160705133430,20160705133430,unknown
61,Andy king50,1,1,20151009152026,20151009152026,unknown
62,92.230.27.43,1,0,20171029171103,20171029171103,unknown
63,Werner von Basil,1,1,20160112093639,20160112093639,unknown
64,Grummi53,1,0,20150301100920,20150301100920,unknown
65,80.128.240.20,1,0,20151231104231,20151231104231,unknown
66,80.114.160.33,1,0,20170625225745,20170625225745,unknown
67,Dievo,1,1,20150409121930,20150409121930,unknown
68,Majo statt Senf,1,0,20171021072015,20171021072015,unknown
69,217.91.165.233,1,0,20150813114516,20150813114516,unknown
70,2.240.112.116,1,0,20161210120512,20161210120512,unknown
71,2A02:120B:2C23:5AA0:C0D3:CFB3:D972:4EC1,1,0,20190109202611,20190109202611,unknown
72,Bernardoni,1,0,20180903102952,20180903102952,unknown
73,Tsungam,1,0,20171201081415,20171201081415,unknown
74,109.42.2.7,1,0,20160810092842,20160810092842,unknown
75,78.55.233.37,1,0,20181021070115,20181021070115,unknown
76,Slökmann,1,0,20161208144031,20161208144031,unknown
77,Munci,1,0,20170114161623,20170114161623,unknown
78,62.156.58.33,1,0,20160112082748,20160112082748,unknown
79,79.198.142.205,1,0,20171229131534,20171229131534,unknown
80,Felix Stember,1,1,20171021071925,20171021071925,unknown
81,Sumwiki,1,1,20170902201255,20170902201255,unknown
82,Lorenz Ernst,1,1,20161209065749,20161209065749,unknown
83,62.226.105.59,1,0,20170815091054,20170815091054,unknown
84,94.221.177.253,1,0,20151007120907,20151007120907,unknown
85,95.90.251.101,1,0,20170219112510,20170219112510,unknown
86,Muns,1,1,20161209104039,20161209104039,unknown
87,Der.Traeumer,1,0,20160810093254,20160810093254,unknown
88,78.55.172.32,1,0,20150301101638,20150301101638,unknown
89,78.55.55.117,1,0,20160813181532,20160813181532,unknown
90,188.105.233.141,1,0,20180624145710,20180624145710,unknown
91,78.52.214.167,1,0,20171102235740,20171102235740,unknown
92,Sprachpfleger,1,1,20181021091503,20181021091503,unknown
93,OryxBeisa,1,0,20171015083012,20171015083012,unknown
94,2003:42:2E24:E85:EC75:6B25:EE83:6480,1,0,20170705172030,20170705172030,unknown
95,Bigbug21,1,0,20180727205906,20180727205906,unknown
96,79.246.129.11,1,0,20150815215453,20150815215453,unknown
97,77.179.146.13,1,0,20161211174029,20161211174029,unknown
98,Kuebi,1,1,20160303102734,20160303102734,unknown
99,77.180.214.154,1,0,20160810203053,20160810203053,unknown
100,Vorruheständler,1,0,20190305112154,20190305112154,unknown
101,62.156.49.245,1,0,20160216094310,20160216094310,unknown
102,87.234.54.202,1,0,20180223102148,20180223102148,unknown
103,Heldt,1,0,20181112203125,20181112203125,unknown
104,87.154.46.210,1,0,20171017204134,20171017204134,unknown
105,Nicola,1,1,20160103201625,20160103201625,unknown
106,WernR,1,1,20180903145352,20180903145352,unknown
107,84.180.12.109,1,0,20151009151953,20151009151953,unknown
108,77.20.248.211,1,0,20170511031001,20170511031001,unknown
109,Vincenzo1492,1,0,20171021073930,20171021073930,unknown
110,Wischmat,1,1,20140227145917,20140227145917,unknown
111,188.102.145.84,1,0,20150412070408,20150412070408,unknown
112,78.55.24.86,1,0,20160816202826,20160816202826,unknown
113,87.138.222.226,1,0,20181023124605,20181023124605,unknown
114,Gustav von Aschenbach,1,1,20160101105601,20160101105601,unknown
