,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,MAGISTER,182,127,20080524101238,20160324132547,unknown
1,Phi,36,8,20080422200815,20160512160845,unknown
2,217.91.111.127,24,0,20051206175747,20051212095936,unknown
3,Oltau,21,11,20080811185017,20150713095052,unknown
4,Hardenacke,19,18,20070326152526,20140614123952,unknown
5,Tankret,15,7,20061222220634,20070518134207,unknown
6,Sprachfreund49,14,3,20120226150206,20120310165118,unknown
7,Matthead,13,0,20060424160414,20101215182746,unknown
8,DNawrocki,11,9,20130219191623,20161113163047,unknown
9,Sendker,10,0,20080518061854,20080525155731,unknown
10,Wietek,7,3,20101114155109,20140226171750,unknown
11,Marcus Valerius Corvus,6,2,20080729092334,20080925201825,unknown
12,Marie-Luise Heckmann,6,5,20160812111345,20160812112326,unknown
13,84.130.190.11,6,0,20061127004301,20061127010408,unknown
14,Aka,6,6,20070326105809,20180814202135,unknown
15,Peter200,5,5,20070326112143,20091129094336,unknown
16,View1238,5,0,20170228001103,20170228104745,unknown
17,84.245.189.219,5,0,20051110103048,20051110104042,unknown
18,Schubbay,5,2,20080807145342,20080826143014,unknown
19,AHZ,5,4,20050405112641,20051206191410,unknown
20,Der Eberswalder,5,2,20070117181818,20070128043841,unknown
21,Luckas-bot,5,5,20100715070823,20120508183223,unknown
22,PeterBraun74,5,5,20140913120641,20160918170848,unknown
23,R. L. 68,5,0,20100715130900,20100715182701,unknown
24,Florian.Keßler,5,1,20050601142730,20080719230253,unknown
25,Baumfreund-FFM,5,2,20130801101752,20180324064928,unknown
26,Brühl,4,0,20100715062101,20150715085207,unknown
27,91.41.111.93,4,0,20100715131313,20100715131902,unknown
28,145.254.100.7,4,0,20050507154843,20050507155455,unknown
29,Herrgott,4,4,20090316121410,20101029091025,unknown
30,WikiBenutzer,4,4,20120827091448,20160121095554,unknown
31,PortalBot,4,4,20060130222534,20071110123711,unknown
32,KnightMove,4,1,20080226204142,20080226205634,unknown
33,B.gliwa,4,2,20080918155718,20080918161348,unknown
34,TravenTorsvan,4,0,20091120121251,20100112003726,unknown
35,Atomiccocktail,4,3,20080809080111,20080809083926,unknown
36,Thorsten1,3,2,20050405111157,20050405124326,unknown
37,Xqbot,3,3,20100710121326,20130709131221,unknown
38,Sisal13,3,3,20071025114154,20100720165529,unknown
39,Interrex,3,3,20061221114351,20071012153806,unknown
