,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Iseebias,396,0,20070204045837,20071113124950,unknown
1,imported>Deeceevoice,346,6,20050201153056,20090621090412,unknown
2,imported>Zaphnathpaaneah,229,0,20050810020902,20061014035816,unknown
3,imported>Muntuwandi,212,0,20061206050158,20080330232418,unknown
4,imported>Editingoprah,191,0,20060717030329,20061201000429,unknown
5,Ezeu,182,0,20060717235314,20100524222705,unknown
6,imported>Halaqah,163,0,20060606110905,20090604103822,unknown
7,Wobble~dewiki,126,0,20061121072605,20080902044720,unknown
8,imported>Jeeny,106,0,20070309195954,20071208081524,unknown
9,imported>Whatdoyou,89,0,20060718152222,20061207165350,unknown
10,imported>Timelist,80,0,20061008193547,20061209160511,unknown
11,imported>FrankWSweet,76,8,20051201172301,20060503184204,unknown
12,imported>Kobrakid,76,0,20060719000123,20070124193638,unknown
13,Spylab,75,0,20060922180014,20070308165857,unknown
14,Jd2718,74,0,20061208004440,20070623152538,unknown
15,imported>BrainyBabe,70,0,20070820072528,20101102125632,unknown
16,imported>AnwarSadatFan,65,0,20090429071902,20100515152253,unknown
17,208.254.174.148,62,0,20050804221729,20061001031632,unknown
18,Paul Barlow,62,3,20050920095932,20101109092221,unknown
19,Dbachmann,58,0,20070801200649,20090725094619,unknown
20,68.60.55.162,57,0,20050804232713,20060914203430,unknown
21,imported>SecurID,53,0,20061024142811,20070304153848,unknown
22,Lukas19,47,0,20061126130005,20070306033611,unknown
23,imported>Gottoupload,46,0,20061004223830,20070302190002,unknown
24,Malik Shabazz,46,0,20070624235550,20100921041944,unknown
25,imported>Christmasgirl,45,0,20070216210741,20080223143355,unknown
26,imported>Salsassin,41,0,20051210215432,20061024180510,unknown
27,Jossi2,41,0,20060517154453,20071117232955,unknown
28,Patrick0Moran,39,0,20061118053044,20070412024706,unknown
29,Filll,36,0,20061101160542,20070116230640,unknown
30,imported>ThePedanticPrick,35,18,20050915201738,20060614162339,unknown
31,imported>Taharqa,34,0,20070329074705,20071010003256,unknown
32,imported>Nonexistant User,30,0,20061118013503,20080222140801,unknown
33,RichardWeiss,30,0,20070107210319,20081001014513,unknown
