,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Andropov,25,7,20150222001429,20180529203327,unknown
1,Alkim Y,19,8,20110531053726,20131118172621,unknown
2,Agathenon,16,5,20121215162946,20160528033806,unknown
3,In dubio pro dubio,14,14,20110911222445,20110913154432,unknown
4,Bennsenson,11,0,20110911204543,20140316172219,unknown
5,Hardenacke,8,8,20071225200211,20080908183102,unknown
6,Feldrain,7,7,20150807184141,20150807203600,unknown
7,Voyager1500,7,0,20150302115125,20150302161105,unknown
8,Otberg,7,4,20140210233007,20170308174056,unknown
9,Cyve,6,2,20140214161905,20140215094741,unknown
10,Inga Wagner,6,1,20101130143803,20101130153057,unknown
11,Euphoriceyes,6,3,20080821131124,20080904130820,unknown
12,Kleiner Stampfi,5,2,20140214065117,20140215105957,unknown
13,TMFS,5,1,20060102203239,20080208114812,unknown
14,Saint-Louis,5,0,20110915082254,20140212105249,unknown
15,Rudolfox,5,0,20140212095351,20140214215729,unknown
16,JosFritz,5,3,20140221064114,20180529203103,unknown
17,Jossiphon,4,4,20180807113843,20181229002013,unknown
18,Maxim0815,4,0,20080820165559,20080820171822,unknown
19,Arkmueller,4,3,20121230141255,20130428144816,unknown
20,80.132.133.112,4,0,20140212105752,20140212134455,unknown
21,Inga Maria Wagner,4,1,20110524122611,20121106102015,unknown
22,Lettres,4,0,20140512200206,20141220210813,unknown
23,Itu,4,1,20140213151521,20150303034243,unknown
24,193.17.243.103,4,0,20080821131059,20080821133501,unknown
25,4Frankie,4,1,20130415195735,20140211085146,unknown
26,84.131.32.68,4,0,20120110135030,20120110140456,unknown
27,Juerg-emil,4,1,20150119084639,20150519144542,unknown
28,Syrcro,4,0,20140211083623,20140211084323,unknown
29,Nemissimo,4,0,20100409081733,20100409082741,unknown
30,KurtR,4,1,20110910230708,20180529202829,unknown
31,Rosenkohl,4,0,20140212095656,20140219131022,unknown
32,193.17.232.1,3,0,20080403223143,20121122155719,unknown
33,Regi51,3,3,20140317150228,20140317150541,unknown
34,193.17.243.102,3,0,20070324152354,20080503015453,unknown
35,Aka,3,3,20140220172913,20161104203013,unknown
