,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Volkstribun 2.0,46,17,20130112013413,20170629124330,unknown
1,Janjonas,34,32,20161224064422,20190213204755,unknown
2,Berlin-Jurist,23,3,20051108211829,20061105232118,unknown
3,Times,22,8,20091024154118,20111226020229,unknown
4,Olaf Kosinsky,21,2,20150901083239,20160321091104,unknown
5,Fb8,19,6,20150904093906,20150910181400,unknown
6,TMFS,18,2,20040930161653,20080402104513,unknown
7,Hardenacke,16,12,20071228220950,20170702113544,unknown
8,Perrak,13,0,20091114154703,20180101004805,unknown
9,Mogelzahn,12,3,20091031171823,20180406133215,unknown
10,Verzettelung,11,8,20120402065359,20171103190625,unknown
11,2003:56:2D0B:F5AF:58BF:75F:6D64:5D78,11,0,20151216231233,20151217000453,unknown
12,Agp,11,3,20091005203039,20120203124505,unknown
13,Diopuld,11,0,20180921235242,20180922002240,unknown
14,Aka,10,10,20050707152726,20180212150454,unknown
15,EH⁴²,10,3,20130127124049,20161223120944,unknown
16,Pittimann,9,7,20100111075659,20161027070726,unknown
17,134.106.119.31,9,0,20100319211413,20100323162629,unknown
18,Autumn Windfalls,9,1,20170124165324,20170124193622,unknown
19,Horst Gräbner,9,6,20130110133857,20180704080610,unknown
20,Smit,9,0,20050923074433,20130116165757,unknown
21,Neun-x,8,0,20100701132242,20180226193453,unknown
22,77.22.234.82,8,0,20171213030931,20171213031508,unknown
23,Donlot,8,6,20160228182356,20160228184040,unknown
24,Gustav von Aschenbach,8,6,20090403000447,20160918163449,unknown
25,Nixus Minimax,8,3,20160904114636,20190220174557,unknown
26,Von Eden,8,7,20110728053201,20120214165140,unknown
27,141.41.237.194,7,0,20051216110555,20051216111101,unknown
28,House1630,7,3,20100208123744,20160304191231,unknown
29,FaktenSucher,7,0,20160224213515,20160307141428,unknown
30,Feliks,7,0,20120316093917,20120628060835,unknown
31,Regi51,7,7,20100108232806,20170214202458,unknown
32,CherryX,6,2,20120911195645,20131129084600,unknown
33,Serols,6,6,20141121100948,20151215151456,unknown
34,93.202.124.159,6,0,20130715132716,20130715132918,unknown
35,Rmcharb,6,3,20160827235601,20181103205202,unknown
36,Fortschritt im Rückbau,6,0,20170208165201,20170426072501,unknown
37,134.106.119.46,6,0,20091001195805,20100306154811,unknown
38,91.22.138.97,6,0,20141121100838,20141121101300,unknown
39,Nov3rd17,6,3,20180224073125,20180225164221,unknown
40,Zaphiro,6,6,20091001210842,20091001211908,unknown
41,Happolati,6,4,20091113224336,20091205201856,unknown
42,HartwigLein,6,0,20120911195247,20120911201850,unknown
43,TheRandomIP,5,0,20160728184702,20180304163259,unknown
44,Natsu Dragoneel,5,4,20160129193513,20170807171740,unknown
45,Sir,5,4,20051109151451,20051123193312,unknown
46,Andropov,5,0,20180212124327,20180212130606,unknown
47,Schnabeltassentier,5,1,20160414141023,20171215022949,unknown
48,93.214.222.194,5,0,20140310074802,20140310075250,unknown
49,178.11.165.111,5,0,20131114105623,20131114205007,unknown
50,176.2.2.228,5,0,20111225220944,20111226022753,unknown
51,JosFritz,5,1,20120319061811,20140215121910,unknown
52,Benatrevqre,5,1,20190202175342,20190202180921,unknown
53,Spuk968,5,5,20100126102559,20140310075256,unknown
54,Finø,5,0,20160516211513,20160518142243,unknown
55,Stefan Weil,5,1,20170124183650,20170127070222,unknown
56,DerHexer,5,2,20131219011339,20170227014939,unknown
57,Konni-kanty,5,1,20051017172556,20051017180042,unknown
58,141.91.240.162,4,0,20050809084008,20051128142541,unknown
59,Se4598,4,4,20140203124159,20140306120236,unknown
60,Drdoht,4,1,20091001212954,20140710011706,unknown
61,SimonLiebing,4,2,20130110073150,20130110073959,unknown
62,Viet2001,4,0,20171103175234,20171121181052,unknown
63,Snoopy1964,4,3,20141006122653,20160817082958,unknown
64,Yoda1893,4,1,20091024095101,20131217130706,unknown
65,Dontworry,4,4,20150901060047,20170127072708,unknown
66,Hydro,4,4,20060423124837,20070514120614,unknown
67,David Wintzer,4,4,20090208115416,20170128175730,unknown
68,2003:56:2D0B:F57B:2097:E09F:4263:9B93,4,0,20151217193558,20151217194039,unknown
69,Luckas-bot,4,4,20100217212305,20110929215730,unknown
70,109.90.113.199,4,0,20111214081240,20111214082026,unknown
71,Philipendula,4,4,20051216111111,20070119114102,unknown
72,Stefanbw,4,0,20130221222349,20171125122540,unknown
73,Rudolfox,4,0,20091006190328,20091101165108,unknown
74,Tohma,4,1,20150307074401,20181022091615,unknown
75,JuTe CLZ,4,0,20160224214652,20160225153801,unknown
76,Fit,4,0,20170127103907,20170127192842,unknown
77,Tetris L,4,3,20131218093045,20150505111552,unknown
78,Giftmischer,4,4,20120129190520,20150714150239,unknown
79,Catrin,3,1,20100302070538,20100416072216,unknown
80,Korrekturabteilung12,3,3,20090402235922,20090404220946,unknown
81,62.214.245.79,3,0,20051123182223,20051123182509,unknown
82,87.123.87.59,3,0,20060213222250,20060214114649,unknown
83,Frze,3,3,20161129162651,20170202222841,unknown
84,Buchbibliothek,3,2,20161114205855,20161129225511,unknown
85,Tobias1983,3,3,20080127160705,20120929004252,unknown
86,SamWinchester000,3,1,20130128181448,20170726165109,unknown
87,Poelzig,3,2,20071107232142,20071107233652,unknown
88,PibeDeOuro,3,0,20150412201444,20150423000941,unknown
89,Striegistalzwerg,3,0,20130122103328,20130122123736,unknown
90,Amberg,3,1,20091002055239,20091114034013,unknown
91,Lectorium,3,3,20190209122746,20190209123712,unknown
92,Luke081515Bot,3,0,20161119121725,20161129204612,unknown
93,Moguntiner,3,3,20051216110843,20051216111031,unknown
94,Codc,3,2,20171103191859,20171121122155,unknown
95,Excolis,3,0,20150224185710,20181129004416,unknown
96,Unscheinbar,3,2,20051127124357,20160713143420,unknown
97,Mettmann,3,2,20101002091025,20110516083001,unknown
98,Unfugsbeseitiger,3,3,20160817083507,20160817083757,unknown
99,Scooter,3,2,20060323220022,20100510201845,unknown
100,80.141.188.222,3,0,20060209083331,20060209213518,unknown
101,MacManaman79,3,0,20061103210150,20061103210429,unknown
102,Itti,3,3,20130715132939,20151217080036,unknown
103,80.136.146.101,3,0,20130509105712,20130509110019,unknown
104,Macdet,3,2,20060715101824,20060715141819,unknown
105,195.145.168.90,3,0,20131211154935,20131211155047,unknown
106,81.189.42.195,3,0,20050813175035,20050813175132,unknown
107,89.12.133.218,3,0,20070116211424,20070116212712,unknown
108,Fairtext,3,0,20100827184257,20100927190922,unknown
109,Muns,3,3,20161208133529,20170124171213,unknown
110,Mr. Froude,3,0,20150907124503,20150908190333,unknown
111,Zollstock,3,0,20050527131253,20050706112359,unknown
112,134.106.119.32,3,0,20100510201146,20100510202002,unknown
113,88.217.34.200,3,0,20121220135050,20121220135346,unknown
114,HeBB,3,1,20121006085719,20121006090154,unknown
115,A.Savin,3,1,20150831183146,20171122014624,unknown
116,Lukas²³,3,2,20120911201056,20120911201954,unknown
117,DavidG,3,1,20100620103624,20100620105457,unknown
118,Pelz,3,3,20111201205858,20151211135949,unknown
119,Nin-TD,3,3,20140728104721,20140728104936,unknown
120,84.133.6.78,3,0,20060421070825,20060421074337,unknown
121,89.12.146.125,3,0,20070118210946,20070118212429,unknown
122,Dick boy67,3,2,20160817082534,20160817083751,unknown
123,Jeri,3,3,20060302151453,20060302163612,unknown
124,79.234.237.103,3,0,20100117094223,20100117094357,unknown
125,188.103.22.130,3,0,20160705052048,20160705052307,unknown
126,Komischn,3,3,20130627172705,20131220104147,unknown
127,Florean Fortescue,3,0,20091113185234,20091113185711,unknown
128,Zeno Gantner,3,3,20041205184015,20060315153103,unknown
129,141.53.194.251,2,0,20051129075127,20051129075459,unknown
130,Alberto568,2,0,20131115221440,20131115221650,unknown
131,IrrtNie,2,0,20120718171530,20120718171647,unknown
132,217.249.126.20,2,0,20050628214153,20050628214208,unknown
133,Lexberlin,2,1,20190208175502,20190208181247,unknown
134,Theologicus,2,2,20120107150625,20120107150739,unknown
135,Philtime,2,2,20080904075127,20080904192445,unknown
136,Charon65,2,1,20030920170601,20030929145538,unknown
137,Cirdan,2,1,20160103200959,20180618075617,unknown
138,84.189.16.36,2,0,20060118092159,20060118095530,unknown
139,Alter Fuxx,2,0,20060827075758,20060827222607,unknown
140,84.147.88.106,2,0,20130521151045,20130521151112,unknown
141,Leit,2,0,20170127104748,20170127105344,unknown
142,Otto von Ulm,2,0,20110822002103,20110822002652,unknown
143,84.130.2.122,2,0,20140306115050,20140306120230,unknown
144,134.106.119.109,2,0,20091013144236,20091013145437,unknown
145,Boshomi,2,1,20150621143721,20161130202147,unknown
146,217.228.76.148,2,0,20091116130350,20091116130431,unknown
147,FideKoeln,2,0,20100315102059,20100510115348,unknown
148,Jonathan2011,2,0,20170124161457,20170125083536,unknown
149,Seewolf,2,2,20070118214033,20130122103552,unknown
150,De rien,2,1,20090710112116,20090720155708,unknown
151,5.56.182.50,2,0,20180426180529,20180426180724,unknown
