,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,84.114.201.91,18,0,20060904154923,20070112112442,unknown
1,Ulitz,16,3,20041019180414,20070519092742,unknown
2,87.245.50.173,10,0,20070322122332,20070322122613,unknown
3,Dr. Manuel,10,1,20081203012642,20091121191304,unknown
4,Kai-Hendrik,9,1,20080420132551,20080420135155,unknown
5,85.233.17.6,8,0,20050806201032,20050807074805,unknown
6,Zwobot,8,7,20040304020039,20090105105249,unknown
7,Checka14,8,0,20060904154825,20061024101823,unknown
8,178.11.184.104,7,0,20171230113635,20171230114944,unknown
9,Markobr,7,6,20170502142255,20180503135415,unknown
10,Tönjes,6,6,20070322122343,20171230115147,unknown
11,Psi007,6,0,20090309235541,20120501113752,unknown
12,37.49.40.79,5,0,20121212021028,20121212183413,unknown
13,Schrapers,5,1,20040513150954,20041204203024,unknown
14,Aka,5,5,20060225093446,20181202122311,unknown
15,Complex,5,5,20070322122414,20070322122625,unknown
16,Rita2008,5,0,20071016163957,20180308170632,unknown
17,Arcy,5,0,20080831122609,20090509140106,unknown
18,Xqbot,5,5,20100113163248,20121223195737,unknown
19,Giftmischer,4,2,20100115190421,20160616213912,unknown
20,EmausBot,4,4,20101006212822,20120609171025,unknown
21,Luckas-bot,4,4,20100207202251,20110704100311,unknown
22,Florian Blaschke,4,1,20121216152958,20161023164343,unknown
23,172.158.144.119,4,0,20070312192938,20070312194448,unknown
24,Hinterkappelen,4,3,20060917171338,20070314223708,unknown
25,62.138.186.94,4,0,20040417113729,20040417144505,unknown
26,80.134.91.147,3,0,20090518105633,20090518105925,unknown
27,Southpark,3,1,20040204224919,20050416164058,unknown
28,Xocolatl,3,3,20161115185602,20171230114934,unknown
29,Tohma,3,1,20110526182011,20171230113753,unknown
30,Jed,3,3,20070113142925,20110822220818,unknown
31,Engie,3,3,20100807204750,20110815115654,unknown
32,Bujo,3,0,20051203164931,20151003140849,unknown
33,217.149.228.160,3,0,20150220110041,20150220110509,unknown
34,KimHolgerKelting,3,0,20170603222052,20181214185731,unknown
35,Mario Valdera,3,0,20061212124900,20061212125026,unknown
36,Zeno Gantner,3,3,20030308174736,20041206123237,unknown
37,172.174.215.102,3,0,20061007142600,20061007142819,unknown
38,Snoopy1964,3,3,20150126111506,20160204090430,unknown
39,Don Magnifico,2,0,20070717135045,20120402085043,unknown
40,Emdee,2,2,20100416202440,20100416202508,unknown
41,87.182.128.12,2,0,20160204090321,20160204090416,unknown
42,Zubror,2,0,20171205071423,20171205071521,unknown
43,Pinneberg,2,0,20110325001154,20110325001422,unknown
44,Dr. Karl-Heinz Best,2,0,20170316094622,20170316094732,unknown
45,Nagy,2,2,20070831180101,20090420182453,unknown
46,86.32.83.43,2,0,20100807203759,20100807210807,unknown
47,Thebigruzzi,2,1,20120210080324,20120926183124,unknown
48,Mick149,2,2,20181021111109,20181021194706,unknown
49,Steffen,2,2,20090610101820,20090610102010,unknown
50,Phantom,2,2,20051116213430,20070617154837,unknown
51,Hydro,2,2,20070503105131,20170806083800,unknown
52,46.142.14.171,2,0,20170602083351,20170602083550,unknown
53,Zorrobot,2,2,20081106164609,20091211153852,unknown
54,Berlin-Jurist,2,1,20070731140229,20080301085906,unknown
55,213.3.47.126,2,0,20041204191559,20041204191806,unknown
56,Krawattenträger,2,1,20171205071551,20171205071640,unknown
57,Itti,2,2,20150126111228,20161001173304,unknown
58,87.171.93.187,2,0,20070906182937,20070906183002,unknown
59,ErikDunsing,2,2,20030508073904,20060828052703,unknown
60,RibotBOT,2,2,20090614090424,20091117204057,unknown
61,TobeBot,2,2,20100411130615,20100412170750,unknown
62,Mecka1,2,0,20110709175515,20110709175818,unknown
63,Tsui,2,0,20060908003230,20060929150035,unknown
64,Bergfalke2,2,2,20110303112359,20110726103757,unknown
65,Textkontrolle,2,2,20170602083353,20170602083552,unknown
66,Volksfront von Judäa,2,0,20081202191836,20081202191932,unknown
67,Mr. Mustard,2,1,20101211182154,20101211192735,unknown
68,195.93.60.7,2,0,20050416163803,20050416163839,unknown
69,Michael Sander,2,1,20181108070241,20181108070305,unknown
70,Fritz,2,2,20030307060815,20030319091750,unknown
71,195.93.60.142,2,0,20060113152711,20060113152733,unknown
72,Vheissu,2,1,20070529013524,20080423003012,unknown
73,Krawi,2,2,20090518105825,20090518105941,unknown
74,Komischn,2,2,20110919234024,20130523071131,unknown
75,188.96.177.152,2,0,20171229121228,20171229121456,unknown
76,Leit,2,0,20080302131721,20080710151005,unknown
77,Hardenacke,2,1,20070906183033,20180608175130,unknown
78,213.6.98.54,2,0,20050316140511,20050316140919,unknown
79,77.3.127.23,2,0,20161115060853,20161115185537,unknown
80,Geschichte 12345,2,0,20181024174543,20181024174727,unknown
81,Arntantin,2,0,20080923165013,20120920103619,unknown
82,Gudrun Meyer,2,2,20100208194032,20100208194133,unknown
83,62.225.42.226,2,0,20050719174104,20050719174503,unknown
84,FlaBot,2,1,20041206021523,20050225051348,unknown
85,Chobot,2,2,20060208082641,20061214061408,unknown
86,84.128.90.151,2,0,20070619091335,20070619091524,unknown
87,Horst Gräbner,2,2,20171229121537,20181024174118,unknown
88,85.179.235.191,2,0,20080110201851,20080110202412,unknown
89,84.167.63.243,2,0,20081105140426,20081105140458,unknown
90,130.75.128.107,1,0,20030821143821,20030821143821,unknown
91,89.206.64.182,1,0,20100929133555,20100929133555,unknown
92,Ehrhardt,1,0,20050325114938,20050325114938,unknown
93,91.45.54.68,1,0,20120429201737,20120429201737,unknown
94,Schwarze Feder,1,0,20060329200423,20060329200423,unknown
95,Louis Wu,1,0,20141114101955,20141114101955,unknown
96,84.168.91.86,1,0,20061205201413,20061205201413,unknown
97,Ama von und zu,1,1,20161115061024,20161115061024,unknown
98,2A02:908:F35A:67C0:1BF6:5DDD:C7E8:148E,1,0,20181027073221,20181027073221,unknown
99,212.122.58.53,1,0,20080925153940,20080925153940,unknown
100,Walter Anton,1,1,20090630230016,20090630230016,unknown
101,Kipferl,1,0,20030211190811,20030211190811,unknown
102,80.143.32.178,1,0,20041127141427,20041127141427,unknown
103,89.217.188.135,1,0,20120109203731,20120109203731,unknown
104,84.174.174.36,1,0,20051222011648,20051222011648,unknown
105,DynaMoToR,1,0,20130926150346,20130926150346,unknown
106,Bader~dewiki,1,0,20061108144639,20061108144639,unknown
107,Bemoty,1,0,20160727001426,20160727001426,unknown
108,172.173.101.152,1,0,20070515145402,20070515145402,unknown
109,2003:7F:4F12:1300:DD1D:1172:2251:928F,1,0,20180308162758,20180308162758,unknown
110,Bildungsbürger,1,1,20080519115229,20080519115229,unknown
111,93.211.3.129,1,0,20100211190237,20100211190237,unknown
112,145.254.199.18,1,0,20040717185416,20040717185416,unknown
113,Mehlauge,1,0,20110723161043,20110723161043,unknown
114,Jazzman,1,0,20050922200110,20050922200110,unknown
115,MorbZ-Bot,1,1,20130311044403,20130311044403,unknown
116,83.77.222.193,1,0,20060919023217,20060919023217,unknown
117,BLueFiSH.as,1,1,20070324220807,20070324220807,unknown
118,85.178.35.31,1,0,20080222123334,20080222123334,unknown
119,Trickymaster,1,1,20090319044002,20090319044002,unknown
120,Arbeiter55,1,1,20091017153805,20091017153805,unknown
121,NL,1,0,20040508102340,20040508102340,unknown
122,MAE30884,1,0,20050721103149,20050721103149,unknown
123,Sirkarl94,1,0,20120929202534,20120929202534,unknown
124,85.193.200.131,1,0,20060730003034,20060730003034,unknown
125,217.251.100.92,1,0,20150702080224,20150702080224,unknown
126,Franz Richter,1,1,20070219230954,20070219230954,unknown
127,Excolis,1,0,20170710131601,20170710131601,unknown
128,Aktionsbot,1,1,20071125124256,20071125124256,unknown
129,83.77.219.219,1,0,20081210172357,20081210172357,unknown
130,Jkbw,1,1,20090914093238,20090914093238,unknown
131,205.188.208.74,1,0,20040307204737,20040307204737,unknown
132,FelMol,1,0,20101211200315,20101211200315,unknown
133,Philipendula,1,1,20050428065918,20050428065918,unknown
134,SPCH,1,0,20120726201422,20120726201422,unknown
135,LKD,1,1,20060423205159,20060423205159,unknown
136,188.107.187.212,1,0,20150126111206,20150126111206,unknown
137,Tets,1,0,20061225023405,20061225023405,unknown
138,2003:C5:7F09:4610:BDCD:59AA:397B:974D,1,0,20190110174239,20190110174239,unknown
139,DHN-bot~dewiki,1,1,20081017073548,20081017073548,unknown
140,Stefan Kühn,1,1,20030504125821,20030504125821,unknown
141,213.7.26.204,1,0,20041227142842,20041227142842,unknown
142,84.59.61.206,1,0,20060212184448,20060212184448,unknown
143,Der letzte Enzyklopädist,1,0,20140507042230,20140507042230,unknown
144,Zoris Trömm,1,0,20061203021315,20061203021315,unknown
145,77.3.78.85,1,0,20161113071543,20161113071543,unknown
146,A.M.,1,0,20070619094322,20070619094322,unknown
147,KingLion,1,1,20080831151540,20080831151540,unknown
148,Spuk968,1,1,20100331103351,20100331103351,unknown
149,Vagobot,1,1,20111130051931,20111130051931,unknown
150,CherryX,1,0,20130628023736,20130628023736,unknown
151,138.232.1.229,1,0,20061008094654,20061008094654,unknown
152,2A02:908:CE14:E580:4532:EAD2:EF89:4610,1,0,20160427104842,20160427104842,unknown
153,88.64.152.95,1,0,20080315021037,20080315021037,unknown
154,Oberkraemer,1,0,20090509115642,20090509115642,unknown
155,Oge,1,1,20040618211528,20040618211528,unknown
156,MerlIwBot,1,1,20110702040259,20110702040259,unknown
157,84.189.15.61,1,0,20050901150323,20050901150323,unknown
158,RonMeier,1,1,20160120140716,20160120140716,unknown
159,Andropov,1,0,20171014111708,20171014111708,unknown
160,Gökhan,1,1,20080117103259,20080117103259,unknown
161,Lomis,1,1,20090308185848,20090308185848,unknown
162,134.147.64.48,1,0,20090929004046,20090929004046,unknown
163,195.93.72.17,1,0,20040417190945,20040417190945,unknown
164,212.23.105.125,1,0,20110129232848,20110129232848,unknown
165,80.171.190.68,1,0,20050620091355,20050620091355,unknown
166,Jesi,1,0,20120901152133,20120901152133,unknown
167,NoCultureIcons,1,1,20060627133803,20060627133803,unknown
168,Der.Traeumer,1,1,20150126111550,20150126111550,unknown
169,DerHexer,1,1,20070129194028,20070129194028,unknown
170,Ziko,1,0,20071002181522,20071002181522,unknown
171,Gestumblindi,1,0,20090712013722,20090712013722,unknown
172,SoWhy,1,1,20050328173042,20050328173042,unknown
173,Krantnejie,1,0,20120607074909,20120607074909,unknown
174,Robert Weemeyer,1,1,20060403010156,20060403010156,unknown
175,193.159.23.46,1,0,20141118214528,20141118214528,unknown
176,Anneke Wolf,1,1,20061205201433,20061205201433,unknown
177,Gak69,1,1,20181028220111,20181028220111,unknown
