,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Ulitz,113,17,20040525223400,20120803194553,unknown
1,Boris Fernbacher,79,17,20081011070728,20081112095531,unknown
2,Phi,59,7,20090717145324,20181222090714,unknown
3,Jesusfreund,54,16,20050927023910,20101107071822,unknown
4,FelMol,42,3,20100717100524,20160125212531,unknown
5,Arcy,40,3,20080722105338,20101209192923,unknown
6,Gonzo Greyskull,35,5,20080727133212,20130210142502,unknown
7,Sargoth,28,16,20070803214701,20160801120441,unknown
8,Rita2008,26,3,20080919161150,20160206173810,unknown
9,Anton-Josef,22,19,20050806130555,20110220024239,unknown
10,Nuuk,20,9,20051007202117,20161211172232,unknown
11,Southpark,20,14,20040118031909,20050923093516,unknown
12,Livani,19,1,20070819123753,20081227210418,unknown
13,Mr. Mustard,18,3,20081025180203,20110614114955,unknown
14,Umschauer,17,2,20130202165848,20130204151649,unknown
15,Infracent,14,4,20110206212252,20110211112349,unknown
16,Tohma,13,6,20080919152048,20181024175951,unknown
17,Emptyword,12,7,20081022173445,20081026160934,unknown
18,Fräggel,12,2,20061119014250,20080524173511,unknown
19,Proklos~dewiki,11,0,20061123170930,20061202155637,unknown
20,Csac4864,11,1,20141201224537,20180207124710,unknown
21,Dr. Manuel,10,4,20080928100202,20110310203235,unknown
22,Thdoerfler,10,0,20040331080454,20040719190243,unknown
23,ND-Leser,10,5,20080913154547,20080919163636,unknown
24,Aka,9,9,20051113163352,20180923170203,unknown
25,Julia69,9,0,20050721201848,20060110173816,unknown
26,Pittimann,9,9,20100908065607,20150820075107,unknown
27,84.146.251.108,8,0,20050323202955,20050323220815,unknown
28,84.149.141.35,7,0,20060318205147,20060318222017,unknown
29,UHT,7,4,20080814081244,20080826185314,unknown
30,Horst Gräbner,7,6,20140127102945,20160929151347,unknown
31,Kapitän Nemo,7,0,20081024231530,20081123201906,unknown
32,Michael1985,7,0,20071223145646,20071224104249,unknown
33,Rmcharb,7,5,20160925083117,20181026104019,unknown
34,Seewolf,6,5,20080919155058,20130209221052,unknown
35,Gustav von Aschenbach,6,4,20080918183415,20181127123423,unknown
36,Fischkopp,6,4,20061202155646,20061212142153,unknown
37,HuckTwain,6,0,20071128172720,20081202190606,unknown
38,84.149.177.170,6,0,20060318133152,20060318154436,unknown
39,Olag,6,0,20110207140057,20110213191757,unknown
40,SieBot,6,6,20070809110801,20100307073348,unknown
41,Emes,6,1,20060318173255,20110713135755,unknown
42,80.141.53.96,6,0,20060106111639,20060106112711,unknown
43,Stillhart,5,0,20111211163106,20121123160048,unknown
44,FritzG,5,0,20060113232920,20060318152115,unknown
45,OB-LA-DI,5,0,20070703081733,20080617083456,unknown
