,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Karl-Heinz Mitzschke,80,22,20040315134851,20060930083047,unknown
1,Rita2008,67,5,20070313145208,20161021160819,unknown
2,Benatrevqre,65,28,20070804080923,20180505122833,unknown
3,Bettenlager,55,37,20040808000807,20041018133255,unknown
4,Tohma,35,9,20080827151317,20170618051637,unknown
5,Phantom,29,5,20071107234300,20090303163610,unknown
6,Skriptor,29,17,20040225064613,20050916110816,unknown
7,Phi,27,6,20091015080236,20181223110927,unknown
8,Karsten11,26,0,20070217073839,20151105214017,unknown
9,Th40jakob,25,25,20080608213332,20100822104210,unknown
10,GiordanoBruno,24,11,20090515210954,20171105113227,unknown
11,Bettenburg,18,14,20041130020453,20060525155511,unknown
12,Verum,17,1,20160929194536,20161019155729,unknown
13,Southpark,15,12,20040306002315,20050816180118,unknown
14,Nuuk,13,7,20060410125709,20170107074720,unknown
15,Kolja21,12,7,20050827172537,20151128005853,unknown
16,Abdiel,11,0,20060926113947,20070618101304,unknown
17,Aka,11,11,20060520190431,20190304170518,unknown
18,Ghostwriter123,10,9,20161124210109,20161125192359,unknown
19,Init,10,5,20060225154353,20060829185946,unknown
20,Schwarzer8Kater,10,0,20080131192022,20080322094451,unknown
21,Berlin-Jurist,10,2,20080325155616,20091226194017,unknown
22,Gloser,10,2,20141102112357,20161124213220,unknown
23,WhoisWhoME,9,0,20160324114333,20160930145709,unknown
24,Ulitz,8,6,20060814221935,20160228204010,unknown
25,Marcel601,8,2,20090302170733,20090303171350,unknown
26,TrueBlue,8,5,20060808193820,20120721203046,unknown
27,Der Tildenmann,7,1,20080606202658,20080607142006,unknown
28,Dundak,7,5,20050311164814,20101212111111,unknown
29,Oliver S.Y.,7,1,20160206204852,20160929194817,unknown
30,Boonekamp,7,5,20100630175212,20170420074549,unknown
31,Stefan Kühn,7,4,20030504105217,20090422071615,unknown
32,Konsul,7,7,20050718050015,20050719154008,unknown
33,84.186.28.10,7,0,20060116074947,20060116080430,unknown
34,195.145.160.197,6,0,20040921072303,20040921073938,unknown
35,Eike sauer,6,1,20050815184626,20060808225435,unknown
36,Friedrich Marx,6,1,20080511080144,20080607115820,unknown
37,Wikifreund,6,1,20081207133619,20111227221311,unknown
38,Maximilian Schönherr,6,0,20110913221137,20110919162302,unknown
39,Label5,6,4,20081014041805,20101023165816,unknown
40,Informationswiedergutmachung,6,5,20160307105038,20180105195719,unknown
41,Rolf-Dresden,6,0,20150327200420,20150418095350,unknown
42,Wiggum,6,5,20070708143003,20081115161930,unknown
43,Kleiner Tiger,6,3,20080317172356,20090812164125,unknown
44,Zwobot,6,5,20040319150733,20080110003313,unknown
45,Gustav von Aschenbach,6,5,20100202101918,20150416222657,unknown
46,Jkbw,5,5,20091011195921,20100714075153,unknown
47,33cln33,5,1,20150604180815,20160228155856,unknown
48,80.142.19.204,5,0,20161016080617,20161016092222,unknown
49,Luckas-bot,5,5,20100516111042,20110518212015,unknown
50,PDD,5,2,20070530193524,20110915203650,unknown
51,2.242.39.114,5,0,20151104234316,20151105002805,unknown
52,80.143.225.9,5,0,20050816174043,20050816175956,unknown
53,80.132.49.203,5,0,20060125160140,20060125161112,unknown
54,194.245.134.130,5,0,20040503114225,20040503115645,unknown
55,Horst Gräbner,5,2,20150410161158,20161128180444,unknown
56,Cbnowhere~dewiki,5,4,20090930223756,20090930225643,unknown
57,Jed,4,3,20050816184947,20181230085406,unknown
58,213.179.142.85,4,0,20091026130602,20091026131615,unknown
59,Avantgarde der Arbeiterklasse,4,4,20090515192041,20090515192744,unknown
60,141.48.56.1,4,0,20041014172713,20041015180351,unknown
61,Sirdon,4,1,20051217003346,20070710112804,unknown
62,Discipline,4,1,20070813140449,20070813144421,unknown
63,SFfmL,4,0,20130123182133,20140123223841,unknown
64,Regi51,4,4,20101008100657,20121215230808,unknown
65,Marcus Cyron,4,2,20050630123131,20171121101720,unknown
66,Peter200,4,4,20091026130717,20120611131444,unknown
67,Jobakampe,4,0,20121026112002,20131208164039,unknown
68,Hutschi,4,1,20040325082956,20040629140814,unknown
69,78.94.240.244,4,0,20090909114232,20090909114412,unknown
70,Cocyhok,4,4,20050816110852,20051126174319,unknown
71,Acf,4,2,20040905084353,20050914205050,unknown
72,Centenier,4,1,20161016092428,20161017105640,unknown
73,Pittimann,4,4,20121219134301,20181207112702,unknown
74,Kochel86,4,0,20160626092429,20190226171804,unknown
75,Paul Peplow,4,1,20121103201017,20130319135019,unknown
76,Amtiss,4,1,20060307010730,20060312183402,unknown
77,Ekkehart baals,4,3,20090812075654,20150418122348,unknown
78,Feliks,4,2,20100421192250,20120404094434,unknown
