,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Kryobob,138,17,20120325084446,20121227192214,unknown
1,Rita2008,96,2,20060624152120,20170902163505,unknown
2,Leutnant,63,0,20051002145512,20080913165519,unknown
3,M. Yasan,60,16,20051031104523,20070114161638,unknown
4,Richard Lenzen,46,35,20120103103746,20190211074310,unknown
5,Giro,38,4,20060728110317,20100112144122,unknown
6,Klabaster,30,1,20080303033953,20080304011259,unknown
7,RobertLechner,27,20,20020807174957,20160829071303,unknown
8,Earlofoxford,26,2,20071029100318,20100509172336,unknown
9,Prüm,21,12,20100424221052,20170706165739,unknown
10,Sargoth,19,8,20070911141117,20111029050404,unknown
11,Joergath~dewiki,18,0,20060901092039,20060901110329,unknown
12,Ute Erb,16,16,20110816064139,20130807114131,unknown
13,Rosa Lux,14,0,20050101215502,20051029072705,unknown
14,Chigliak,14,13,20050530203357,20080307172559,unknown
15,Csac4864,14,5,20121227204914,20180403100830,unknown
16,Ulitz,13,2,20040817182313,20061217174301,unknown
17,139.30.48.78,13,0,20060609130252,20070619092612,unknown
18,Aka,12,12,20060118142113,20180519185934,unknown
19,Jersey~dewiki,10,0,20050424131711,20050424140931,unknown
20,Zwobot,9,9,20040304023431,20070912015339,unknown
21,Meier99,9,9,20100320154742,20151120155501,unknown
22,Devere,9,0,20061012161720,20061016213239,unknown
23,84.115.146.119,8,0,20061010123647,20061014103111,unknown
24,Ibohnet,8,7,20100714210540,20160402093340,unknown
25,84.185.111.228,8,0,20060531083200,20060531083901,unknown
26,SieBot,8,8,20070802002016,20100303102152,unknown
27,81.172.88.1,8,0,20051206141125,20051206145524,unknown
28,Dixflips,8,5,20090610181002,20091119203913,unknown
29,Kuhni74,8,3,20170901213637,20170904150250,unknown
30,90.128.36.177,8,0,20070417191411,20070417200945,unknown
31,Hvm2,8,8,20161025204947,20161025224228,unknown
32,Braveheart,8,3,20100512125816,20161206233943,unknown
33,Chamberi21,7,0,20070529154243,20070530231827,unknown
34,Horst Gräbner,7,6,20120524154823,20180111172652,unknown
35,Autonomiared&black,7,0,20060311104613,20060320084715,unknown
36,Florian.Keßler,7,6,20041229221750,20080714075047,unknown
37,Rick Blaine,6,2,20090403150844,20090403153114,unknown
38,Vrumfondel,6,5,20060725174653,20060725175847,unknown
39,Gavilán,6,0,20050727222001,20051101144352,unknown
40,212.60.196.77,6,0,20140324092850,20140324105215,unknown
41,Soizic,6,0,20160209064943,20160210053934,unknown
42,Eisbaer44,6,6,20080213031701,20170824235655,unknown
43,Xqbot,6,6,20091107004933,20120806180959,unknown
44,Kratzbaum,6,2,20120414180940,20120507191102,unknown
45,Antaios,6,0,20050127200021,20060903170211,unknown
46,Innobello,5,5,20180205090551,20180409124217,unknown
47,Shoshone,5,0,20060306111220,20060717193559,unknown
48,217.185.155.112,5,0,20070206150812,20070206161124,unknown
49,VolkovBot,5,5,20080817112805,20101214220508,unknown
50,Dicke Berta,5,0,20080209000225,20080209001816,unknown
51,Guille~dewiki,5,0,20120512152803,20120513100858,unknown
52,Natsu Dragoneel,5,1,20170322091352,20180201222553,unknown
53,Herr Andrax,5,0,20041212235155,20041213000950,unknown
54,Horst bei Wiki,5,5,20130331152422,20140827115700,unknown
55,Bar Nerb,4,2,20051127140921,20051129130142,unknown
56,SchwabenBoy,4,0,20091119141335,20100112143146,unknown
57,212.95.9.141,4,0,20060506163718,20060506164136,unknown
58,Engie,4,4,20170322091946,20180403085257,unknown
59,84.60.123.96,4,0,20061002122454,20061002123049,unknown
60,Araneta,4,0,20110716043802,20110716071332,unknown
61,Eintragung ins Nichts,4,0,20080304000605,20080308131113,unknown
62,80.185.136.18,4,0,20040830015619,20040830020815,unknown
63,Karl-Henner,4,4,20040201063413,20050425222754,unknown
64,MAK,4,0,20051104201854,20060420101920,unknown
65,Tresckow,4,0,20070726235721,20080509010929,unknown
66,Markobr,4,4,20161104133250,20170320091429,unknown
67,Ziko,4,0,20110705180021,20110705181429,unknown
68,Frado,4,0,20070514212021,20070526173953,unknown
69,Tohma,4,0,20110410173007,20160818174707,unknown
70,Neun-x,4,0,20160131150631,20160131174315,unknown
71,J budissin,4,3,20050706045641,20070206161937,unknown
72,Cosal,4,4,20130124025008,20141030204129,unknown
73,84.184.55.48,4,0,20050506174623,20050506175802,unknown
74,Sehund,4,4,20161025212543,20161103184648,unknown
75,145.254.146.217,4,0,20040627230352,20040627231638,unknown
76,Stefanbw,3,0,20120705230904,20140921155412,unknown
77,Regi51,3,3,20130701123011,20180808142551,unknown
78,Göte,3,3,20141004205328,20160414182052,unknown
79,Marielu,3,3,20060414193903,20060414194714,unknown
80,He3nry,3,3,20060915084937,20080430201540,unknown
81,Tiroinmundam,3,3,20071002065805,20071010121517,unknown
82,Purzelgnom,3,2,20090203105926,20090203111407,unknown
83,Qereretre,3,0,20170320091201,20170320091427,unknown
84,Sokai,3,3,20081023175221,20081023180021,unknown
85,Ilja Lorek,3,2,20030715132632,20150131130559,unknown
86,Textkontrolle,3,3,20170517063154,20170530100813,unknown
87,Cairimba,3,3,20041101182804,20041223213630,unknown
88,Mardil,3,0,20070706140606,20070706143356,unknown
89,217.81.187.165,3,0,20050313180223,20050313181435,unknown
90,Gerd Wiechmann,3,0,20140801194359,20140801195142,unknown
91,Pessottino,3,2,20090308161617,20101215223341,unknown
92,Armin P.,3,3,20100629212534,20170724095150,unknown
93,Eromae,3,0,20120429191322,20120429191709,unknown
94,Freundlicher,3,0,20100319141221,20100319165554,unknown
95,Furfur,3,2,20120203210233,20130426130713,unknown
96,WAH,3,0,20060828134842,20060828144103,unknown
97,Rustikus,3,2,20121207183211,20121207185858,unknown
98,HaeB,3,1,20041213195658,20060216092736,unknown
99,Luckas-bot,3,3,20110209073744,20110408165248,unknown
100,SchallundRauch,3,1,20050820214443,20100308000441,unknown
101,Hybscher,3,2,20060716214703,20060801153418,unknown
102,Herr Mag. Oberleutant Manfred O. Karl,3,0,20170322091308,20170322091623,unknown
103,Tango8,3,0,20060901224719,20060901225105,unknown
104,80.218.62.89,3,0,20040611144358,20040611144543,unknown
105,DerHexer,3,3,20061014103442,20061014120627,unknown
106,Nachtwächter,3,0,20150202143318,20150202143445,unknown
107,132.180.76.37,3,0,20050922120727,20050922125209,unknown
108,Stefan Kühn,3,3,20030501135448,20030726104717,unknown
109,217.237.148.23,3,0,20070122104636,20070122105143,unknown
110,84.142.86.183,3,0,20070331110914,20070331111015,unknown
111,Boonekamp,3,1,20100708083452,20120313090400,unknown
112,HeBB,3,2,20140328145304,20140328155633,unknown
113,LinkFA-Bot,3,1,20080406121851,20100330231556,unknown
114,Andy1982,3,0,20081230080249,20081230090038,unknown
115,EmausBot,3,3,20120211123251,20121001153202,unknown
116,Tsor,3,3,20061111161034,20120715163647,unknown
117,2.240.64.112,3,0,20160412183801,20160412184326,unknown
118,HeinJanMaat,3,3,20111120162822,20111120163630,unknown
119,Feldgrau,3,1,20121028100856,20121029172524,unknown
120,84.189.74.162,3,0,20050908194735,20050908195045,unknown
