,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Mephisto-Munic,7,7,20051211135213,20061122161751,unknown
1,85.177.141.171,4,0,20110217110454,20110217111143,unknown
2,Benatrevqre,3,1,20120125214941,20120125215119,unknown
3,95.88.237.63,3,0,20090309141918,20090309144110,unknown
4,EvDa13,3,3,20100531204642,20100531204734,unknown
5,MerlIwBot,3,3,20120822130423,20120911134713,unknown
6,Aktenstapel,2,1,20140512080923,20150930095418,unknown
7,Lou.gruber,2,0,20070309221512,20080128213747,unknown
8,Morten Haan,2,2,20110217110506,20110217111114,unknown
9,DF5GO,2,2,20131221174740,20131221174836,unknown
10,195.167.222.147,2,0,20060511164503,20060511164606,unknown
11,BKSlink,2,1,20091019184639,20091019184737,unknown
12,Lorem ipsum,2,1,20051211151434,20070309225009,unknown
13,DavidG,2,1,20090106093126,20110331213002,unknown
14,Sümpf,2,2,20080903205259,20090106104322,unknown
15,Tuchiel,2,0,20170730193721,20170803151515,unknown
16,Zollernalb,2,2,20120404220150,20120404220219,unknown
17,Ngowatchtransparent,2,1,20110608135808,20110608140259,unknown
18,78.34.170.134,2,0,20090309151821,20090309151852,unknown
19,62.91.25.26,2,0,20081001074249,20081001074419,unknown
20,C.Löser,2,2,20051218101634,20060429071207,unknown
21,Gbeckmann,2,2,20080504215749,20080511230219,unknown
22,80.226.1.8,1,0,20180921143838,20180921143838,unknown
23,Bahnmoeller,1,1,20060428084035,20060428084035,unknown
24,Henrik A.,1,1,20090401143742,20090401143742,unknown
25,Micwil,1,1,20081003114520,20081003114520,unknown
26,Christianju,1,1,20110223130219,20110223130219,unknown
27,Tiger123,1,0,20180225165201,20180225165201,unknown
28,217.110.237.227,1,0,20080311095358,20080311095358,unknown
29,Zeppelin26,1,0,20101110215348,20101110215348,unknown
30,Zeuschen,1,1,20100525142954,20100525142954,unknown
31,Marcus Cyron,1,0,20131214212926,20131214212926,unknown
32,Cowboy Jim,1,1,20060611114319,20060611114319,unknown
33,Yardsrules,1,1,20091030211101,20091030211101,unknown
34,Tsor,1,1,20120514084827,20120514084827,unknown
35,KL052,1,0,20180323133930,20180323133930,unknown
36,Wst,1,1,20051226203226,20051226203226,unknown
37,2.212.167.105,1,0,20111122190331,20111122190331,unknown
38,Printe82,1,0,20080522153637,20080522153637,unknown
39,Steffen,1,1,20160528181448,20160528181448,unknown
40,Diwas,1,1,20071122034708,20071122034708,unknown
41,GrandpaScott,1,0,20100705145853,20100705145853,unknown
42,JuTa,1,0,20061114203907,20061114203907,unknown
43,Martin67,1,0,20100301173753,20100301173753,unknown
44,Ologn,1,1,20130608190935,20130608190935,unknown
45,Erarehumanumest,1,0,20120207224745,20120207224745,unknown
