,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Lutheraner,8,4,20100715103056,20180314150418,unknown
1,AF666,4,0,20050410143725,20050623134523,unknown
2,Cyve,3,0,20180309104008,20180314142345,unknown
3,KL052,3,0,20180310220839,20180311121034,unknown
4,217.83.10.93,3,0,20050304201129,20050304201941,unknown
5,Joe-Tomato,3,1,20100715184235,20120515074628,unknown
6,93.184.129.133,3,0,20110301140524,20110622113152,unknown
7,Schelm,3,2,20180309085222,20180309085408,unknown
8,Yoda1893,2,0,20170630110850,20170630110923,unknown
9,Fastermann,2,0,20061021172359,20061021172741,unknown
10,GrandpaScott,2,0,20110324132703,20110325155340,unknown
11,Green Politics,2,0,20100902173647,20101017120616,unknown
12,Alstersegler,2,0,20170610161913,20170610161926,unknown
13,Slökmann,2,0,20180410092322,20180713103745,unknown
14,Felix König,2,1,20101008180056,20180905200741,unknown
15,Unscheinbar,2,2,20050125215038,20050201201612,unknown
16,Mama Leone,2,1,20180306032209,20180306032421,unknown
17,Onkelkoeln,2,1,20100715175513,20180401085931,unknown
18,Sauerteig,2,1,20120613095248,20171209135752,unknown
19,Florian Adler,2,2,20060828160057,20070519224749,unknown
20,Smial,2,2,20110119200209,20110301153204,unknown
21,217.227.150.10,2,0,20050201200307,20050201200458,unknown
22,Rapober,2,1,20100723123216,20120122180524,unknown
23,APPER,2,1,20121002182237,20150713182716,unknown
24,Zwobot,2,2,20070302023706,20070912025322,unknown
25,F2hg.amsterdam,2,2,20100624131032,20100624131113,unknown
26,83.135.209.192,2,0,20061021171420,20061021171546,unknown
27,Hardenacke,2,1,20080216211320,20080216211336,unknown
28,RedBot,1,1,20050404082918,20050404082918,unknown
29,Euku,1,0,20101007210541,20101007210541,unknown
30,Didym,1,1,20190214105915,20190214105915,unknown
31,84.128.134.165,1,0,20050125214820,20050125214820,unknown
32,Graphikus,1,0,20100716165225,20100716165225,unknown
33,78.48.246.64,1,0,20140602200811,20140602200811,unknown
34,HansDieter1999,1,1,20180515153710,20180515153710,unknown
35,Pentiumforever,1,0,20100715091934,20100715091934,unknown
36,91.57.54.227,1,0,20120621151000,20120621151000,unknown
37,Leit,1,0,20180314170229,20180314170229,unknown
38,88.76.215.152,1,0,20120506232005,20120506232005,unknown
39,Intl Railways,1,1,20180310204635,20180310204635,unknown
40,AndreasE,1,1,20050902124038,20050902124038,unknown
41,TaxonKatBot,1,1,20180226144100,20180226144100,unknown
42,Stefan Kühn,1,0,20050213091109,20050213091109,unknown
43,Eppelheim,1,0,20181010062237,20181010062237,unknown
44,Mal wieder richtig Sommer,1,0,20100715172005,20100715172005,unknown
45,Wiegels,1,1,20131215204355,20131215204355,unknown
46,80.187.80.49,1,0,20100607050608,20100607050608,unknown
47,BeneBot2008,1,1,20120523191857,20120523191857,unknown
48,HubertSt,1,0,20180314150020,20180314150020,unknown
49,217.231.120.21,1,0,20060706132900,20060706132900,unknown
50,87.165.236.32,1,0,20120103215452,20120103215452,unknown
51,Olaf Kosinsky,1,0,20171209101939,20171209101939,unknown
52,Lullullul,1,0,20190222094145,20190222094145,unknown
53,89.244.98.190,1,0,20100720151228,20100720151228,unknown
54,81.92.17.129,1,0,20170117062603,20170117062603,unknown
55,Wolf1949,1,0,20180525132657,20180525132657,unknown
56,Umherirrender,1,1,20120704192930,20120704192930,unknown
57,77.87.224.97,1,0,20180320153624,20180320153624,unknown
58,Karsten11,1,1,20070123205223,20070123205223,unknown
59,Codc,1,1,20120506232137,20120506232137,unknown
60,195.145.160.51,1,0,20050922083504,20050922083504,unknown
61,89.245.114.23,1,0,20110522174946,20110522174946,unknown
62,84.128.135.156,1,0,20050219221250,20050219221250,unknown
63,PlusPedia,1,0,20100917224055,20100917224055,unknown
64,Schnabeltassentier,1,0,20170611053056,20170611053056,unknown
65,DerPolitprofi,1,0,20190212150501,20190212150501,unknown
66,USt,1,1,20140119180948,20140119180948,unknown
67,Torsten.Zä,1,1,20180410170909,20180410170909,unknown
68,82.140.56.96,1,0,20100615100035,20100615100035,unknown
69,132.230.118.102,1,0,20180314160419,20180314160419,unknown
70,Pelz,1,1,20120126204137,20120126204137,unknown
71,Cachris Awomi,1,0,20180309121024,20180309121024,unknown
72,Scooter,1,1,20050714190010,20050714190010,unknown
73,David Wintzer,1,1,20171209112927,20171209112927,unknown
74,ExtremPilotHD,1,1,20190222095228,20190222095228,unknown
75,TaxonBot,1,1,20170417015245,20170417015245,unknown
76,217.236.87.38,1,0,20180713083629,20180713083629,unknown
77,80.133.247.238,1,0,20100715140736,20100715140736,unknown
78,19Wilhelm18,1,1,20180327135609,20180327135609,unknown
79,89.245.121.6,1,0,20120515062704,20120515062704,unknown
80,2003:C2:9711:B09:7D36:FC12:81FE:DFB6,1,0,20180314123745,20180314123745,unknown
81,81.173.229.89,1,0,20051207204107,20051207204107,unknown
82,Fatzims,1,0,20110920102352,20110920102352,unknown
83,WinfriedSchneider,1,1,20180308143653,20180308143653,unknown
84,Smit,1,0,20100926193604,20100926193604,unknown
85,Aka,1,1,20170617201120,20170617201120,unknown
86,84.140.172.12,1,0,20190214105906,20190214105906,unknown
87,2001:638:504:F1A4:D803:AA6E:3F8D:5B45,1,0,20140523104805,20140523104805,unknown
88,Der Naturfreund,1,1,20180430225018,20180430225018,unknown
89,Phd,1,0,20120621150211,20120621150211,unknown
90,Robert Weemeyer,1,0,20180314161611,20180314161611,unknown
91,Malabon,1,1,20120324181023,20120324181023,unknown
92,Rehsde,1,0,20180309214040,20180309214040,unknown
93,83.135.24.141,1,0,20050814132257,20050814132257,unknown
94,Nixus Minimax,1,0,20171213083637,20171213083637,unknown
95,77.6.17.44,1,0,20190307032223,20190307032223,unknown
96,Redf0x,1,0,20050203114947,20050203114947,unknown
97,*SGR*,1,1,20100817095527,20100817095527,unknown
98,80.217.220.56,1,0,20170521063457,20170521063457,unknown
99,80.71.142.166,1,0,20181008181251,20181008181251,unknown
100,Sebastian Mehlmacher,1,1,20100715162229,20100715162229,unknown
101,Rob Irgendwer,1,1,20131203160823,20131203160823,unknown
102,178.5.226.102,1,0,20180410082117,20180410082117,unknown
103,87.79.54.15,1,0,20120518172309,20120518172309,unknown
104,Smutsmaker,1,1,20180314134641,20180314134641,unknown
105,Crux,1,0,20060122005957,20060122005957,unknown
106,High Contrast,1,0,20111028205756,20111028205756,unknown
