,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Kopilot,812,126,20110716070122,20181029073638,unknown
1,Jesusfreund,240,97,20071208172034,20110217141305,unknown
2,BurghardRichter,92,55,20070510132521,20150831135719,unknown
3,Alexander Leischner,80,57,20071219203409,20170212191131,unknown
4,Tsui,55,20,20041128072657,20071219044645,unknown
5,Southpark,19,15,20040208200547,20060723095930,unknown
6,LS,17,5,20090717225731,20150912080622,unknown
7,MARK,17,14,20081231085910,20090405002050,unknown
8,Mps,17,15,20100602125731,20171119143640,unknown
9,Aka,15,15,20060329064914,20181130155727,unknown
10,Mannerheim,15,4,20071114083802,20071219200827,unknown
11,Dievo,15,14,20150909164932,20160825164215,unknown
12,Gudrun Meyer,13,6,20071209225454,20160707184509,unknown
13,Benatrevqre,13,5,20070611222652,20071105213334,unknown
14,Mr. Froude,11,0,20130603185259,20150901085457,unknown
15,Tickle me,11,8,20051017043326,20051129213511,unknown
16,217.76.166.170,10,0,20041127233314,20050208232558,unknown
17,Silar,10,0,20051110203927,20051201071746,unknown
18,80.146.28.84,10,0,20041005061902,20041005062632,unknown
19,Nemissimo,10,3,20061207225133,20071225151234,unknown
20,Stw,9,5,20040906191900,20051016204823,unknown
21,Seewolf,8,8,20060815181001,20100328095627,unknown
22,89.48.29.227,8,0,20070315112402,20070315115222,unknown
23,BrThomas,8,1,20101113164727,20110913182118,unknown
24,Pittimann,8,2,20090908082807,20150907114830,unknown
25,Ot,8,6,20050310163219,20150221134211,unknown
26,DerHerrMigo,8,7,20060302234906,20060420154312,unknown
27,PDD,7,3,20060429213314,20150903100811,unknown
28,Tobias Nüssel,7,4,20060304205009,20060528013619,unknown
29,Marcus Cyron,7,5,20090523223639,20150911182839,unknown
30,Mario todte,7,3,20040915074338,20041204104044,unknown
31,Severinus70,7,2,20090205163208,20090205211301,unknown
32,Asthma,7,1,20060325212642,20091222105757,unknown
33,Langec,7,7,20041202183414,20050720081124,unknown
34,Xqbot,7,7,20090520032849,20161002180134,unknown
35,Stefan Kühn,6,4,20030813172904,20040719081842,unknown
36,Columbin,6,2,20080803151426,20080803171248,unknown
37,MaJoKü,6,5,20050920110146,20051114140036,unknown
38,217.96.248.99,6,0,20051129191901,20051129215258,unknown
39,Ulitz,6,3,20050801203406,20051112203148,unknown
40,YurikBot,6,6,20051018115640,20060804073343,unknown
41,R-B-S,6,6,20160315141407,20160410092949,unknown
42,Der Barbar,6,3,20060619074436,20060727184613,unknown
43,Jergen,6,4,20071119093038,20090905090255,unknown
44,LKD,6,6,20060825091134,20070213095057,unknown
45,RobotQuistnix,6,6,20050824014209,20070223075106,unknown
46,Bene16,6,0,20071105103638,20071105104533,unknown
47,El surya,6,0,20040903000312,20060526164621,unknown
48,Carl Sack,6,6,20161210164906,20161210165550,unknown
49,Disposable.Heroes,6,5,20090201170323,20090307191416,unknown
50,Ausgewogener Darsteller,6,0,20101022124207,20101022154948,unknown
51,Fornax,5,2,20070527174441,20091027070549,unknown
52,217.88.173.138,5,0,20030925222936,20030925235718,unknown
53,Tönjes,5,5,20070129001944,20080803171755,unknown
54,Matt1971,5,3,20050320163235,20070423122354,unknown
55,Thorbjoern,5,0,20060207145108,20061025142628,unknown
56,DerHexer,5,5,20060605171919,20100317161812,unknown
57,Unscheinbar,5,4,20040923194357,20050125004856,unknown
58,Gabbahead.,5,5,20061207011512,20180801182541,unknown
59,JøMa,5,0,20100602105611,20110809085458,unknown
60,88.65.57.214,5,0,20061217231517,20061217232740,unknown
61,Parvati,5,0,20050609164856,20071218223812,unknown
62,CommonsDelinker,5,4,20080503221338,20180129105228,unknown
63,DrHäxer,5,0,20151128173848,20160205214709,unknown
64,Gerhardvalentin,5,3,20080829105014,20150909230715,unknown
65,Martin-vogel,5,1,20050113215854,20090428000447,unknown
66,Schotterebene,5,5,20161105091257,20161105092024,unknown
67,ProloSozz,5,5,20100516222739,20171010145525,unknown
