,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Sebastian~dewiki,6,4,20021109004518,20021111131514,unknown
1,MerlIwBot,5,5,20120607111832,20130411063415,unknown
2,JAnDbot,4,4,20081106133745,20111101085330,unknown
3,Luckas-bot,4,4,20100827115938,20120310171409,unknown
4,Elian,3,2,20021107173329,20021125171842,unknown
5,HeywoodFloyd,3,0,20150518194025,20150518201258,unknown
6,Xqbot,2,2,20120616183757,20161002180110,unknown
7,77.56.53.183,2,0,20130913225408,20130913225451,unknown
8,EmausBot,2,2,20121216114714,20140514045829,unknown
9,129.143.4.68,2,0,20050920115226,20050920122119,unknown
10,Gerhardvalentin,2,0,20150329094846,20160909100037,unknown
11,Zwobot,2,2,20080508200513,20080804222807,unknown
12,Helmut Zenz,2,0,20060101161935,20060101162348,unknown
13,SieBot,2,2,20100816190207,20101107233235,unknown
14,Pit,2,2,20021110224557,20021110224743,unknown
15,88.70.70.23,2,0,20110516060809,20110516060956,unknown
16,Wolfgang1018,2,2,20040701084348,20100116215224,unknown
17,ZOiDberg,2,1,20080615142520,20080805112031,unknown
18,Vulture,2,1,20030104100150,20030104100201,unknown
19,84.173.95.176,1,0,20070622175301,20070622175301,unknown
20,Aka,1,1,20180407081449,20180407081449,unknown
21,Fake4d,1,0,20110131192659,20110131192659,unknown
22,Serols,1,1,20180322120736,20180322120736,unknown
23,84.59.42.155,1,0,20050904113336,20050904113336,unknown
24,Riptor,1,0,20021001094001,20021001094001,unknown
25,Hydro,1,1,20070131165709,20070131165709,unknown
26,Nallimbot,1,1,20081111222555,20081111222555,unknown
27,87.156.117.248,1,0,20170504085252,20170504085252,unknown
28,Jergen,1,0,20070625172237,20070625172237,unknown
29,Pittimann,1,1,20140318101241,20140318101241,unknown
30,Addbot,1,1,20130403031351,20130403031351,unknown
31,62.117.11.244,1,0,20140605213732,20140605213732,unknown
32,Ot,1,0,20110516061621,20110516061621,unknown
33,Koenraad,1,1,20090103123056,20090103123056,unknown
34,Boshomi,1,0,20130303144403,20130303144403,unknown
35,213.39.219.191,1,0,20110128001933,20110128001933,unknown
36,Greudin,1,1,20040210171147,20040210171147,unknown
37,Gabbahead.,1,1,20061202143946,20061202143946,unknown
38,Neun-x,1,0,20120716025044,20120716025044,unknown
39,62.226.105.178,1,0,20061016162855,20061016162855,unknown
40,Nerd,1,1,20021107184810,20021107184810,unknown
41,Sisal13,1,1,20100321124556,20100321124556,unknown
42,Peter Horitzer,1,1,20151027021728,20151027021728,unknown
43,Wst,1,0,20021226005015,20021226005015,unknown
44,Drifty,1,0,20060221164441,20060221164441,unknown
45,Joey-das-WBF,1,1,20121105194048,20121105194048,unknown
46,91.16.235.228,1,0,20150925115135,20150925115135,unknown
47,Phi,1,0,20151203162244,20151203162244,unknown
48,Themistokles1984,1,1,20090315013856,20090315013856,unknown
49,Textkontrolle,1,1,20170504085321,20170504085321,unknown
50,Stern,1,0,20090126210727,20090126210727,unknown
51,Siebzehnwolkenfrei,1,1,20061205122537,20061205122537,unknown
52,Mishukdero,1,0,20130410134035,20130410134035,unknown
53,91.54.85.235,1,0,20080821085022,20080821085022,unknown
54,Steffen,1,1,20061127140540,20061127140540,unknown
55,Franz Richter,1,1,20070219225218,20070219225218,unknown
56,Silversurfer4u,1,0,20061017210012,20061017210012,unknown
57,Hiwihalle,1,0,20110204113108,20110204113108,unknown
58,79.253.64.212,1,0,20170627064059,20170627064059,unknown
59,Anima,1,1,20160727211906,20160727211906,unknown
60,Emergency doc,1,1,20160722221600,20160722221600,unknown
61,Natsu Dragoneel,1,0,20150925115202,20150925115202,unknown
62,84.157.232.65,1,0,20140826174741,20140826174741,unknown
63,Atepomaros,1,0,20080126121306,20080126121306,unknown
64,Wombalton,1,0,20111106111511,20111106111511,unknown
65,217.244.247.213,1,0,20110409150723,20110409150723,unknown
66,Leider,1,1,20061004122358,20061004122358,unknown
67,InkoBot,1,1,20170522200714,20170522200714,unknown
68,84.130.159.204,1,0,20070211231445,20070211231445,unknown
69,Shelog,1,0,20021109153354,20021109153354,unknown
70,Shmuel haBalshan,1,1,20081215215801,20081215215801,unknown
71,Neuer NoName,1,0,20090103121917,20090103121917,unknown
72,VC10,1,1,20180904084109,20180904084109,unknown
73,Kurt Jansson,1,0,20021107183828,20021107183828,unknown
74,MystBot,1,1,20120119163406,20120119163406,unknown
75,176.4.124.55,1,0,20160722221327,20160722221327,unknown
76,Weiße Rose,1,0,20050612185442,20050612185442,unknown
77,Peter Gröbner,1,1,20141107195244,20141107195244,unknown
78,31.164.182.225,1,0,20131215132054,20131215132054,unknown
79,RoBri,1,0,20061227154056,20061227154056,unknown
80,PaFra,1,0,20140524144756,20140524144756,unknown
81,194.147.254.37,1,0,20091214112614,20091214112614,unknown
82,Ilja Lorek,1,1,20141026150909,20141026150909,unknown
83,Tönjes,1,1,20170627064112,20170627064112,unknown
84,Horst bei Wiki,1,1,20130207130257,20130207130257,unknown
85,128.130.60.1,1,0,20060822112122,20060822112122,unknown
86,Cyrus Grisham,1,1,20070619092630,20070619092630,unknown
87,Århus,1,1,20090315105054,20090315105054,unknown
88,31.17.237.227,1,0,20170920152011,20170920152011,unknown
89,Flominator,1,0,20121104100342,20121104100342,unknown
90,Agnostizi,1,0,20091009183604,20091009183604,unknown
91,Ullierlich,1,0,20190126124156,20190126124156,unknown
92,2A02:908:E112:1C80:21F1:F944:61D9:3D73,1,0,20150328200505,20150328200505,unknown
93,Obersachse,1,1,20060608201243,20060608201243,unknown
94,Tobias1983,1,1,20120723234425,20120723234425,unknown
95,Richard Lenzen,1,1,20141219112759,20141219112759,unknown
96,Horst Gräbner,1,0,20170920152205,20170920152205,unknown
97,Fairtext,1,1,20110201193803,20110201193803,unknown
98,88.74.9.239,1,0,20070226181242,20070226181242,unknown
99,Sovok,1,0,20021220234225,20021220234225,unknown
100,BenzolBot,1,1,20100721074731,20100721074731,unknown
101,Louis88,1,1,20060707103958,20060707103958,unknown
102,136.8.33.70,1,0,20160909065108,20160909065108,unknown
103,Pelz,1,0,20140605220303,20140605220303,unknown
104,Jesi,1,0,20150417164427,20150417164427,unknown
105,Merkið,1,0,20151012150238,20151012150238,unknown
106,195.65.154.50,1,0,20140318101205,20140318101205,unknown
107,Sinn,1,1,20080821085033,20080821085033,unknown
108,Jürgen Engel,1,0,20131201170817,20131201170817,unknown
109,94.223.112.81,1,0,20100504144625,20100504144625,unknown
110,Leonardo,1,1,20140516091815,20140516091815,unknown
111,SibFreak,1,1,20091214112818,20091214112818,unknown
112,ZéroBot,1,1,20121006213800,20121006213800,unknown
113,87.234.214.114,1,0,20060928124102,20060928124102,unknown
114,Bene16,1,1,20081227052303,20081227052303,unknown
115,Kroschka Ru,1,0,20090606192103,20090606192103,unknown
116,79.211.66.4,1,0,20180322120728,20180322120728,unknown
117,Scooter,1,0,20070226181539,20070226181539,unknown
118,GLGermann,1,0,20080108231154,20080108231154,unknown
119,FNDE,1,0,20150418115149,20150418115149,unknown
120,84.57.153.163,1,0,20150418115101,20150418115101,unknown
121,Kam Solusar,1,0,20130810024752,20130810024752,unknown
122,ChoG,1,1,20150825064454,20150825064454,unknown
123,Christophorus77,1,0,20170712130223,20170712130223,unknown
124,79.251.120.145,1,0,20120504205834,20120504205834,unknown
125,Mw,1,1,20040903084003,20040903084003,unknown
126,GLGerman,1,0,20070625165945,20070625165945,unknown
