,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Qualiabavariae,27,2,20120315201503,20180706103003,unknown
1,TMFS,17,5,20031117141542,20070524234045,unknown
2,Mogelzahn,13,10,20050405092353,20130924083108,unknown
3,J. Patrick Fischer,12,2,20120331191739,20180723155350,unknown
4,Malabon,9,8,20120218211749,20121028102718,unknown
5,Bis18102010,7,0,20091016050141,20091016053711,unknown
6,Neun-x,6,0,20110702132905,20170912034921,unknown
7,Mino1997,6,4,20030927164226,20031025095314,unknown
8,Anathema,5,5,20040921085305,20040922214750,unknown
9,Feliks,5,0,20150826075620,20150826090358,unknown
10,Boshomi,5,1,20130223180901,20161130204812,unknown
11,MAY,3,0,20110117182939,20160227024550,unknown
12,Aka,3,3,20060627195544,20170912091539,unknown
13,Odeesi,3,0,20070112185228,20070112185454,unknown
14,Tohma,3,0,20160306080212,20170912060129,unknown
15,Rainer21,3,0,20101205150121,20101205150406,unknown
16,Filterkaffee,3,3,20150826110426,20150826195109,unknown
17,Luke081515Bot,3,0,20150615182356,20161129210043,unknown
18,Wackknuerstchen,3,0,20081216005903,20081216182107,unknown
19,Dr. Meierhofer,3,0,20060823194702,20060823195449,unknown
20,Markus Kiefer,3,0,20160414133552,20160511132138,unknown
21,Kritischer Geist,2,1,20120605223325,20120605223604,unknown
22,Dietrich,2,0,20131007082643,20131007082725,unknown
23,InternetArchiveBot,2,0,20180325132737,20181202001359,unknown
24,Natsu Dragoneel,2,2,20151228072704,20170202224210,unknown
25,213.61.77.145,2,0,20100327015613,20100327015711,unknown
26,Knopfkind,2,0,20111202215148,20111202215453,unknown
27,84.148.107.216,2,0,20060111214737,20060111214917,unknown
28,Dr.peter,2,0,20090422154743,20090422161632,unknown
29,Yorg,2,2,20040723170455,20040723170525,unknown
30,WIKImaniac,2,2,20060527142711,20060527142739,unknown
31,Rinah7,2,0,20080805121601,20080805121640,unknown
32,79.168.12.252,2,0,20110126003511,20110126004227,unknown
33,Waelder,2,1,20040127193322,20040127234007,unknown
34,2A02:8108:30C0:387C:C4F3:B5B5:D6DA:B665,2,0,20160306015550,20160306015604,unknown
35,84.155.226.122,2,0,20051214231601,20051214231637,unknown
36,Sebbot,2,0,20141203081227,20150703132244,unknown
37,WAH,2,2,20120728223547,20170202224316,unknown
38,Olaf Kosinsky,2,1,20160319172458,20160319175157,unknown
39,84.62.15.10,2,0,20060311124037,20060311124207,unknown
40,ArthurMcGill,2,1,20120203081745,20121012150340,unknown
41,Schreiber99,2,0,20170325124459,20170326121428,unknown
42,192.164.13.88,2,0,20170202224137,20170202224251,unknown
43,91.18.251.84,2,0,20121022225123,20121022225301,unknown
44,Red Grasshopper,2,0,20060618114047,20060702124326,unknown
45,2A02:810D:F40:4D8:B8D8:8661:B46A:E738,2,0,20140122163119,20140122163231,unknown
46,Scooter,2,2,20051216202636,20060311124543,unknown
47,Komischn,2,2,20130820181005,20130820181302,unknown
48,Regi51,2,1,20090409092607,20150917193005,unknown
49,213.188.46.93,2,0,20170309125518,20170309130224,unknown
50,88.72.47.79,2,0,20070116160049,20070116160149,unknown
51,Gorgo,2,0,20081212162116,20081221200145,unknown
52,79.202.52.58,2,0,20130922204411,20130922204456,unknown
53,Stefan Kühn,2,2,20031025094823,20041008154037,unknown
54,Adalbertriehl,2,1,20130602113218,20170616182529,unknown
55,Hansele,2,0,20050707232743,20070121215946,unknown
56,95.90.119.7,2,0,20091016074552,20091016074610,unknown
57,Q'Alex,2,0,20040906194834,20050825122056,unknown
58,YurikBot,2,2,20060625152506,20060728165847,unknown
59,Chdeppisch,2,2,20081021115824,20090404100211,unknown
60,Zollernalb,2,2,20090526215620,20101005103416,unknown
61,GT1976,2,0,20120723140356,20181202055823,unknown
62,EssexGirl,2,2,20140122163129,20140122163240,unknown
63,Hafenbar,2,2,20040325112838,20040325113155,unknown
64,HenrikHolke,2,0,20030927202827,20030927203325,unknown
65,84.154.35.85,2,0,20050825093329,20050825093357,unknown
66,Zwobot,2,2,20041204223254,20060207210133,unknown
67,GiordanoBruno,2,2,20161028133844,20171129214840,unknown
68,Ulli Purwin,2,1,20081212220703,20081217171009,unknown
69,Alma,2,2,20090929072949,20090929075436,unknown
70,Mehlauge,2,2,20140802205745,20161012170517,unknown
71,Ahellwig,1,1,20090520170152,20090520170152,unknown
72,Snoopy1964,1,1,20160225131734,20160225131734,unknown
73,84.145.73.60,1,0,20051114054328,20051114054328,unknown
74,87.123.133.229,1,0,20070929225627,20070929225627,unknown
75,80.156.26.179,1,0,20101004115759,20101004115759,unknown
76,Walcoford,1,1,20130723082821,20130723082821,unknown
77,217.5.115.206,1,0,20030927163930,20030927163930,unknown
78,Phrood,1,1,20050712111705,20050712111705,unknown
79,87.155.36.193,1,0,20170927221321,20170927221321,unknown
80,172.173.251.9,1,0,20070222001453,20070222001453,unknown
81,129.187.244.28,1,0,20090407073905,20090407073905,unknown
82,EmausBot,1,1,20130329133935,20130329133935,unknown
83,178.27.146.4,1,0,20150622085315,20150622085315,unknown
84,84.177.174.64,1,0,20050318214628,20050318214628,unknown
85,Unfugsbeseitiger,1,1,20170222134050,20170222134050,unknown
86,RobertPorter,1,1,20070101224422,20070101224422,unknown
87,194.114.240.52,1,0,20081216071240,20081216071240,unknown
88,Sf67,1,1,20091016074803,20091016074803,unknown
89,Hæggis,1,0,20110828140858,20110828140858,unknown
90,83.132.209.242,1,0,20121111230200,20121111230200,unknown
91,PibeDeOuro,1,0,20141022002121,20141022002121,unknown
92,Andy king50,1,1,20160618161428,20160618161428,unknown
93,Sebastianvader,1,1,20081025165525,20081025165525,unknown
94,44Pinguine,1,0,20090610085406,20090610085406,unknown
95,Sambal94,1,0,20110402181341,20110402181341,unknown
96,188.104.216.2,1,0,20120728223535,20120728223535,unknown
97,Viennea,1,0,20140205222745,20140205222745,unknown
98,AHZ,1,0,20040608185338,20040608185338,unknown
99,Crazy1880,1,1,20160319080807,20160319080807,unknown
100,Carol.Christiansen,1,1,20181209183116,20181209183116,unknown
101,Pelagus,1,0,20080129192215,20080129192215,unknown
102,Hoo man,1,1,20101220002148,20101220002148,unknown
103,Zorrobot,1,1,20120522165220,20120522165220,unknown
104,80.121.141.15,1,0,20130919204522,20130919204522,unknown
105,Head,1,0,20030928134734,20030928134734,unknown
106,2A02:908:DA20:8F00:940E:5867:8762:8E6B,1,0,20160211162716,20160211162716,unknown
107,Abdull,1,0,20050930214205,20050930214205,unknown
108,JFH-52,1,1,20171218201901,20171218201901,unknown
109,Flimmergeist,1,1,20070623154426,20070623154426,unknown
110,84.169.188.73,1,0,20100508125749,20100508125749,unknown
111,Kaisersoft,1,1,20120125220041,20120125220041,unknown
112,84.177.36.19,1,0,20130515194351,20130515194351,unknown
113,KV-Scheidegg,1,0,20151022161644,20151022161644,unknown
114,84.146.236.134,1,0,20050507103716,20050507103716,unknown
115,Didym,1,1,20170309130308,20170309130308,unknown
116,WikiNight,1,1,20070119101412,20070119101412,unknown
117,Hoefi,1,0,20081231143917,20081231143917,unknown
118,Entlinkt,1,1,20091207022728,20091207022728,unknown
119,O.Koslowski,1,1,20110916134910,20110916134910,unknown
120,Chuck6,1,0,20130317161339,20130317161339,unknown
121,Letdemsay,1,0,20150511105644,20150511105644,unknown
122,M.lange,1,0,20041218040310,20041218040310,unknown
123,Orci,1,1,20161208140106,20161208140106,unknown
124,Faber-Castell,1,0,20060923195536,20060923195536,unknown
125,Radschläger,1,1,20081214180535,20081214180535,unknown
126,Spiros,1,0,20091002215744,20091002215744,unknown
127,Leshonai,1,1,20121009191037,20121009191037,unknown
128,93.104.179.165,1,0,20140907121639,20140907121639,unknown
129,=,1,0,20160414143015,20160414143015,unknown
130,131.173.209.252,1,0,20090523120501,20090523120501,unknown
131,79.206.209.165,1,0,20120716103650,20120716103650,unknown
132,Eastfrisian,1,0,20131203191121,20131203191121,unknown
133,Gak69,1,0,20180616220241,20180616220241,unknown
134,217.82.201.18,1,0,20071009164833,20071009164833,unknown
135,Castagna,1,1,20101018175136,20101018175136,unknown
136,Lómelinde,1,1,20130724181931,20130724181931,unknown
137,217.5.115.212,1,0,20030927164035,20030927164035,unknown
138,62.156.34.222,1,0,20160103093208,20160103093208,unknown
139,84.164.117.209,1,0,20050722124556,20050722124556,unknown
140,80.134.29.141,1,0,20171011071507,20171011071507,unknown
141,217.72.214.231,1,0,20070411234225,20070411234225,unknown
142,217.84.133.227,1,0,20090409092506,20090409092506,unknown
143,APPERbot,1,1,20100402154537,20100402154537,unknown
144,Definitiv,1,1,20111219184044,20111219184044,unknown
145,217.83.205.128,1,0,20130402095239,20130402095239,unknown
146,JamesP,1,1,20170302075030,20170302075030,unknown
147,Eynre,1,1,20081216072511,20081216072511,unknown
148,UlrichAAB,1,0,20091117032054,20091117032054,unknown
149,84.169.185.84,1,0,20110828202758,20110828202758,unknown
150,91.47.95.248,1,0,20130223074139,20130223074139,unknown
151,Clemenceau,1,0,20041112133240,20041112133240,unknown
152,188.192.119.201,1,0,20161015172259,20161015172259,unknown
153,Foundert,1,1,20060702131056,20060702131056,unknown
154,Pessottino,1,1,20081126234828,20081126234828,unknown
155,ChristophDemmer,1,0,20090718090707,20090718090707,unknown
156,Oenie,1,1,20110411105603,20110411105603,unknown
157,Helle66,1,1,20140608220209,20140608220209,unknown
158,EBB,1,1,20040612130514,20040612130514,unknown
159,79.228.3.160,1,0,20190305214549,20190305214549,unknown
160,77.56.109.145,1,0,20080514093406,20080514093406,unknown
161,Ehrhardt,1,0,20090504174348,20090504174348,unknown
162,148.188.17.56,1,0,20110113101430,20110113101430,unknown
163,Dandelo,1,0,20120525190048,20120525190048,unknown
164,Polarlys,1,1,20130922180210,20130922180210,unknown
165,Laroon,1,1,20031009183514,20031009183514,unknown
166,Rmcharb,1,1,20160211162815,20160211162815,unknown
167,62.202.88.101,1,0,20051001213047,20051001213047,unknown
168,217.226.92.78,1,0,20180311103401,20180311103401,unknown
169,62.96.207.14,1,0,20070810092230,20070810092230,unknown
170,Geierkrächz,1,1,20100508130128,20100508130128,unknown
171,Miltrak,1,0,20130528233205,20130528233205,unknown
172,Reinhardhauke,1,1,20151026153144,20151026153144,unknown
173,Kurt seebauer,1,1,20050601125108,20050601125108,unknown
