,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Rosenzweig,49,14,20041220202942,20170129170705,unknown
1,Mogelzahn,28,18,20040711080642,20120624172339,unknown
2,H-stt,27,6,20080331191801,20171129162954,unknown
3,Hardenacke,23,19,20090618185303,20170215204106,unknown
4,80.143.133.123,16,0,20030911204027,20030911205459,unknown
5,ChrisM,15,14,20040701120950,20060414180510,unknown
6,TMFS,12,5,20040222123850,20071121231657,unknown
7,GiordanoBruno,11,2,20121204224605,20161107151707,unknown
8,Magnus,11,11,20030304174946,20040322153228,unknown
9,88.72.14.55,10,0,20070510142457,20070510152136,unknown
10,ChristosV,10,0,20100717141229,20100717155557,unknown
11,217.231.170.215,9,0,20040701234525,20040701235923,unknown
12,Altaripensis,8,3,20120304141253,20140422191441,unknown
13,Triebtäter,8,0,20040523004322,20090110112134,unknown
14,Gustav von Aschenbach,8,3,20080101165231,20090421144002,unknown
15,Aka,7,7,20050708102039,20190208163907,unknown
16,Neun-x,7,0,20140614210219,20140614223349,unknown
17,Scooter,7,6,20050831215225,20121214093353,unknown
18,Se4598,6,6,20131118084221,20131120095146,unknown
19,Regi51,6,6,20081212182625,20181116114048,unknown
20,88.72.3.140,6,0,20070416104734,20070416163813,unknown
21,Gceschmidt,6,6,20130220235855,20130221003020,unknown
22,Vsop,6,3,20120308235110,20170321054026,unknown
23,Edoro,6,1,20061108215249,20100329144113,unknown
24,Archiv des Liberalismus,5,1,20131226153844,20180814081532,unknown
25,Enslin,5,1,20040410232653,20050718180121,unknown
26,Micha.Kramer,5,1,20120621120140,20130122192850,unknown
27,Pittimann,5,5,20100519074134,20171120094338,unknown
28,217.86.77.220,5,0,20050327135646,20050327140507,unknown
29,Eberkorn,5,5,20071231171311,20080101164839,unknown
30,Jürgen Engel,5,3,20060919150847,20170508061458,unknown
31,Olaf Kosinsky,5,2,20150208203642,20180709124701,unknown
32,MAY,5,0,20101126012849,20180508192949,unknown
33,Eusc,5,0,20130420223319,20130420224942,unknown
34,158.64.70.35,5,0,20131118084215,20131118084653,unknown
35,Schmelzle,5,5,20060914131515,20091009112511,unknown
36,G-Michel-Hürth,4,0,20110324182657,20121007194901,unknown
37,JFH-52,4,4,20181008084223,20181008100047,unknown
38,Sbth,4,0,20160610121829,20190205150103,unknown
39,NobbiP,4,2,20070817200911,20081019095401,unknown
40,88.72.18.27,4,0,20070315115610,20070315120453,unknown
41,J.-H. Janßen,4,2,20080209185343,20080220124102,unknown
42,Sir James,4,4,20081215045755,20090323162035,unknown
43,Armin P.,4,2,20091013210518,20170917190222,unknown
44,Thomas7,4,0,20041213120508,20041216020629,unknown
45,Die Nachwelt,4,0,20140313174508,20140314231807,unknown
46,Dr.cueppers,4,2,20150616151850,20160318174218,unknown
47,Wikswat,4,2,20120117202012,20131006164010,unknown
48,Maximilian Schönherr,4,1,20110712182947,20120114091044,unknown
49,Walcoford,4,2,20130124090931,20130209131324,unknown
50,Howwi,4,4,20100630070340,20120418062935,unknown
51,87.164.84.231,4,0,20080403132328,20080403132546,unknown
52,H.Albatros,4,4,20090202161202,20130520180608,unknown
53,Luckas-bot,4,4,20100108151711,20120218212617,unknown
54,Girus,4,3,20180822050214,20190211091242,unknown
55,217.230.24.57,3,3,20021217140046,20021217204155,unknown
56,Ziko,3,0,20090313175655,20100205194558,unknown
57,Zwobot,3,3,20040222134104,20060122043511,unknown
58,91.58.215.43,3,0,20090209102207,20090209102355,unknown
59,Rauwauwi,3,3,20070104143626,20070217171127,unknown
60,88.72.9.130,3,0,20070514164518,20070514172701,unknown
61,Amano1,3,0,20090912204514,20090912205238,unknown
62,Jordi,3,1,20161016101619,20161016102035,unknown
63,217.226.5.246,3,0,20030520150538,20030520151441,unknown
64,B. Gutleben,3,1,20111013104935,20111104165220,unknown
65,Kandschwar,3,2,20060219165730,20080920092410,unknown
66,217.230.21.214,3,2,20021211164832,20021211165256,unknown
67,Telrúnya,3,3,20090112102740,20090227075529,unknown
68,192.53.103.105,3,0,20051012151552,20051012152849,unknown
69,Radschläger,3,2,20090104130320,20090206163359,unknown
70,Pelz,3,3,20111205222814,20120309123505,unknown
71,84.161.248.18,3,0,20070419123947,20070419124205,unknown
72,88.72.10.164,3,0,20070830131810,20070830132441,unknown
73,Achim Raschka,3,2,20051025123148,20051025132550,unknown
74,Janericloebe,3,2,20090110201541,20090329173236,unknown
75,84.160.140.175,3,0,20131006170916,20131006172009,unknown
76,Axel.Mauruszat,3,1,20080723062928,20161006095437,unknown
77,Stefan Kühn,3,1,20030719102504,20041008153418,unknown
78,91.20.223.196,3,0,20100404151947,20100404154623,unknown
79,Definitiv,3,1,20101214122847,20130312104748,unknown
80,Koschi73,3,2,20170919091734,20171130203228,unknown
81,Nobody.de,3,2,20040516145507,20040518214401,unknown
82,91.4.113.74,3,0,20081104074716,20081104074927,unknown
83,Allegoriowitsch,3,0,20090211150555,20130905144313,unknown
84,LIU,3,0,20120102175335,20120125211442,unknown
85,88.72.20.115,3,0,20070412180633,20070412181937,unknown
86,Horst Gräbner,3,3,20140727150053,20170325100952,unknown
87,Altera levatur,3,3,20151007190738,20151007220632,unknown
88,93.201.214.19,3,0,20121214092857,20121214093528,unknown
89,91.62.101.138,3,0,20090210102154,20090210102408,unknown
90,Sister Ray,3,2,20061201171018,20071202223554,unknown
91,129.187.244.28,3,0,20160714090612,20160714091719,unknown
92,89.12.2.78,3,0,20130612184215,20130612215653,unknown
93,Kontrollstellekundl,3,0,20140131151658,20140131152839,unknown
94,EPei,3,0,20070329133351,20130515132042,unknown
95,Krawi,3,3,20081104074741,20090528083629,unknown
96,Sol1,3,1,20071027143808,20071027144237,unknown
97,84.148.91.30,3,0,20051021085758,20051021090006,unknown
98,GT1976,3,0,20081222040729,20151111050551,unknown
99,Martin Aggel,3,1,20030309134505,20040122205328,unknown
100,Atomiccocktail,3,2,20070912140750,20091108220827,unknown
101,Libelle63,3,0,20041204094713,20041204100357,unknown
102,Gödeke,3,0,20090119145938,20090122181518,unknown
103,Codeispoetry,3,3,20071111023525,20071230214937,unknown
104,213.39.170.217,3,0,20051106094443,20051106094734,unknown
105,Letdemsay,3,0,20100615174019,20131001103014,unknown
106,VolkovBot,3,3,20080724042325,20110103035112,unknown
107,Tönjes,2,0,20070417101041,20070417101054,unknown
108,Bonnlander,2,2,20140131155841,20140203150134,unknown
109,EBB,2,2,20040520141724,20040523073827,unknown
110,Teeke,2,1,20150103184552,20150103195607,unknown
111,84.130.74.96,2,0,20080101210417,20080101210751,unknown
112,84.160.108.74,2,0,20101124102513,20101124102730,unknown
113,Zeppelin26,2,0,20110901162901,20110901163822,unknown
114,88.75.197.65,2,0,20081212075818,20081212080343,unknown
115,84.153.8.156,2,0,20060125224618,20060125225021,unknown
116,84.130.64.117,2,0,20060925112520,20060925112648,unknown
117,88.72.13.201,2,0,20070331193331,20070331201031,unknown
118,217.248.94.178,2,0,20070731194455,20070731194643,unknown
119,94.218.239.230,2,0,20091217153437,20091217153603,unknown
120,RobotE,2,2,20050715122332,20051021130540,unknown
121,84.155.114.31,2,0,20090118142149,20090118142537,unknown
122,217.250.234.18,2,0,20060807225620,20060807225932,unknown
123,Mac CH,2,2,20040711101309,20070208153212,unknown
124,Wiegels,2,2,20140314230936,20140315203741,unknown
125,Bigbug21,2,1,20150613183505,20150613183752,unknown
126,Jpp,2,2,20050929185350,20051024202524,unknown
127,188.97.120.241,2,0,20120113163623,20120113163643,unknown
128,88.72.14.71,2,0,20081222182929,20081222183707,unknown
129,Abraxasrgb,2,0,20070423155302,20070423155555,unknown
130,Darthbond007,2,0,20150215234210,20150215234234,unknown
131,AndreasPraefcke,2,1,20100310122941,20120515201954,unknown
132,Miltrak,2,0,20130524142348,20150801193949,unknown
133,88.72.9.164,2,0,20070415114201,20070415124930,unknown
134,Filadelfia,2,1,20140130093510,20140130093602,unknown
135,Emmridet,2,2,20101020120823,20141106224111,unknown
136,Der.Traeumer,2,2,20081117112617,20121214093534,unknown
137,62.104.220.89,2,0,20040304210839,20040304211512,unknown
138,Asdfj,2,2,20060716100942,20061007215438,unknown
139,Kochel86,2,1,20130103191321,20130106015605,unknown
140,80.171.5.188,2,0,20090211142740,20090211142938,unknown
141,84.164.115.219,2,0,20131111145858,20131111150144,unknown
142,LKD,2,2,20071019131702,20090421111208,unknown
143,Bkl,2,0,20080324170655,20080324170814,unknown
144,Carl Sack,2,2,20161115101911,20170210115337,unknown
145,Ambross07,2,2,20120126180840,20121120111115,unknown
146,Alnilam,2,2,20121112141546,20131111145305,unknown
147,Der Bischof mit der E-Gitarre,2,0,20071006184510,20071014113357,unknown
148,Harry8,2,1,20150311094738,20180615134838,unknown
149,Eynre,2,0,20100516062515,20100516063139,unknown
150,Mps,2,0,20041222150155,20041222150327,unknown
151,Bogert,2,2,20081212081937,20081212183804,unknown
152,Tobias Kirchhof,2,2,20090421110432,20090421142336,unknown
153,Engie,2,2,20090118142219,20090131185954,unknown
154,Xqbot,2,2,20090225063746,20100701195148,unknown
155,Hauner,2,2,20071030115429,20071030115943,unknown
156,Stolp,2,0,20100712234422,20100728080259,unknown
157,Peter200,2,2,20080403132558,20120917123157,unknown
158,M Huhn,2,0,20121209220617,20121209222710,unknown
159,Sennmeischter,2,2,20080308095043,20090728091235,unknown
160,84.149.253.25,2,0,20061111203201,20061111203246,unknown
161,62.214.90.210,2,0,20061012112734,20061012112750,unknown
162,Otto,2,2,20021211171714,20021211172018,unknown
163,212.4.225.4,2,0,20160229120031,20160330123917,unknown
164,Axt,2,1,20080703153020,20080704075802,unknown
165,ZéroBot,2,2,20110629103945,20121102235009,unknown
166,Gamma9,2,2,20081124122114,20090127101319,unknown
167,Thomoesch,2,0,20091211154207,20100914173052,unknown
168,Prüm,2,2,20160112210417,20161029151510,unknown
169,Quellentest,2,0,20120320153952,20120320222934,unknown
170,217.91.255.67,2,0,20130106132527,20130106132556,unknown
171,Juesch,2,2,20091001095441,20100401140540,unknown
172,Itala Sveva,2,1,20071024171824,20181128001706,unknown
173,Yorg,2,2,20040709215854,20040709215925,unknown
174,91.54.100.246,2,0,20100630070311,20100630070424,unknown
175,84.137.222.38,2,0,20050426152221,20050426152345,unknown
176,87.123.164.191,2,0,20090131185642,20090131185717,unknown
177,Bernhard55,2,1,20040611052328,20040627141110,unknown
178,79.233.213.73,2,0,20100106081546,20100106082816,unknown
179,Slökmann,2,1,20160128131720,20160614164301,unknown
180,Marietta3,2,1,20100827062020,20100827062040,unknown
181,84.159.90.193,2,0,20050827145155,20050827145244,unknown
182,84.157.67.115,2,0,20081117112238,20081117112608,unknown
183,Patron007,2,0,20060914115236,20060914115309,unknown
184,Sebbot,2,0,20091022232349,20111203061849,unknown
185,Bene16,2,0,20071110071955,20071110081012,unknown
186,MarkusHagenlocher,2,2,20050612195911,20070114105355,unknown
187,Andropov,2,0,20180728085803,20180728090114,unknown
188,91.58.199.194,2,0,20090112101733,20090112101902,unknown
189,134.99.138.123,2,0,20050414164209,20050414164549,unknown
190,Gge,2,2,20081227113318,20081227113504,unknown
191,Drahreg01,2,1,20121028180210,20121029182257,unknown
192,217.231.253.46,2,0,20030819011356,20030819011414,unknown
193,PolskiNiemiec,2,0,20100515214655,20100515214739,unknown
194,Kuhlmac,2,2,20101215105420,20101215105540,unknown
195,62.178.228.238,2,0,20050920074000,20050920074240,unknown
196,37.9.187.167,2,0,20171019100728,20171019101638,unknown
197,217.236.180.185,2,0,20070417101025,20070417101047,unknown
198,87.144.126.8,2,0,20100205132842,20100205134828,unknown
199,78.48.46.12,2,0,20090131063902,20090131063959,unknown
200,84.164.117.6,2,0,20071202110340,20071202110505,unknown
201,CBR77,2,2,20100726163950,20100726164330,unknown
202,83.236.226.18,2,0,20070208160652,20070208161108,unknown
203,Didionline,2,2,20180330130412,20180406110024,unknown
204,Carol.Christiansen,2,2,20120217160233,20140602154537,unknown
205,Bota47,2,2,20060612024056,20061127213453,unknown
206,88.72.6.156,2,0,20070513075607,20070513075811,unknown
207,91.4.70.186,2,0,20071019090212,20071019090440,unknown
208,Zibaldone,2,1,20100518143159,20100721141756,unknown
209,Hubertl,2,2,20090131163343,20090209102339,unknown
210,Xocolatl,2,2,20080103232356,20140620215108,unknown
211,85.177.110.228,2,0,20110927143847,20110927143947,unknown
212,84.141.218.214,2,0,20061001105924,20061001105959,unknown
213,Leithian,2,1,20090413202506,20090413204455,unknown
214,93.196.86.85,2,0,20170129165142,20170129165230,unknown
215,Leit,2,0,20121219141918,20141002145455,unknown
216,Ot,2,2,20090210102427,20130503070426,unknown
217,132.252.249.142,2,0,20140605112305,20140605112538,unknown
218,Calvin Ballantine,2,0,20051008070759,20060706141101,unknown
219,Odryfuss,2,0,20180226175436,20180226175523,unknown
220,84.159.98.198,2,0,20070506161457,20070506161514,unknown
221,DerHisto,2,1,20071004201820,20080808125535,unknown
222,80.145.86.82,1,0,20050920202711,20050920202711,unknown
223,Zahnputzbecher,1,1,20171019101652,20171019101652,unknown
