,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Mogelzahn,31,18,20040724105405,20170217200102,unknown
1,TMFS,26,5,20031117235744,20080725113754,unknown
2,134.99.242.164,18,0,20101104025021,20110103044041,unknown
3,Anima,16,7,20090107230411,20160112214804,unknown
4,Werwiewas,15,5,20071124100558,20080415205712,unknown
5,Jklö,14,7,20071127170301,20080724163256,unknown
6,Hardenacke,13,11,20081028170919,20170803084156,unknown
7,Eisbaer44,8,7,20060527052534,20161205093757,unknown
8,ToddyB,7,5,20090128224438,20090821051136,unknown
9,194.149.241.3,7,0,20101205050211,20120419001225,unknown
10,Richard Lenzen,7,7,20130703192110,20190211072359,unknown
11,Sebbot,7,0,20100114124024,20140826152423,unknown
12,Studmult,7,1,20100726193205,20100914194708,unknown
13,Giro,7,4,20080331161324,20091202211828,unknown
14,Gudrun Meyer,6,5,20090327175031,20120502092552,unknown
15,Str1977,6,0,20090319091529,20090319094648,unknown
16,Pelz,6,6,20090730203058,20120104221525,unknown
17,UweBayern,5,0,20090816222059,20090816222746,unknown
18,Widerborst,5,1,20110529122730,20111226173638,unknown
19,Florian.Keßler,4,4,20061120020742,20090831082047,unknown
20,Don-kun,4,0,20111118101328,20120419083158,unknown
21,84.160.105.1,4,0,20060803220048,20060803220415,unknown
22,Kängurutatze,4,0,20130715112858,20130722184340,unknown
23,87.187.106.39,4,0,20070306220627,20070306222246,unknown
24,WWSS1,3,0,20101102213043,20101104044519,unknown
25,Dietrich,3,0,20140817094034,20140817094934,unknown
26,Gamma9,3,3,20081229040455,20090120094520,unknown
27,TaxonKatBot,3,3,20161127140626,20180602060217,unknown
28,Aka,3,3,20081023182528,20150927123653,unknown
29,Andros64,3,2,20090804083420,20090804083709,unknown
30,Slökmann,3,2,20070919144830,20141202075709,unknown
31,Über-Blick,3,0,20170109010818,20181231052956,unknown
32,Asthma,3,2,20080409195503,20081208031003,unknown
33,AHZ,3,2,20040815143425,20080723213930,unknown
34,Prissantenbär,2,1,20040509091254,20040509091655,unknown
35,Laroon,2,1,20031101143456,20031101143758,unknown
36,91.113.33.90,2,0,20150317163447,20150317163540,unknown
37,Schreiben,2,2,20110618085718,20120720164526,unknown
38,Hermann biro,2,0,20161006110904,20161006111339,unknown
39,Zwobot,2,2,20040209100337,20080508201247,unknown
40,Güwy,2,1,20170222154317,20170222192328,unknown
41,217.110.124.98,2,0,20061018144744,20061026132150,unknown
42,85.179.166.166,2,0,20080427162605,20080427162920,unknown
43,Goesseln,2,2,20090831164728,20120814232620,unknown
44,93.221.169.84,2,0,20101110151425,20101110151752,unknown
45,Prüm,2,2,20110618111118,20160516135956,unknown
46,Clemenceau,2,0,20041116160344,20041116160846,unknown
47,Hsingh,2,2,20120722120434,20161219124052,unknown
48,Jed,2,2,20040211211227,20061203222936,unknown
49,Memnon335bc,2,1,20070715222527,20071021132324,unknown
50,Zeno Gantner,2,1,20041217175158,20060315151929,unknown
51,Jergen,2,2,20101008063447,20101008063536,unknown
52,Sf67,2,2,20110106102726,20110331153333,unknown
53,Triebtäter,2,0,20041203231708,20060818204036,unknown
54,Historyk,2,2,20060609150414,20060609150441,unknown
55,217.84.170.39,2,0,20100913203638,20100913203730,unknown
56,87.122.5.59,2,0,20091027194339,20091027195110,unknown
57,93.221.189.147,2,0,20101126161204,20101126172001,unknown
58,Ulamm,2,1,20101022190826,20101122072129,unknown
59,Benny26,2,2,20151024175817,20151024180154,unknown
60,Göte,2,2,20141121174747,20150511204529,unknown
61,Anton-Josef,2,2,20071119132710,20080525182840,unknown
62,Finanzer,1,0,20080702220734,20080702220734,unknown
63,93.104.98.115,1,0,20090528023918,20090528023918,unknown
64,217.84.170.22,1,0,20100914194551,20100914194551,unknown
65,84.174.2.234,1,0,20120907124245,20120907124245,unknown
66,181.161.246.158,1,0,20150927033408,20150927033408,unknown
67,Robert Weemeyer,1,1,20060207153532,20060207153532,unknown
68,Leshonai,1,1,20070806151008,20070806151008,unknown
69,FredericII,1,1,20090326190646,20090326190646,unknown
70,GrandpaScott,1,0,20100702133014,20100702133014,unknown
71,Malabon,1,1,20120201220932,20120201220932,unknown
72,Hoszy,1,0,20051016162347,20051016162347,unknown
73,Zollernalb,1,1,20180807160412,20180807160412,unknown
74,Kulmbacher,1,0,20070306222423,20070306222423,unknown
75,87.163.115.241,1,0,20080525111249,20080525111249,unknown
76,TobeBot,1,1,20100123000711,20100123000711,unknown
77,Pobaer,1,0,20140707144441,20140707144441,unknown
78,Serpens,1,0,20050129153100,20050129153100,unknown
79,R2Dine,1,0,20170731085558,20170731085558,unknown
80,80.171.243.245,1,0,20080428153454,20080428153454,unknown
81,Marcus Cyron,1,0,20081221220801,20081221220801,unknown
82,Gonzosft,1,0,20091107134837,20091107134837,unknown
