,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Qualiabavariae,39,1,20120225155500,20150224153510,unknown
1,Jbergner,23,3,20090928151155,20181002120231,unknown
2,91.37.103.214,20,0,20091028182253,20091029015323,unknown
3,Mogelzahn,16,7,20051122174002,20161001163104,unknown
4,Falkmart,15,0,20130606113607,20130627190323,unknown
5,Politics,14,2,20091023221719,20100605201425,unknown
6,EH⁴²,12,2,20140407125628,20151109123205,unknown
7,Miltrak,10,1,20110916142749,20151209121327,unknown
8,TMFS,9,2,20051017123959,20060627133307,unknown
9,Olaf Kosinsky,9,4,20150205130140,20181207202837,unknown
10,Nemissimo,8,3,20090811203733,20100427104124,unknown
11,Pittimann,7,7,20091124084245,20141215143445,unknown
12,Aka,7,7,20050707195956,20180202195405,unknown
13,Pumuckel42,6,0,20091029100531,20091103001815,unknown
14,Neun-x,6,0,20100605171333,20171008205925,unknown
15,HelgeRieder,5,0,20150216171502,20150216174417,unknown
16,Storcw,5,0,20130226001148,20130226002441,unknown
17,Horst Gräbner,5,3,20130607111506,20170221182611,unknown
18,Zwobot,5,5,20040316182554,20080207181024,unknown
19,Mps,5,5,20110304183614,20110308112233,unknown
20,Paddy2674,5,5,20131217053246,20131217053915,unknown
21,Andibrunt,5,1,20091116111348,20130827055506,unknown
22,DerHexer,4,3,20090106113441,20131219011608,unknown
23,Sprachfreund49,4,1,20130827143200,20130827144319,unknown
24,Jergen,4,3,20110913123812,20130606193002,unknown
25,Asdf01,4,2,20060311010411,20060314005409,unknown
26,Lettres,4,0,20160221211933,20160222182647,unknown
27,PsY.cHo,4,4,20110302122055,20110304010029,unknown
28,Pelz,4,4,20091023113331,20141111165128,unknown
29,Tönjes,4,1,20070522073754,20070824122345,unknown
30,217.228.236.219,4,0,20061230174858,20061230195138,unknown
31,Lorem ipsum,4,3,20051122153434,20051122154030,unknown
32,Sir James,4,4,20091024105749,20110302161523,unknown
33,S⁂,4,1,20100427155131,20100427155830,unknown
34,212.184.113.122,4,0,20110302105638,20110302105818,unknown
35,Michelhausen,4,0,20120201192221,20120220154829,unknown
