,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Feliks,64,0,20161114132741,20180814091348,unknown
1,Gnutued,16,0,20170814121159,20181104092508,unknown
2,PeterHouza,12,1,20160920111033,20160920181542,unknown
3,RoBri,7,4,20170131170509,20190205152940,unknown
4,2A02:8071:1AB:8500:9D35:BEE2:4044:25FC,5,0,20161010192651,20161010204355,unknown
5,Anti.,5,2,20180530155927,20180531113106,unknown
6,Jaellee,5,5,20160930195722,20161228233355,unknown
7,KurtR,5,1,20170204232816,20190210194733,unknown
8,Aka,4,4,20161001072818,20181018183856,unknown
9,Tokota,4,0,20180318114255,20180918135159,unknown
10,Petruz,4,2,20180716184830,20190217150659,unknown
11,Perfect Tommy,4,3,20161114134919,20161115210946,unknown
12,Horst Gräbner,4,3,20180722183913,20180724095757,unknown
13,Centenier,4,4,20190205164751,20190205165251,unknown
14,2A02:8108:8B40:1648:5977:5790:E8A2:ADD3,3,0,20160927112706,20160927113023,unknown
15,Schilderwaldmeister,3,2,20180815094738,20180822052224,unknown
16,2A02:8071:1AB:8500:34D1:4605:F7D9:32EF,3,0,20160928174131,20160928181324,unknown
17,Sänger,3,0,20181023175822,20181104094816,unknown
18,222.237.76.237,2,0,20190205164658,20190205164838,unknown
19,Freital,2,0,20180917091837,20180918074444,unknown
20,Davit.1980,2,1,20180905091636,20180905092313,unknown
21,Altsprachenfreund,2,1,20161220134326,20170109170712,unknown
22,132.187.232.91,2,0,20180410003707,20180410004739,unknown
23,79.244.74.201,2,0,20161013135733,20161013144759,unknown
24,Corvus2016,2,0,20180609225058,20180609225151,unknown
25,JuTe CLZ,2,0,20180716182156,20180716184700,unknown
26,Der Wikiwatcher,2,1,20180722072031,20180722182443,unknown
27,Ot,2,0,20170603083842,20190210060625,unknown
28,AndySchneider71,2,0,20161227083852,20170110164704,unknown
29,62.204.165.222,2,0,20161228152014,20171123173137,unknown
30,JosFritz,2,1,20181203005932,20190218074532,unknown
31,84.175.204.139,2,0,20161001174010,20161001180806,unknown
32,Allexkoch,2,2,20181012232213,20181012233059,unknown
33,2003:D2:1F2C:F501:217:F2FF:FE52:FE97,2,0,20190211170054,20190218074213,unknown
34,2A02:8071:1AB:8500:78DE:C7D9:75CD:E3C8,2,0,20161006174028,20161006183030,unknown
35,Nuuk,2,2,20171019061902,20180814065513,unknown
36,CamelBot,2,2,20190208104811,20190217153708,unknown
37,Martin Sell,1,0,20161115214136,20161115214136,unknown
38,Derbrauni,1,1,20180105154803,20180105154803,unknown
39,87.155.247.243,1,0,20161115131508,20161115131508,unknown
40,Niels Wrschowitz,1,1,20170722201959,20170722201959,unknown
41,66.96.233.186,1,0,20180731182858,20180731182858,unknown
42,Taron,1,0,20190208101747,20190208101747,unknown
43,Mupa280868,1,1,20180122140233,20180122140233,unknown
44,Sargoth,1,1,20161003200338,20161003200338,unknown
45,188.192.154.181,1,0,20180319073242,20180319073242,unknown
46,S.K.,1,1,20181116235107,20181116235107,unknown
47,Januar255,1,1,20170818190316,20170818190316,unknown
48,77.9.145.167,1,0,20170105195030,20170105195030,unknown
49,Brodkey65,1,0,20181104102926,20181104102926,unknown
50,2003:D2:1F38:F101:217:F2FF:FE52:FE97,1,0,20190101002130,20190101002130,unknown
51,Yen Zotto,1,1,20161016162836,20161016162836,unknown
52,Carolin,1,1,20190117210950,20190117210950,unknown
53,2003:6A:6B3B:2500:AC97:B41E:14B7:A48D,1,0,20180721193152,20180721193152,unknown
54,Geruxenfux,1,1,20181012163620,20181012163620,unknown
55,2A02:908:D78:D7E0:5C87:5725:E1B2:5AB3,1,0,20170604123652,20170604123652,unknown
56,Dnaber,1,1,20161012173931,20161012173931,unknown
57,84.226.32.248,1,0,20161220091934,20161220091934,unknown
58,211.201.25.89,1,0,20190205165038,20190205165038,unknown
59,Hadibe,1,1,20161021201001,20161021201001,unknown
