,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Ulitz,114,56,20050729205646,20091102184928,unknown
1,Aktionsheld,30,7,20061214201103,20080823095226,unknown
2,134.147.18.41,15,0,20060601134540,20070316100352,unknown
3,Harald909,15,0,20041122141729,20041203153155,unknown
4,Ziegelbrenner,12,9,20050725094908,20180119094528,unknown
5,84.58.196.132,9,0,20050916171307,20050916174528,unknown
6,Davidvolksmund,9,0,20130417175212,20171007132021,unknown
7,Gruenfisch,9,0,20050511144447,20080213174824,unknown
8,Sargoth,9,5,20080630000019,20120321191407,unknown
9,Dr. Detroit,8,7,20051112104905,20080328151626,unknown
10,84.144.185.9,8,0,20070704114104,20070704120239,unknown
11,To old,8,6,20051019105543,20061011165105,unknown
12,Emma7stern,7,3,20090516173853,20120815232446,unknown
13,Andy Schwarz,7,7,20060723200116,20060729075021,unknown
14,213.73.75.193,7,0,20100220235627,20100223023554,unknown
15,Tuxman,7,6,20041220181939,20170619084648,unknown
16,84.144.253.204,7,0,20060326165518,20060326171246,unknown
17,Lley,7,7,20050718061608,20060729124113,unknown
18,84.144.202.221,7,0,20051127215356,20051127220826,unknown
19,92.195.75.105,7,0,20140501170907,20140501185038,unknown
20,84.144.237.94,7,0,20070410155939,20070410164420,unknown
21,84.144.229.38,7,0,20061130165237,20061130172835,unknown
22,92.195.52.152,6,0,20150326051112,20150326052652,unknown
23,84.144.184.72,6,0,20060618120328,20060618121534,unknown
24,84.191.249.63,6,0,20060814123741,20060814124210,unknown
25,84.144.248.105,6,0,20051126135947,20051126142305,unknown
26,84.144.202.107,6,0,20060704181121,20060704182400,unknown
27,Zeno Gantner,6,5,20030331084733,20050224003313,unknown
28,178.2.122.183,5,0,20101016195939,20101016201836,unknown
29,Reclus,5,1,20120520093715,20130506111754,unknown
30,David Volksmund,5,1,20051205123537,20051205125605,unknown
31,89.247.27.230,5,0,20070116120726,20070116121223,unknown
32,80.135.223.249,5,0,20060930191916,20060930192829,unknown
33,F2hg.amsterdam,5,3,20110102092327,20130116092548,unknown
34,134.76.61.193,4,0,20051014130040,20070831133404,unknown
35,Dersim9999,4,0,20150303100235,20150303100927,unknown
36,84.144.214.93,4,0,20051127212526,20051127213139,unknown
37,84.144.228.202,4,0,20061015063548,20061015064250,unknown
38,84.144.184.225,4,0,20060703120348,20060703121032,unknown
39,84.144.199.15,4,0,20070807090816,20070807093523,unknown
40,Gorlingor,4,4,20130419125008,20160325154724,unknown
41,84.144.209.4,4,0,20060715091700,20060715092246,unknown
42,Spooky-west,4,1,20061220182821,20061220183835,unknown
43,85.178.143.177,4,0,20070302112629,20070302115621,unknown
44,Yuszuv,4,1,20050806220959,20051019130450,unknown
45,Tolanor,4,3,20060327150346,20150608203541,unknown
46,92.226.3.135,4,0,20120721161603,20120721163537,unknown
47,PDD,4,0,20150728145925,20150729102338,unknown
48,87.123.11.112,4,0,20060715155251,20060716003225,unknown
49,212.204.5.209,3,0,20041205221718,20041205222308,unknown
50,Svencb,3,3,20040823000141,20050224002536,unknown
51,Seth Cohen,3,1,20120902214708,20120903112544,unknown
52,Ayla Crash,3,2,20150608094235,20150609080255,unknown
53,88.73.139.221,3,0,20070315154920,20070315160538,unknown
54,Jeldrik,3,1,20060209123309,20060318201632,unknown
55,79.222.177.73,3,0,20190226091157,20190226092213,unknown
56,92.195.52.169,3,0,20140429083055,20140429085330,unknown
57,87.123.21.95,3,0,20060804023121,20060804024436,unknown
58,94.218.36.209,3,0,20110201160819,20110201161326,unknown
59,84.144.238.233,3,0,20061022152642,20061022153103,unknown
60,84.144.190.44,3,0,20070506130550,20070506131017,unknown
61,84.144.203.41,3,0,20081124051237,20081124053706,unknown
62,Kainschwarz,3,3,20100315125230,20100315125633,unknown
63,84.144.205.161,3,0,20060929090620,20060929092218,unknown
64,84.144.206.227,3,0,20070406015458,20070406021851,unknown
65,Janjonas,3,2,20160126180253,20170120162127,unknown
66,TomK32,3,0,20030328064449,20060103220918,unknown
67,77.185.251.128,3,0,20120706105515,20120706105807,unknown
68,Thüringer,3,1,20090102083107,20150527121244,unknown
69,87.123.1.248,3,0,20060715001352,20060715003444,unknown
70,Tbachner,3,0,20040611100133,20040611100618,unknown
71,Str1977,3,0,20130731193623,20151010203208,unknown
72,88.73.43.197,3,0,20070316103138,20070316103755,unknown
73,Pacogo7,3,2,20071203161413,20100221005216,unknown
74,84.144.206.3,3,0,20060513154733,20060513155111,unknown
75,212.82.227.100,3,0,20090511234335,20090511235600,unknown
76,84.144.249.131,3,0,20060428190714,20060428191124,unknown
77,88.73.24.215,3,0,20070507105845,20070507110602,unknown
78,Friedermensch,3,2,20071026132227,20071026132425,unknown
79,217.9.56.139,3,0,20051110022808,20051110023350,unknown
80,84.165.241.247,3,0,20070618092031,20070618092149,unknown
81,62.104.155.115,3,0,20070520131033,20070520131922,unknown
82,84.157.209.81,3,0,20091215221705,20091215221824,unknown
83,92.194.16.169,3,0,20130114183407,20130114183757,unknown
84,84.144.233.19,3,0,20060428192009,20060428192338,unknown
85,84.144.184.208,3,0,20060619131152,20060619131958,unknown
86,Göte,3,3,20140809201115,20170427180038,unknown
87,Definitiv,3,3,20130106133504,20130106133757,unknown
88,80.137.245.8,3,0,20040616120732,20040616121004,unknown
89,84.57.31.36,2,0,20050113000908,20050113001127,unknown
90,77.186.149.67,2,0,20110719092425,20110719092711,unknown
91,Aka,2,2,20070630125102,20190117202658,unknown
92,92.226.26.171,2,0,20130201162437,20130201162640,unknown
