,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Anima,44,17,20060425184347,20110213190330,unknown
1,Ot,35,11,20050429095222,20170116192622,unknown
2,Drifty,26,6,20050902121025,20071019191952,unknown
3,KarlV,24,7,20050906100716,20160303133214,unknown
4,Herr Andrax,22,2,20050714184210,20050823191107,unknown
5,Dr. Manuel,20,2,20060328141005,20151020125928,unknown
6,Sava,20,0,20050307213314,20050907125054,unknown
7,Kochel86,11,2,20140107190700,20181217052513,unknown
8,Carolus.Abraxas,11,1,20060915215047,20170504172219,unknown
9,81.173.155.49,10,0,20060730102553,20060730215214,unknown
10,Livani,10,2,20071002213749,20080823092143,unknown
11,Init,9,2,20060210233318,20060821201638,unknown
12,195.230.189.176,9,0,20070918130826,20071212193838,unknown
13,Aka,9,9,20060506162637,20181204115104,unknown
14,Robert Groenewold,9,0,20040326143911,20040326175826,unknown
15,Bahrmatt,8,7,20130809143138,20161207115709,unknown
16,Martin Rasmussen,7,1,20050115182027,20050429100803,unknown
17,Benatrevqre,7,4,20070506121109,20161115143133,unknown
18,Sargoth,7,3,20071021100838,20071021124755,unknown
19,Horst Gräbner,6,4,20140109180256,20161219085910,unknown
20,Mannerheim,6,2,20080520145107,20080521112508,unknown
21,Luckas-bot,6,6,20100718125812,20120118123557,unknown
22,Southpark,6,4,20040401001819,20060815200029,unknown
23,Weiße Rose,6,4,20050616221840,20050906094111,unknown
24,Phi,6,5,20071205142718,20081124070241,unknown
25,T.M.L.-KuTV,6,6,20081127233759,20090210081024,unknown
26,Thijs!bot,6,6,20060816164245,20071031185901,unknown
27,Pittimann,5,5,20091221132824,20150608103238,unknown
28,87.123.105.206,5,0,20081026233021,20081026234546,unknown
29,195.230.166.190,5,0,20070713203810,20071125235315,unknown
30,*thing goes,5,0,20161113001636,20161113121114,unknown
31,Regi51,5,5,20100518214038,20161225101946,unknown
32,Otberg,5,3,20130120230931,20180907124451,unknown
33,Zwobot,5,5,20040323111937,20080111020419,unknown
34,Benedikt~dewiki,5,1,20030823233122,20041109132515,unknown
35,Karl-Henner,4,4,20040515071046,20050604140645,unknown
36,Konsular,4,4,20050822024831,20050822030111,unknown
37,81.173.145.7,4,0,20060305060020,20060305060155,unknown
38,Avantix,4,0,20060723092651,20060827042017,unknown
39,Xqbot,4,4,20090131014513,20161002181746,unknown
40,84.133.120.145,4,0,20070219093009,20070219093340,unknown
