,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Nuuk,35,18,20060907135504,20121202132814,unknown
1,Sirdon,28,1,20050718082607,20070621201348,unknown
2,85.179.26.17,27,0,20060919163231,20060920113602,unknown
3,Tohma,11,0,20150330120704,20170823191010,unknown
4,PaulWalter,10,5,20080819161645,20080819162828,unknown
5,Wahrheitsliebender,7,0,20040309000747,20040601230230,unknown
6,Urbanturbo,7,0,20120617122901,20120617130527,unknown
7,HerbertErwin,7,5,20081227235039,20170807053753,unknown
8,Roland Kutzki,7,4,20080323181640,20120513092902,unknown
9,85.179.4.55,6,0,20060922013618,20060922014456,unknown
10,Mia-etol,6,3,20080604103957,20081014065408,unknown
11,Jürgen Oetting,6,3,20140930100009,20170616092753,unknown
12,GuterSoldat,6,3,20060911005912,20060911012242,unknown
13,Dr. Manuel,6,1,20060511214019,20100722102541,unknown
14,Thomas7,6,0,20040922113138,20040927170233,unknown
15,RobotQuistnix,5,5,20050827045814,20080118234608,unknown
16,Zwobot,5,5,20040306055608,20081231153736,unknown
17,Gonzo Greyskull,5,0,20080802223724,20110118183419,unknown
18,Ernst S. Blofeld,5,5,20190222221047,20190224122041,unknown
19,Ulitz,5,0,20040828220304,20041009210926,unknown
20,Anima,5,2,20051024175619,20051025185329,unknown
21,131.130.126.24,4,0,20050505090715,20051113191344,unknown
22,Boreali,4,3,20040609111255,20040722130935,unknown
23,81.62.53.213,4,0,20050807183531,20050807185511,unknown
24,Marxman,4,0,20070611154207,20090605184557,unknown
25,Rita2008,4,0,20071220204900,20090831125757,unknown
26,Stillhart,4,0,20120315194514,20120705162016,unknown
27,Hedwig Storch,4,1,20160209142934,20160301112359,unknown
28,91.3.212.220,3,0,20080803094036,20080803094908,unknown
29,Xqbot,3,3,20090722212822,20130127183037,unknown
30,PanchoS,3,1,20060821183012,20100125132037,unknown
31,212.204.44.196,3,0,20040514182901,20040515151747,unknown
32,84.129.105.221,3,0,20040923152724,20040923153123,unknown
33,80.121.2.200,3,0,20051211164705,20051211164839,unknown
34,Alex1011,3,1,20051013213846,20060204220817,unknown
35,Gerd-HH,3,2,20060830115850,20060830122308,unknown
36,Ben g,3,0,20040515145710,20061112025843,unknown
37,213.23.19.12,3,0,20040310130756,20040310132553,unknown
38,Über-Blick,3,1,20160403230009,20170412105148,unknown
39,Aka,3,3,20050417102441,20150706130318,unknown
40,80.110.125.92,3,0,20041020190122,20041020190440,unknown
41,Hvd69,3,1,20121014172757,20121014173636,unknown
42,62.206.114.66,3,0,20050420165819,20050420175547,unknown
43,Pjacobi,3,0,20061002185444,20061002190130,unknown
