,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Über-Blick,20,0,20140429062403,20180105072703,unknown
1,Falkmart,12,1,20180104171646,20180107201724,unknown
2,Hvd69,12,4,20140720152323,20150907150729,unknown
3,HolgerB,11,7,20071104163426,20101030155638,unknown
4,4Frankie,6,5,20060913210309,20071001212534,unknown
5,Momo,5,4,20040610151420,20071019153947,unknown
6,Sir James,5,3,20081130215642,20171018140940,unknown
7,FredericII,5,5,20070206064048,20081202044434,unknown
8,Verzettelung,5,0,20170618154604,20171018072239,unknown
9,Lung,4,2,20050813212010,20090101162022,unknown
10,Tohma,4,0,20141201182300,20180103150812,unknown
11,LIU,4,3,20111207065115,20140219195404,unknown
12,Qaswa,4,0,20180103114054,20180103172037,unknown
13,Aka,4,4,20171202102149,20180107222408,unknown
14,Nanorsuaq,3,3,20180103184957,20180123000935,unknown
15,217.224.161.217,3,0,20090105120353,20090105122055,unknown
16,Mediatus,3,3,20080603075115,20080603075247,unknown
17,Gerd Wiechmann,3,0,20171207160259,20171207161655,unknown
18,Derim Hunt,3,3,20180104130337,20190305113335,unknown
19,217.224.147.41,3,0,20090101134946,20090101140630,unknown
20,Tilla,3,0,20090211162003,20110130220500,unknown
21,84.56.89.192,3,0,20081206115541,20081206121817,unknown
22,88.76.177.234,2,0,20080327221344,20080327221532,unknown
23,Nuuk,2,0,20130813155004,20130824124359,unknown
24,31.19.236.64,2,0,20180103111819,20180103111900,unknown
25,Röhrender Elch,2,1,20130106210844,20130106211117,unknown
26,2001:16B8:4602:6600:134:C047:44F9:6F57,2,0,20171018014631,20171018015030,unknown
27,Martin Sg.,2,2,20120224165701,20180103131101,unknown
28,Quasimodogeniti,2,2,20070612134036,20070612195148,unknown
29,Rita2008,2,0,20130427155725,20170626172742,unknown
30,Arieswings,2,1,20170919084018,20170925221540,unknown
31,Anti.,2,0,20180221145403,20180331075507,unknown
32,Mib18,2,1,20090112134903,20090112142424,unknown
33,Robb der Physiker,2,1,20170210212752,20170214212647,unknown
34,87.189.197.16,2,0,20080102104602,20080102104631,unknown
35,84.141.61.227,2,0,20070711214316,20070711214534,unknown
36,Carlos Eggenstein,2,0,20170925193707,20171008133559,unknown
37,KL052,2,2,20180104202946,20180104204326,unknown
38,Nimro,2,2,20090707052841,20090707053019,unknown
39,84.177.76.235,2,0,20060417210307,20060417210337,unknown
40,AHZ,1,0,20040905125413,20040905125413,unknown
41,93.134.245.57,1,0,20110131195744,20110131195744,unknown
42,Jossi2,1,0,20150109200046,20150109200046,unknown
43,131.234.198.3,1,0,20070905061210,20070905061210,unknown
44,Chaddy,1,1,20090913023110,20090913023110,unknown
45,MagicCarl,1,1,20140504094621,20140504094621,unknown
46,217.232.6.116,1,0,20070203111808,20070203111808,unknown
47,84.141.65.190,1,0,20060421143212,20060421143212,unknown
48,138.246.2.49,1,0,20180507101707,20180507101707,unknown
49,Simplicius,1,1,20050711045959,20050711045959,unknown
50,PerfektesChaos,1,0,20160522222237,20160522222237,unknown
51,2A01:598:9982:699:6C91:1613:4CF7:919B,1,0,20180107183640,20180107183640,unknown
52,Srittau,1,1,20040615044540,20040615044540,unknown
53,Tusculum,1,1,20071210153424,20071210153424,unknown
54,79.221.241.25,1,0,20101112001801,20101112001801,unknown
55,Wilske,1,1,20140916095331,20140916095331,unknown
56,Docmo,1,0,20180104082621,20180104082621,unknown
57,87.170.174.151,1,0,20090213125454,20090213125454,unknown
58,Sebbot,1,0,20140324143119,20140324143119,unknown
59,91.33.172.214,1,0,20180103130502,20180103130502,unknown
60,Wertmain,1,1,20081206235856,20081206235856,unknown
61,80.145.57.194,1,0,20060329153701,20060329153701,unknown
62,82.83.5.16,1,0,20081130131559,20081130131559,unknown
63,91.57.105.38,1,0,20120927032630,20120927032630,unknown
64,Darkone,1,1,20041212125738,20041212125738,unknown
65,TheWolf,1,1,20080507134518,20080507134518,unknown
66,Apokalypse,1,1,20110520180245,20110520180245,unknown
67,Scholz Manni 1,1,0,20150219200247,20150219200247,unknown
68,Sebastian Künzel,1,0,20180104201923,20180104201923,unknown
69,Peterlustig,1,0,20040610162213,20040610162213,unknown
70,80.145.72.170,1,0,20071019141945,20071019141945,unknown
71,HotChip,1,0,20091128222946,20091128222946,unknown
72,BeverlyHillsCop,1,0,20140531205937,20140531205937,unknown
73,Logistic Worldwide,1,0,20180103190807,20180103190807,unknown
74,XenonX3,1,1,20131215154317,20131215154317,unknown
75,Gert Lauken,1,1,20180103112543,20180103112543,unknown
76,217.247.255.162,1,0,20060512180235,20060512180235,unknown
