,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,JuTe CLZ,44,11,20081219165842,20190201175734,unknown
1,Cyrus Grisham,39,14,20070223132339,20090319133113,unknown
2,Nemissimo,32,2,20090701082212,20110405211607,unknown
3,J. Patrick Fischer,32,12,20070223142625,20130802205830,unknown
4,Gustav von Aschenbach,24,11,20070227101118,20180911164145,unknown
5,Berlin-Jurist,19,10,20050829093059,20081201134826,unknown
6,TMFS,17,3,20051017120426,20070815085954,unknown
7,Pfanne,17,0,20090710113246,20090803081426,unknown
8,Horst Gräbner,17,12,20120518150624,20180319113237,unknown
9,GLGerman,16,11,20070216163218,20070301064536,unknown
10,Aka,14,14,20061125125531,20181005114554,unknown
11,Verzettelung,13,10,20131222105006,20150630131435,unknown
12,Mowenna,12,1,20070404091613,20080128040048,unknown
13,Bkj~dewiki,12,0,20090804193535,20090923182323,unknown
14,Nicor,11,0,20090418201945,20100122141632,unknown
15,Tohma,11,1,20131216111713,20170217034924,unknown
16,89.48.30.107,11,0,20070227042427,20070227174944,unknown
17,89.48.18.23,10,0,20070301031738,20070301034155,unknown
18,ManfredFX,10,0,20150516155441,20180805190601,unknown
19,Boshomi,9,4,20140424223031,20161119125736,unknown
20,Gabel1960,9,2,20160205155332,20160214192843,unknown
21,Andibrunt,8,3,20100602071242,20131215131534,unknown
22,Polentario,8,5,20080524203623,20081213111716,unknown
23,Natsu Dragoneel,8,6,20160207205915,20171211203058,unknown
24,Falkmart,8,0,20170526152701,20170610133959,unknown
25,DanielDüsentrieb,7,0,20091016000540,20180911184724,unknown
26,Pippo-b,7,3,20131215152607,20131215202502,unknown
27,Peter200,7,7,20050125184132,20080418090227,unknown
28,Rmcharb,7,4,20130923135210,20160214163211,unknown
29,=,7,2,20130802184052,20180226103313,unknown
30,Regi51,6,6,20080623100339,20180414174622,unknown
31,Sir,6,6,20060130153036,20060719102034,unknown
32,Luke081515Bot,6,0,20150615182734,20161124222946,unknown
33,Itti,6,6,20140112164838,20151212123212,unknown
34,Toerbchen,6,1,20040818185148,20061223104651,unknown
35,85.178.146.174,6,0,20060425171324,20060425174515,unknown
36,Schanlin,6,0,20090721223413,20090901201149,unknown
37,Clinky,6,0,20070223181055,20070223185225,unknown
38,LeoDavid,6,5,20100602102825,20110405205241,unknown
39,Zaphiro,6,6,20091127175809,20091127225237,unknown
40,Klingon83,6,4,20090922115845,20101230230431,unknown
41,Wikifreund,5,0,20150612000005,20150927184738,unknown
42,Armin P.,5,3,20081115230741,20151002155750,unknown
43,Phi,5,3,20130723183949,20190201091428,unknown
44,WikiMax,5,2,20080127185640,20140108220757,unknown
45,PsY.cHo,5,5,20070223170429,20100601155709,unknown
46,Neuroca,5,0,20060420094340,20090625124449,unknown
47,Sebs,5,2,20060802224256,20061006091038,unknown
48,Polarlys,5,4,20060517070922,20070415200604,unknown
49,Hubertl,5,4,20080429083753,20090811031738,unknown
50,Icy2008,5,2,20151122141317,20151229145313,unknown
51,131.188.24.42,5,0,20091215125744,20091218010157,unknown
52,Calestyo,5,1,20090619210005,20090701111739,unknown
53,Strombomboli,5,2,20071005115445,20071027122939,unknown
54,Wangen,5,1,20100627085526,20101006185744,unknown
55,Tarantelle,5,1,20090810193703,20091127224916,unknown
56,80.134.89.209,4,0,20080418085756,20080418090138,unknown
57,87.142.252.1,4,0,20110816151414,20110816154034,unknown
58,YourEyesOnly,4,4,20080213082448,20141218161222,unknown
59,Drahreg01,4,2,20070211160849,20100320222731,unknown
60,STBR,4,4,20060420202832,20071010131841,unknown
61,HSV4life,4,4,20180129134629,20180613142922,unknown
62,Le petit prince,4,3,20090814192054,20090831095741,unknown
63,FritzG,4,2,20060423122347,20070221002131,unknown
64,Paddy2674,4,4,20131217044550,20131217052046,unknown
65,Wo st 01,4,4,20100602125325,20100602153103,unknown
66,84.188.223.177,4,0,20070608070331,20070608070742,unknown
67,84.185.216.204,4,0,20070215145246,20070215151344,unknown
68,Bennsenson,4,0,20090731112409,20090801200754,unknown
69,Korre,4,3,20090506184706,20090526193451,unknown
70,Scooter,4,1,20071203230729,20110525074422,unknown
71,77.22.108.194,4,0,20150604090434,20150604090640,unknown
72,84.146.160.182,4,0,20070222132134,20070222132405,unknown
73,Seewolf,4,2,20070608071312,20070709055911,unknown
74,212.95.118.26,4,0,20070216162206,20070216162602,unknown
75,84.143.94.187,4,0,20051102231249,20051103003411,unknown
76,Voyager1500,4,0,20150928114408,20160312105047,unknown
