,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Phi,20,6,20080521134637,20181105172937,unknown
1,Marathonstorch,19,7,20100307183428,20100330182049,unknown
2,84.132.240.79,12,0,20060120075445,20060120080601,unknown
3,Lektor w,8,4,20150102092506,20150102104743,unknown
4,92.252.122.142,5,0,20100311163801,20100311164022,unknown
5,Mussklprozz,5,2,20050920165125,20160523120806,unknown
6,RoBri,4,3,20170302174131,20181129204914,unknown
7,Aka,4,4,20050525091311,20131016174640,unknown
8,Inkowik,4,3,20100311163934,20110922162001,unknown
9,Ignazwrobel,4,1,20080806121309,20080920155213,unknown
10,131.220.201.36,4,0,20071107132344,20071107134225,unknown
11,80.136.239.37,4,0,20060421074154,20060421074453,unknown
12,Luckas-bot,4,4,20100528164917,20110524211139,unknown
13,Zwobot,4,4,20040306082625,20080110235539,unknown
14,Xqbot,4,4,20091028002923,20120909193133,unknown
15,84.149.208.50,4,0,20070625102843,20070625103617,unknown
16,93.196.47.115,4,0,20090724080254,20090724082632,unknown
17,217.84.231.177,4,0,20120704132738,20120704132934,unknown
18,84.158.201.85,3,0,20060225150827,20060225151011,unknown
19,Jochen Jahnke,3,3,20120430165246,20120430170135,unknown
20,FlaBot,3,3,20050413022723,20060608053250,unknown
21,Rosa Lux,3,0,20041204220352,20041217154802,unknown
22,Chricho,3,0,20120915142029,20150225190810,unknown
23,SieBot,3,3,20070503212814,20080228231046,unknown
24,84.132.247.134,3,0,20061212084156,20061212085340,unknown
25,Regi51,3,3,20121104111450,20170914103632,unknown
26,GNosis,3,3,20060120095215,20060501180922,unknown
27,O.Koslowski,3,3,20111028125539,20111029130940,unknown
28,Andy king50,3,0,20051211203407,20120909153736,unknown
29,BKSlink,2,2,20091219190452,20100112140231,unknown
30,84.141.91.196,2,0,20080628104210,20080628104252,unknown
31,83.135.92.67,2,0,20091101131456,20091101131608,unknown
32,Ben-Zin,2,1,20021025174609,20021025174701,unknown
33,Florian.Keßler,2,1,20050113223033,20061217095416,unknown
34,Summergirl,2,0,20090319100950,20090319102107,unknown
35,Spuk968,2,2,20100112140648,20110509190932,unknown
