,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Reti,34,5,20101211223509,20110123090248,unknown
1,212.118.216.43,21,0,20131001145428,20151007170923,unknown
2,62.204.165.222,21,0,20160916174359,20180219170948,unknown
3,Luckas-bot,14,14,20100418125713,20111217044833,unknown
4,EH⁴²,11,3,20141018100754,20160327092312,unknown
5,Casra,11,4,20100413200735,20110102172450,unknown
6,Niedergrund,9,3,20150707200201,20150923081730,unknown
7,Über-Blick,9,0,20121003021526,20170703223757,unknown
8,Pappenheim,8,4,20161102232731,20190115181212,unknown
9,Flavia67,8,3,20120601090203,20120602172959,unknown
10,Benqo,8,1,20150907190809,20160327001115,unknown
11,Aka,7,7,20110425184921,20190119205450,unknown
12,Schilderwaldmeister,7,2,20181227181327,20190307120805,unknown
13,Tuta,6,0,20120208103224,20120413234305,unknown
14,Horst Gräbner,6,3,20141107084757,20161030075056,unknown
15,Neun-x,5,1,20120124132222,20161025201141,unknown
16,Hs-berlin,5,0,20150226192943,20151020102425,unknown
17,Stargarten,5,1,20110812142004,20111018093334,unknown
18,Colomen,5,3,20111019202052,20120103211654,unknown
19,3mnaPashkan,5,0,20130416224256,20161227012508,unknown
20,Dr. Manuel,5,3,20110423201627,20110423203821,unknown
21,Xqbot,4,4,20090416102012,20130202205015,unknown
22,RoBri,4,3,20151122123428,20190218173331,unknown
23,Sargoth,4,2,20100412132835,20100412214848,unknown
24,Hanshedrich,4,0,20100412080149,20100412101519,unknown
25,Luke081515Bot,4,0,20151221164425,20161124224631,unknown
26,PDW413,4,0,20120711062739,20120711133629,unknown
27,93.222.189.157,4,0,20101222145602,20101222145955,unknown
28,Toter Alter Mann,4,4,20100929224249,20101220092249,unknown
29,Malatinszky,4,0,20140510210854,20140510213109,unknown
30,Jumbofrei,4,1,20141018122423,20141018135503,unknown
31,Schaufi,4,1,20051020070938,20080115080754,unknown
32,Berichtbestatter,4,1,20160326234745,20160614162459,unknown
33,Verita,4,2,20101222233959,20120104170259,unknown
34,82.150.32.97,4,0,20140130121557,20140130122236,unknown
35,Ngowatchtransparent,3,2,20110106225400,20110106225519,unknown
36,81.182.24.34,3,0,20041126213019,20041126215206,unknown
37,Goesseln,3,0,20120306004639,20160810203347,unknown
38,Feinschreiber,3,1,20041128122754,20060921091743,unknown
39,Zbrnajsem,3,0,20120225093145,20120225174618,unknown
40,TXiKiBoT,3,3,20090131000353,20101114001456,unknown
41,Toxilly,3,3,20120103141049,20120103142152,unknown
42,195.228.142.199,3,0,20100729082709,20150923081215,unknown
43,Geof,3,0,20060425100028,20060425124540,unknown
44,Helium4,3,0,20170627045310,20170627053513,unknown
45,Karl Gruber,3,3,20120812205718,20121004122559,unknown
46,Pfieffer Latsch,3,2,20110419102621,20150103080645,unknown
47,GVogeler,3,0,20110101125213,20110101125903,unknown
48,Hello world,3,1,20150102214345,20150923120959,unknown
49,188.157.151.203,3,0,20101219152906,20101219164739,unknown
50,SüsüASárkány,3,0,20130610170839,20140203165620,unknown
51,89.186.144.26,2,0,20160614161652,20160614161833,unknown
52,Biha,2,2,20120704140014,20120704140725,unknown
53,188.99.168.128,2,0,20130520174200,20130520174514,unknown
54,YurikBot,2,2,20060618085202,20060619115809,unknown
55,Harry8,2,1,20150923081032,20150923081134,unknown
56,GT1976,2,0,20090908054837,20121020034504,unknown
57,Factumquintus,2,0,20051105180429,20051105181802,unknown
58,ArthurBot,2,2,20081214085303,20090621021105,unknown
59,Altsprachenfreund,2,1,20170720144856,20180122000959,unknown
60,Lyriost,2,2,20101223103205,20101223103327,unknown
61,Icha67,2,0,20101219213314,20110105024841,unknown
62,Maximilian Schönherr,2,1,20121011152124,20121011152314,unknown
63,2A02:810D:2240:1144:11A1:BEB4:79D1:ABF1,2,0,20151030211205,20151030211415,unknown
64,Kiwiduck,2,2,20060921075316,20060921075337,unknown
65,Nick.mon,2,0,20180410071853,20180410071910,unknown
66,The SBC Guy,2,0,20160627154012,20160627154041,unknown
67,Adriaurlauber,2,0,20140319024619,20140319024844,unknown
68,Clemens Stockner,2,2,20170520132631,20180415125838,unknown
69,Grindinger,2,1,20101222133523,20130326205812,unknown
70,84.0.158.194,2,0,20181219122913,20181219123128,unknown
71,Taadma,2,1,20100412141112,20100412145602,unknown
72,88.117.108.37,2,0,20151020134546,20151020134705,unknown
73,CommonsDelinker,2,1,20100912154550,20171108205741,unknown
74,80.137.120.48,2,0,20120503103526,20120503103623,unknown
75,Itti,2,2,20130520174223,20160912182839,unknown
76,85.67.149.130,2,0,20190209085126,20190218172115,unknown
77,Montevarchi,2,0,20170815154752,20170817080024,unknown
78,AlphaCentauri,2,2,20050226210202,20051221180343,unknown
79,Regi51,2,2,20170411210958,20171001110257,unknown
80,Mupa280868,2,2,20181218162540,20181219153347,unknown
81,178.3.22.17,2,0,20121027160241,20121027160255,unknown
82,217.82.160.55,2,0,20141122232852,20141122234030,unknown
83,Schnabeltassentier,2,1,20150924162013,20160614161755,unknown
84,Daiichi,2,0,20100411224309,20100616220953,unknown
85,Iwesb,2,2,20150915025333,20150929031631,unknown
86,Tankwart,2,0,20090531001934,20090531002031,unknown
87,Egonist,2,0,20160805192712,20160806045630,unknown
88,80.99.1.10,2,0,20100529110154,20100529110225,unknown
89,Christian Sakowski,2,0,20120130213830,20120130213855,unknown
90,Pelz,2,2,20130312232719,20150326225704,unknown
91,Holmium,2,2,20181219122928,20181219123148,unknown
92,217.85.202.102,2,0,20120103101339,20120103101652,unknown
93,Wiki-wuki,2,0,20170408152554,20170408152804,unknown
94,Sziklai,2,0,20101217105040,20101217110713,unknown
95,Boshomi,2,2,20161106212430,20161121233117,unknown
96,90.178.250.166,2,0,20181004021459,20181004021527,unknown
97,Pixelfire,2,0,20110812145233,20110812145250,unknown
98,BuschBohne,2,2,20130520174535,20161024003027,unknown
99,88.217.225.121,2,0,20141110203317,20141112172554,unknown
100,Sersou,2,0,20100610203254,20100610204055,unknown
101,AndreasPraefcke,2,2,20090315222356,20090315222423,unknown
102,Cassandro,2,2,20050301123504,20050321220644,unknown
103,DeepBlueDanube,2,0,20101121234612,20101122014519,unknown
104,Kommerz79,2,0,20180812195737,20180816093442,unknown
105,GrouchoBot,2,2,20081109190159,20090310111642,unknown
106,NatigKrolik,2,0,20181004021740,20181004021810,unknown
107,109.43.3.109,2,0,20161003141946,20161003142139,unknown
108,Otto von Falke,1,1,20150914104337,20150914104337,unknown
109,Hgzh,1,1,20170922112231,20170922112231,unknown
110,93.211.211.155,1,0,20190115055259,20190115055259,unknown
111,Frauke32,1,1,20120105154434,20120105154434,unknown
112,MorbZ-Bot,1,1,20130305000423,20130305000423,unknown
113,RonMeier,1,1,20140309141020,20140309141020,unknown
114,J. 'mach' wust,1,1,20050513195150,20050513195150,unknown
115,85.178.218.207,1,0,20080516164804,20080516164804,unknown
116,Galliard Johnson,1,0,20160314083754,20160314083754,unknown
117,Dsmurat,1,0,20100412214005,20100412214005,unknown
118,Innobello,1,1,20170515085824,20170515085824,unknown
119,89.0.140.106,1,0,20101222133414,20101222133414,unknown
120,Dandelo,1,1,20181218194221,20181218194221,unknown
121,Hephaion,1,1,20111213133956,20111213133956,unknown
122,Je regrette,1,1,20121227183539,20121227183539,unknown
123,Turan MUC,1,1,20131226185209,20131226185209,unknown
124,79.213.181.170,1,0,20150707191253,20150707191253,unknown
125,K.J.Bot~dewiki,1,1,20070226171205,20070226171205,unknown
126,He3nry,1,1,20170228150913,20170228150913,unknown
127,77.7.102.165,1,0,20101125063529,20101125063529,unknown
128,InternetArchiveBot,1,0,20181201152004,20181201152004,unknown
129,91.65.98.222,1,0,20111024092307,20111024092307,unknown
130,31.46.64.125,1,0,20130723180931,20130723180931,unknown
