,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Leif Czerny,27,4,20140115091912,20171123102955,unknown
1,SamWinchester000,25,0,20140216172530,20180315072731,unknown
2,Ziko,23,1,20071017222340,20181114170236,unknown
3,.Manu.,15,7,20040913145132,20121226093424,unknown
4,EBB,14,12,20031020135559,20110519144021,unknown
5,Benatrevqre,9,0,20140316205306,20160830190543,unknown
6,Sir James,9,6,20071207221444,20150201070407,unknown
7,80.108.19.63,8,0,20040302210127,20040303010723,unknown
8,195.14.207.79,7,0,20071012051601,20071012054902,unknown
9,FinnlandFreund,6,0,20180401125208,20180401125724,unknown
10,TMFS,6,3,20031104124304,20071113160631,unknown
11,Str1977,6,0,20120819140824,20131228120521,unknown
12,Der Rene,6,0,20091126161545,20100621231357,unknown
13,Geof,5,2,20040117152709,20081002180113,unknown
14,Aka,5,5,20150824203034,20181114190525,unknown
15,Zwobot,5,5,20031218201557,20041011135156,unknown
16,Verzettelung,4,2,20120911170015,20171103192258,unknown
17,Pakeha,4,4,20091028113727,20091028180353,unknown
18,Pfieffer Latsch,4,0,20110510180446,20110517152744,unknown
19,Frogfol,4,0,20120811143942,20171123011039,unknown
20,Patroklos,4,0,20071113175443,20080104191556,unknown
21,Phantom,4,1,20081115105649,20090214162736,unknown
22,84.137.229.116,4,0,20050811161358,20050811164949,unknown
23,Bahnmoeller,4,2,20180314164326,20180314165738,unknown
24,Faber-Castell,4,0,20060930155306,20061127164802,unknown
25,Karl Gruber,3,3,20031025163535,20040612071727,unknown
26,193.154.120.51,3,0,20170414123625,20170414144037,unknown
27,84.153.123.165,3,0,20051017171241,20051017171552,unknown
28,Mogelzahn,3,3,20050429054906,20060609132840,unknown
29,FreeOsFan~dewiki,3,1,20060707105325,20060707105631,unknown
30,Groupsixty,3,2,20160609161428,20180525073635,unknown
31,Alexander Fischer,3,2,20041214063338,20051017201954,unknown
32,Gugganij,3,0,20040706145706,20040706150430,unknown
33,Willicher,3,2,20070426150242,20071113214037,unknown
34,188.111.43.138,3,0,20110422232408,20110422232553,unknown
35,Qualiabavariae,3,0,20120608192637,20120811144442,unknown
36,Kh80,3,3,20050703000036,20111130050529,unknown
37,84.164.198.183,3,0,20071113112339,20071113131809,unknown
38,Siekermann,3,3,20110514070737,20110514071018,unknown
39,Klios,3,0,20080316194141,20110518115752,unknown
40,Tuco Il Brutto,2,1,20131217143444,20131217143607,unknown
41,Wetterwolke,2,2,20150226230413,20150228123525,unknown
42,80.133.135.198,2,0,20060514150931,20060514151823,unknown
43,109.151.1.67,2,0,20111026202630,20111027104828,unknown
44,SFfmL,2,0,20130208164933,20130424101350,unknown
45,84.179.126.155,2,0,20070702090416,20070702090457,unknown
46,Rapober,2,2,20100109093857,20110110191647,unknown
47,Yoda1893,2,0,20071113164133,20110517211925,unknown
48,141.10.60.74,2,0,20091009071408,20091009071452,unknown
49,80.128.46.92,2,0,20110404101735,20110404101901,unknown
50,92.224.222.223,2,0,20131215190005,20131215190629,unknown
51,87.78.23.248,2,0,20090214123729,20090214162327,unknown
52,Itti,2,0,20100315112225,20131218184852,unknown
53,81.16.90.25,2,0,20070524103004,20070524103102,unknown
54,Loggediteur,2,1,20180914222904,20180915074030,unknown
55,Nbv8,2,0,20091213213011,20100108194852,unknown
56,92.79.15.147,2,0,20091028111909,20091028111946,unknown
57,N.Eschenhagen,2,0,20120122213003,20170202211157,unknown
58,Diba,2,2,20081124084340,20111123143552,unknown
59,Cellerius,2,0,20170415163818,20170417164347,unknown
60,217.87.223.115,2,0,20060823045928,20060823050121,unknown
61,Norschweden,2,2,20181124020159,20190309032045,unknown
62,91.38.158.243,2,0,20160122175408,20160122175442,unknown
63,88.70.172.216,2,0,20071113160243,20071113160542,unknown
64,85.178.38.252,2,0,20090927220022,20090927220417,unknown
65,213.61.186.2,2,0,20110404084523,20110404084824,unknown
66,188.96.65.96,2,0,20121021043938,20121021044203,unknown
67,Regi51,2,2,20131220143751,20160719090223,unknown
68,Florian Schneider,2,2,20180314125207,20180314125629,unknown
69,SchirmerPower,2,0,20150201000652,20150201123940,unknown
