,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Zaphiro,32,32,20100525092619,20100910185859,unknown
1,TMFS,23,3,20050307165152,20080819080915,unknown
2,Olaf Kosinsky,22,1,20100831120915,20180120200309,unknown
3,Karsten11,15,4,20060622134850,20170626142813,unknown
4,Steschke,14,3,20060510223225,20130326173247,unknown
5,Hardenacke,13,12,20081006133340,20170917145822,unknown
6,Aka,10,10,20060609190228,20190122153634,unknown
7,Emha,10,8,20090211155429,20180618155209,unknown
8,Lofor,9,8,20060528122625,20100830122534,unknown
9,89.204.153.120,9,0,20131124133712,20131124142341,unknown
10,PMHannes,8,0,20070403132815,20070404001430,unknown
11,Kirkmueller,8,1,20100506200954,20180116090140,unknown
12,Neun-x,8,4,20100525105359,20140419062257,unknown
13,Aschmidt,8,2,20100904194954,20130919215702,unknown
14,Bhuck,7,0,20060612082358,20060612113708,unknown
15,Anti.,6,2,20130205141329,20130915112851,unknown
16,Nassauer27,6,3,20170918204631,20190112150838,unknown
17,Mathias Schindler,5,5,20040401214958,20060511070453,unknown
18,FalkB,5,1,20061114110645,20070203011627,unknown
19,Lettres,5,1,20180211181431,20180226000215,unknown
20,Tohma,5,1,20101212103330,20171103193319,unknown
21,89.204.138.89,4,0,20131123111120,20131123112208,unknown
22,Felix König,4,2,20110806130842,20131111170937,unknown
23,EBB,4,2,20100831121615,20100831121719,unknown
24,Mogelzahn,4,1,20100904194436,20110126145125,unknown
25,Pfieffer Latsch,4,2,20110522094951,20170627141831,unknown
26,Gettier2,4,1,20150125232008,20150126000943,unknown
27,Toerbchen,4,1,20060812151438,20130403115416,unknown
28,Rapober,3,3,20090205154204,20101120094922,unknown
29,217.230.92.72,3,0,20100901090354,20100901090859,unknown
30,84.58.248.226,3,0,20060509162800,20060509210004,unknown
31,Magtec,3,1,20090211145930,20090211185144,unknown
32,Horst Gräbner,3,3,20150703212516,20181107174626,unknown
33,84.174.110.71,3,0,20051207130831,20051207151206,unknown
34,Alexander.kurz,3,1,20130613234549,20151113085023,unknown
35,Zicko73,3,0,20120626202037,20120626202742,unknown
36,Yoda1893,3,1,20140118191919,20140118200527,unknown
37,Martin Kraft,3,0,20130228224217,20160206234410,unknown
38,Giftmischer,3,3,20120910072327,20160610090932,unknown
39,84.174.96.61,3,0,20051206180743,20051206180940,unknown
40,FredericII,2,2,20080114042103,20080901174653,unknown
41,Xocolatl,2,2,20100526102041,20151230175544,unknown
42,178.114.52.76,2,0,20100525094746,20100525095332,unknown
43,Benatrevqre,2,0,20100831153950,20100831154302,unknown
44,Zollernalb,2,2,20120119100154,20120119100240,unknown
45,84.169.25.145,2,0,20050807114105,20050807114145,unknown
46,Woertche.Leo,2,0,20100612140121,20100612140357,unknown
47,InternetArchiveBot,2,0,20180325170316,20180827125545,unknown
48,Exception Handler,2,1,20100525210950,20100525211341,unknown
49,Regi51,2,2,20140303121819,20140827191021,unknown
50,Jesi,2,0,20100414114642,20181214114841,unknown
51,DerSalamander,2,1,20100831220655,20100831230702,unknown
52,79.233.51.191,2,0,20140104122603,20140104122801,unknown
53,93.104.186.153,2,0,20130922161407,20130922161500,unknown
54,2003:51:4E22:5801:793D:4FEC:9A50:26C0,2,0,20130225133748,20130225133817,unknown
55,Mastad,2,2,20040401222935,20041223165259,unknown
56,84.135.159.236,2,0,20151108145604,20151108150248,unknown
57,Toter Alter Mann,2,2,20100310142248,20100310142315,unknown
58,Kalorie,2,2,20100831154111,20100902222330,unknown
59,House1630,2,0,20131123215828,20131123220430,unknown
60,84.140.201.224,2,0,20110318074213,20110318074248,unknown
61,Pelz,2,1,20070708221539,20120109202153,unknown
62,Don-kun,2,2,20100525220537,20100612163823,unknown
63,Siehe-auch-Löscher,2,0,20130212072754,20130603200442,unknown
64,Viet2001,2,0,20170612195457,20171103183051,unknown
65,EvaK,2,2,20060703144410,20060703144527,unknown
66,Fossa,2,1,20100202131121,20110111160440,unknown
67,Luke081515Bot,2,0,20150615183004,20161119132310,unknown
68,LeoDavid,2,0,20130603195011,20130603200004,unknown
69,Khatschaturjan,2,0,20180927194303,20180927195656,unknown
70,Kiker99,2,1,20040402123216,20040402123245,unknown
71,Seewolf,2,2,20070403172510,20100901090954,unknown
72,Sargoth,2,1,20100831170011,20100831170039,unknown
73,HaeB,2,1,20051207131308,20051207151306,unknown
74,Udh,2,2,20100831094754,20100831212427,unknown
75,Howwi,2,2,20110318074222,20110318074327,unknown
76,217.236.191.144,2,0,20050101003255,20050101003428,unknown
77,SeL,2,2,20071013115929,20071013120331,unknown
78,Slökmann,2,2,20070302154943,20070925221001,unknown
79,Phd,2,0,20100831122455,20100831122620,unknown
80,Luckas-bot,2,2,20100728090857,20100831140608,unknown
81,KastusK,2,0,20130609093716,20130612140752,unknown
82,Boshomi,2,1,20141019112436,20150615200326,unknown
83,84.174.190.187,2,0,20060109170742,20060109171056,unknown
84,Wikifreund,2,0,20120404195729,20120825220053,unknown
85,Färber,2,0,20150830195855,20151015172611,unknown
86,Leparisien,2,0,20100131175112,20100131175402,unknown
87,Mattes,1,0,20170118194711,20170118194711,unknown
88,134.155.136.48,1,0,20060510222628,20060510222628,unknown
89,87.178.3.27,1,0,20190118163744,20190118163744,unknown
90,Bembo,1,0,20100710125032,20100710125032,unknown
91,87.157.199.68,1,0,20110324200259,20110324200259,unknown
92,87.181.20.183,1,0,20130331023949,20130331023949,unknown
93,92.226.189.53,1,0,20141216162803,20141216162803,unknown
94,Magadan,1,0,20050118003953,20050118003953,unknown
95,84.173.119.123,1,0,20060405172319,20060405172319,unknown
96,Nixnubix,1,0,20180629163656,20180629163656,unknown
97,89.204.137.140,1,0,20110106111231,20110106111231,unknown
98,Exoport,1,1,20130212093855,20130212093855,unknown
99,188.174.77.58,1,0,20140303181849,20140303181849,unknown
100,2A02:908:F841:8C80:8CB:F828:1C8E:DBA,1,0,20160219145733,20160219145733,unknown
101,84.58.203.190,1,0,20051222234240,20051222234240,unknown
102,2A02:8109:A740:32F0:DD9E:D367:B694:A087,1,0,20171223095016,20171223095016,unknown
103,08-15,1,1,20070324101426,20070324101426,unknown
104,Pwagenblast,1,1,20121009220426,20121009220426,unknown
105,ManfredFX,1,0,20140118193100,20140118193100,unknown
106,LittleFellow,1,0,20151106171632,20151106171632,unknown
107,46.243.86.5,1,0,20170626134733,20170626134733,unknown
108,Kandschwar,1,1,20061023160128,20061023160128,unknown
109,HAL Neuntausend,1,0,20100224214715,20100224214715,unknown
110,88.156.227.17,1,0,20150703211002,20150703211002,unknown
111,Deprifry,1,0,20051206182654,20051206182654,unknown
112,Mazbln,1,0,20170305192033,20170305192033,unknown
113,Mcrass,1,1,20190122064534,20190122064534,unknown
114,Xqbot,1,1,20090718220402,20090718220402,unknown
115,Holder,1,1,20100830091927,20100830091927,unknown
116,91.64.83.10,1,0,20110331083006,20110331083006,unknown
117,81.68.95.83,1,0,20130610110611,20130610110611,unknown
118,Centenier,1,1,20150118150410,20150118150410,unknown
119,Wivoelke,1,1,20160710152532,20160710152532,unknown
120,Dmicha,1,1,20181029123203,20181029123203,unknown
121,Aktionsbot,1,1,20080908112858,20080908112858,unknown
122,Dieter17,1,1,20110315193546,20110315193546,unknown
123,FA2010,1,0,20130314201651,20130314201651,unknown
124,N.Eschenhagen,1,1,20141103044126,20141103044126,unknown
125,Srbauer,1,0,20041218135650,20041218135650,unknown
126,Laudrin,1,1,20060109171141,20060109171141,unknown
127,RobotQuistnix,1,1,20070609120949,20070609120949,unknown
128,Kuebi,1,0,20100923185259,20100923185259,unknown
129,79.238.171.215,1,0,20151230175526,20151230175526,unknown
130,PVB,1,0,20061231202022,20061231202022,unknown
131,77.6.219.0,1,0,20120626135427,20120626135427,unknown
132,Uwe Gille,1,1,20150914160708,20150914160708,unknown
133,Timbeil,1,0,20051216161728,20051216161728,unknown
134,94.216.228.180,1,0,20170508112451,20170508112451,unknown
135,2003:DD:1741:FA86:109A:F1C:3CE7:4090,1,0,20190224211506,20190224211506,unknown
136,MystBot,1,1,20100201220150,20100201220150,unknown
137,Venni,1,1,20100831121350,20100831121350,unknown
138,Gustav von Aschenbach,1,1,20150331211306,20150331211306,unknown
139,213.6.35.80,1,0,20050922170837,20050922170837,unknown
140,Ptolusque,1,1,20170201172513,20170201172513,unknown
141,Jan Bruckbauer1,1,0,20190119143144,20190119143144,unknown
142,Ktesias,1,0,20100720095851,20100720095851,unknown
143,193.29.76.37,1,0,20110329080445,20110329080445,unknown
144,Neurus,1,0,20130527182950,20130527182950,unknown
145,HeinzWörth,1,1,20141226150430,20141226150430,unknown
146,Int13jb4,1,1,20160430154545,20160430154545,unknown
