,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,TMFS,39,11,20050712143753,20080514221010,unknown
1,Occulos,27,0,20070804102438,20070904153636,unknown
2,Nemissimo,21,0,20111211131651,20111211163131,unknown
3,Donautalbahner,19,4,20060917105633,20090104103011,unknown
4,Bhuck,18,0,20050829060054,20050902101931,unknown
5,Civilpaper,15,0,20101225082529,20101226093357,unknown
6,Jägerlatein,13,5,20101006140719,20110406140513,unknown
7,Zollernalb,12,12,20100505214152,20141126162931,unknown
8,Omikroergosum,12,1,20180423134204,20180523182852,unknown
9,Cducsu,11,4,20060830191940,20140228084055,unknown
10,Wangen,11,2,20061214171218,20110926185318,unknown
11,Stefan64,10,5,20080520130806,20120924074803,unknown
12,Aka,9,9,20100901203131,20180525213347,unknown
13,Huberbe,9,1,20140604182706,20170928131529,unknown
14,Olaf Kosinsky,7,3,20150208230322,20171228140948,unknown
15,92.106.2.58,6,0,20120522023023,20120529153348,unknown
16,Fehlerteufel,6,6,20080827080424,20080827113742,unknown
17,In dubio pro dubio,6,5,20180928205942,20180928212746,unknown
18,Schmelzle,6,6,20070601082900,20070601135058,unknown
19,Striegistalzwerg,5,0,20110624124817,20110629094142,unknown
20,Qaswed,5,0,20130512145809,20160120205215,unknown
21,TheK,5,1,20070704181439,20070818110756,unknown
22,Miltrak,5,0,20110925073106,20151211104755,unknown
23,EH⁴²,5,3,20130917141802,20140228091058,unknown
24,Websterdotcom,5,4,20120516165757,20120516170618,unknown
25,Taube Nuss,4,0,20041222104314,20041222130152,unknown
26,Vinci,4,4,20041222162753,20041223010940,unknown
27,93.104.160.9,4,0,20130724101318,20130724101623,unknown
28,Pischdi,4,3,20041027182004,20110627181920,unknown
29,Aljoscha,4,1,20050829212515,20050905120703,unknown
30,Tönjes,4,4,20070809165417,20070818120818,unknown
31,Crisule,4,0,20090929193829,20131022191533,unknown
32,Martin Rasmussen,4,2,20041225181837,20050126111156,unknown
33,Altsprachenfreund,4,1,20160302181924,20181005130706,unknown
34,Pitchyears,4,0,20101227183555,20101228085637,unknown
35,Alnilam,4,4,20130724092947,20130724101636,unknown
36,188.174.177.56,4,0,20130724074112,20130724080926,unknown
37,Sommerkom,4,0,20070904144548,20080407110139,unknown
38,Seewolf,4,4,20060813145911,20180925145256,unknown
39,Hardenacke,4,4,20081016105102,20081016105308,unknown
40,Giftmischer,4,4,20101018141414,20120612153033,unknown
41,Neun-x,3,0,20110528150805,20121129004210,unknown
42,Law-and-order,3,0,20070406110514,20070506192213,unknown
43,Adleraugenblick,3,1,20100930133348,20100930141838,unknown
44,Levellevel~dewiki,3,0,20111214202043,20111214202635,unknown
45,Indeedous,3,0,20130505210118,20130921202848,unknown
46,Horst Gräbner,3,3,20120923135038,20140315145923,unknown
47,Freseniust,3,0,20080331142456,20080407104356,unknown
48,Bwbuz,3,0,20150819121804,20150819123411,unknown
49,Hozro,3,3,20101228093044,20120419072409,unknown
50,Sprachpfleger,3,1,20171126125733,20180925163613,unknown
51,Klios,3,0,20150810193202,20160126181027,unknown
52,Astrofreund,3,2,20140207130437,20140316102240,unknown
53,HeBB,3,1,20131125211301,20131125211517,unknown
54,Luke081515Bot,3,0,20161116222924,20161211213525,unknown
55,Werner von Basil,3,1,20180424051844,20180927113722,unknown
56,Buchbibliothek,3,2,20151101183516,20180925153446,unknown
57,62.153.131.82,3,0,20100118140522,20100118150310,unknown
58,Trockennasenaffe,3,3,20120329070059,20120329070708,unknown
59,ChristianErtl,3,3,20050829184102,20050829184423,unknown
60,HaeB,3,1,20050501064508,20050813162150,unknown
61,Badener01,3,2,20070601123848,20070904152252,unknown
62,Politics,2,0,20080520231751,20090929211451,unknown
63,Religionssoziologe,2,1,20100901082258,20101231161411,unknown
64,2003:DC:BD6:4E00:CC5:5052:DDA8:6900,2,0,20180926150613,20180926150910,unknown
65,Luther Sloan,2,0,20130724074216,20130724074417,unknown
66,84.175.127.95,2,0,20051016133938,20051016135419,unknown
67,Longinus Müller,2,2,20140927233423,20170124210035,unknown
68,88.64.139.73,2,0,20080309185411,20080309190053,unknown
69,PPosthorn,2,0,20110316195251,20110316202016,unknown
70,82.83.132.250,2,0,20050828212313,20050828212453,unknown
71,TSGfan,2,0,20170423104050,20170423104130,unknown
72,84.70.74.7,2,0,20070506171658,20070506172224,unknown
73,ReplicationWiki-fan,2,2,20180423220521,20180423220646,unknown
74,Ms Anna Nass,2,1,20120910155331,20120910155355,unknown
75,193.17.243.3,2,0,20051214092015,20051214092210,unknown
76,87.148.231.59,2,0,20110412121539,20110412121632,unknown
77,LGBW,2,0,20170711065516,20170928093248,unknown
78,Docmo,2,0,20140604093052,20140604093124,unknown
79,Kleiner Stampfi,2,1,20170307203728,20170307203820,unknown
80,Kurpälzer,2,0,20180830060947,20180830061117,unknown
81,Herr Bau Ing.,2,0,20180522192005,20180522211422,unknown
82,188.174.105.232,2,0,20130724092916,20130724093109,unknown
83,StuFi,2,1,20141126140900,20141126140928,unknown
84,LukasPodor,2,0,20100203143715,20100203172704,unknown
85,Lettres,2,0,20180925162558,20180925163338,unknown
86,2003:D8:E3D1:2C88:8D9D:9403:19EF:D6C6,2,0,20180423222944,20180423223842,unknown
87,Chianti,2,0,20101003222622,20110112125624,unknown
88,Itti,2,2,20130724101812,20140222140838,unknown
89,217.80.84.160,2,0,20060120183140,20060120184136,unknown
90,84.57.173.35,2,0,20080520125717,20080520132958,unknown
91,Pölkkyposkisolisti,2,1,20140911171158,20150720064737,unknown
92,VC10,2,2,20180831181313,20180907094459,unknown
93,217.84.133.120,2,0,20060813145533,20060813163952,unknown
94,2003:5B:E635:3A14:EDAE:D62D:C3A1:8C9C,2,0,20160812184558,20160812184620,unknown
95,Ma-Lik,2,0,20080610105314,20080626151042,unknown
96,Wusselpowa,2,2,20180324203016,20180324221040,unknown
97,Sechzigideen,2,0,20120823203007,20120823203053,unknown
98,85.75.244.58,2,0,20051022205718,20051022205744,unknown
99,Kladson,2,1,20100225124008,20100225125525,unknown
100,Ralf Roletschek,2,0,20130614114545,20170711123911,unknown
101,SH~dewiki,2,0,20050829155109,20060220215217,unknown
102,Janjonas,2,2,20150603171757,20180926114307,unknown
103,195.88.117.25,2,0,20160725050941,20160725051042,unknown
104,Krdbot,2,1,20110704191602,20140207130357,unknown
105,DerHexer,2,1,20140922191035,20150820190724,unknown
