,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Anglo-Araneophilus,980,270,20140829080929,20180726173118,unknown
1,Lean Anael,71,2,20180315081036,20181025001353,unknown
2,Alexpl,41,14,20170103193456,20190205094700,unknown
3,Koenraad,29,10,20121202034859,20181228174050,unknown
4,Ceroles,28,7,20150629001221,20180320194043,unknown
5,TheoDor12,18,1,20121201180331,20140112030347,unknown
6,Schilderwaldmeister,15,7,20180726194852,20180804131515,unknown
7,Thylacin,15,1,20130414213630,20160509153754,unknown
8,CommonsDelinker,13,0,20160515003244,20170201164928,unknown
9,MitigationMeasure,11,11,20140911094851,20141020151921,unknown
10,Moplayer,9,1,20150106004623,20181120124916,unknown
11,Tiroinmundam,8,8,20140919131312,20150320081624,unknown
12,Elvis214,8,0,20130528230347,20150122194833,unknown
13,JamesP,8,8,20141202095435,20161123134944,unknown
14,93.217.54.200,8,0,20131013112038,20131013120027,unknown
15,Girus,8,8,20170612051500,20171125065912,unknown
16,Partisan1917,7,5,20150310132959,20160315112418,unknown
17,Drüfft,7,7,20170304181557,20180405173853,unknown
18,Asenger,6,1,20150104021232,20151203230545,unknown
19,He3nry,6,3,20170727104344,20180315112251,unknown
20,Luke081515Bot,6,0,20161117235245,20161213221928,unknown
21,Mkalten,6,0,20170430105239,20170501121747,unknown
22,Aka,6,6,20150220123822,20180803080539,unknown
23,W. Edlmeier,6,1,20180725164514,20180808083108,unknown
24,Dateientlinkerbot,5,0,20140915181227,20150118180317,unknown
25,Invisigoth67,4,4,20170322171302,20181022190633,unknown
26,91.33.219.203,4,0,20130321191357,20130321191720,unknown
27,Horst Gräbner,3,2,20160505075121,20171117133806,unknown
28,KastusK,3,0,20160828120453,20161021210605,unknown
29,79.238.223.127,3,0,20130803123717,20130803124046,unknown
30,88.153.6.58,3,0,20150705164207,20150705164545,unknown
31,Omerzu,3,1,20171108132226,20171109122911,unknown
32,Boshomi,3,1,20151024041157,20161130211441,unknown
33,InternetArchiveBot,3,0,20181130221926,20190309080346,unknown
34,2003:4D:2C7D:5701:C80:742D:B03:B211,3,0,20161207120323,20161207120530,unknown
35,Liaskian,3,2,20150108000752,20150108001453,unknown
36,Silber47,3,1,20160514102557,20160514105654,unknown
37,IrrtNie,3,1,20130723085712,20150628193937,unknown
38,Crazy1880,3,0,20140830173749,20171120062046,unknown
39,Lómelinde,3,2,20150427075630,20151014061026,unknown
40,Regi51,3,3,20160401173112,20181217153133,unknown
41,Lapepinilla,3,3,20140930182746,20141022052639,unknown
42,Sprachpfleger,2,1,20150328173329,20150420172746,unknown
43,2A02:8109:9A40:1778:0:0:0:2,2,0,20170614010215,20170614011053,unknown
44,JB-Firefox,2,1,20180316182318,20180316182759,unknown
45,77.8.99.233,2,0,20140901170801,20140901170916,unknown
46,88.66.35.230,2,0,20160310130911,20160310131436,unknown
47,Mesomorphos,2,0,20150628184758,20150628195530,unknown
48,Dr. Dr. Dr. Dr. Dr. Dr. Dr. Dr.,2,0,20130924113635,20130929152934,unknown
49,Snookerado,2,2,20180806182017,20180806182337,unknown
50,Kaplan46,2,0,20150701004357,20150701131431,unknown
51,Michileo,2,1,20160222081354,20160222081518,unknown
52,Alnilam,2,2,20150623200533,20160307072551,unknown
53,Bigles,2,1,20150601113207,20150615172139,unknown
54,PanchoS,2,0,20151013151729,20151013152545,unknown
55,Tippex3000,2,2,20140921120443,20141014081648,unknown
56,2A1ZA,2,0,20160509104429,20160509112520,unknown
57,HRoestTypo,2,2,20160123003844,20160214020228,unknown
58,Cosal,2,2,20141006022636,20141006022756,unknown
59,Haplochromis,2,1,20160527123016,20161114182421,unknown
60,Bertramz,2,1,20150701043747,20180508152217,unknown
61,Icy2008,2,2,20171121223853,20171122003128,unknown
62,Gerbil,2,0,20150204163419,20150204163521,unknown
63,Loewenmuth,2,0,20151016094923,20151017175532,unknown
64,Hawling,2,0,20170717152109,20180810155523,unknown
65,KureCewlik81,2,2,20121226013602,20151110143821,unknown
66,Hydro,2,2,20140905080946,20150117102422,unknown
67,134.155.36.48,2,0,20151012125000,20160205125644,unknown
68,Jaellee,2,2,20160618202003,20171031180117,unknown
69,2A02:908:E650:B480:0:0:0:3,2,0,20141021154843,20141021155204,unknown
70,Dk1909,2,2,20171122095726,20171125083601,unknown
71,Mef.ellingen,2,1,20180804220310,20180804220445,unknown
72,93.217.13.61,2,0,20130527190000,20130527193159,unknown
73,95.88.59.128,2,0,20140922202241,20140922203950,unknown
74,Giftmischer,2,2,20121229081607,20151201155249,unknown
