,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,TMFS,29,12,20031117170651,20080904194405,unknown
1,Mogelzahn,27,17,20040711083344,20160824162835,unknown
2,GiordanoBruno,20,8,20090316203923,20190102171439,unknown
3,Taube Nuss,11,0,20051129102810,20061214090127,unknown
4,Intimidator,11,1,20080303101543,20110207040704,unknown
5,Ulitz,11,3,20160824183350,20160917215952,unknown
6,195.93.60.68,9,0,20060801125307,20070922192430,unknown
7,Archiv des Liberalismus,9,4,20131225133908,20180817145400,unknown
8,Vsop,8,2,20120308235010,20180731174234,unknown
9,Sir James,8,4,20100602082401,20120316204253,unknown
10,Vanellus,8,3,20141223103831,20160927184042,unknown
11,194.95.177.101,7,0,20051128150443,20070926141622,unknown
12,RoBri,7,1,20160824132000,20171203182227,unknown
13,Luckas-bot,7,7,20100423180422,20120414141655,unknown
14,84.176.84.241,7,0,20050523124507,20050523132652,unknown
15,Pelz,7,4,20111215210521,20160824131402,unknown
16,Anton-Josef,6,6,20080420083931,20110207075920,unknown
17,MAY,6,0,20100112021618,20161215010227,unknown
18,Uwe1959,6,0,20070620192305,20070620193024,unknown
19,Horst Gräbner,6,5,20120827082423,20181109174541,unknown
20,Ngowatchtransparent,6,0,20090221095257,20101113102320,unknown
21,ChrisM,6,6,20060414164521,20060414175408,unknown
22,Olaf Kosinsky,6,2,20160319094554,20180713093741,unknown
23,Janjonas,5,4,20140104104113,20140117223112,unknown
24,Sir,5,3,20060121135355,20100109235412,unknown
25,Neueschwarz,5,0,20110310144512,20110315141922,unknown
26,Roentgenium111,5,1,20090621223156,20120318165345,unknown
27,Triebtäter,5,0,20040523004153,20050501213323,unknown
28,Liborianer,5,0,20120825123856,20121116194322,unknown
29,Carbidfischer,5,5,20050430173042,20050430175453,unknown
30,195.158.139.178,5,0,20050920110808,20050920111752,unknown
31,Miraki,5,4,20101029173846,20160702075829,unknown
32,Deirdre,5,5,20160401134938,20160825123514,unknown
33,Bvo66,5,4,20110910055652,20130126143741,unknown
34,80.140.90.113,5,0,20060614162433,20060614163029,unknown
35,Fossa,4,1,20070302184348,20120219080259,unknown
36,Harmonica,4,4,20050818190237,20060123001752,unknown
37,Rabanusmaurus,4,1,20160825054045,20160825095219,unknown
38,Dmicha,4,4,20130708134911,20140629073108,unknown
39,Lysandros~dewiki,4,0,20070801233322,20070802182213,unknown
40,LKD,4,4,20070411110329,20090421111203,unknown
41,Arnomane,4,1,20050430075313,20050430180755,unknown
42,EBB,4,4,20040523072918,20040611213313,unknown
43,Aristofane di bisanzio,4,0,20101007092639,20101008074442,unknown
44,Pfieffer Latsch,4,1,20110527185142,20121209101538,unknown
45,Jed,4,4,20031207014254,20060204204518,unknown
46,Buchbibliothek,4,3,20131110165555,20151202182921,unknown
47,Waelder,3,2,20040123002955,20040125211041,unknown
48,2003:6F:8841:8D00:458D:5174:693C:3D4B,3,0,20160913093243,20160913093439,unknown
49,GT1976,3,0,20081223082042,20130527051859,unknown
50,Xqbot,3,3,20100321021509,20100807152027,unknown
51,91.19.87.164,3,0,20141111094614,20141111094749,unknown
52,Sargoth,3,3,20070922190528,20110130200325,unknown
53,31.150.234.255,3,0,20181213104642,20181213111349,unknown
54,SDKmac,3,3,20150706095144,20150706100035,unknown
55,Heralder,3,0,20171018012310,20171018012430,unknown
56,-Golgari-,3,2,20160824133356,20160928062016,unknown
57,Radschläger,3,3,20090104140926,20090216195947,unknown
58,194.149.241.3,3,0,20101009205319,20101010214825,unknown
59,Steveblue,3,1,20040425111350,20040425111445,unknown
60,Head,3,2,20031213133107,20041008224115,unknown
61,89.56.88.72,3,0,20081215163019,20081215163449,unknown
62,Ronomu,3,1,20130923180343,20160824163507,unknown
63,Kochel86,3,2,20181206030721,20181229092710,unknown
64,Ulli Purwin,3,1,20080509234317,20080510002918,unknown
65,Regi51,3,3,20120306192630,20180920204243,unknown
66,Wiegels,3,3,20040730105624,20050511115454,unknown
67,CherryX,3,2,20130108122007,20130108122106,unknown
68,Calvin Ballantine,3,0,20051008071630,20060706142055,unknown
69,213.23.4.74,3,0,20060727133327,20060727145809,unknown
70,Cardhu,3,3,20150223154027,20150324105318,unknown
71,Aka,3,3,20060216202238,20180412205724,unknown
72,195.46.44.141,3,0,20060117180822,20060117181104,unknown
73,(nob),3,1,20040305004426,20040305004729,unknown
74,Karsten11,3,2,20070201144104,20121223083000,unknown
75,80.136.79.220,3,0,20050430122907,20050430132236,unknown
76,Sebbot,3,2,20070104020605,20090325005252,unknown
77,95.91.228.32,3,0,20150706095115,20150706100017,unknown
78,91.1.240.172,3,0,20090317092102,20090317092450,unknown
79,Ernst Haiger,3,0,20170319115228,20180218114403,unknown
80,Qualitätssteigerung,3,3,20190102162109,20190103093653,unknown
81,HerrAdams,2,1,20160824133346,20170110113502,unknown
82,LIU,2,1,20110708182117,20140206161124,unknown
83,Hansbaer,2,0,20070820035853,20090523135423,unknown
84,84.63.206.110,2,0,20160217110259,20160217110350,unknown
85,Benatrevqre,2,0,20120305222055,20120305222142,unknown
86,Werner von Basil,2,1,20121222174016,20121228121548,unknown
87,Hans Haase,2,0,20160831094305,20180820155038,unknown
88,Tobias Kirchhof,2,2,20090421111042,20090421142927,unknown
89,GS63,2,0,20150322161906,20160917214614,unknown
90,Scooter,2,2,20071105152957,20090317092120,unknown
91,TjBot,2,2,20120806114439,20121110053515,unknown
92,Clemenceau,2,0,20041116081219,20041116081226,unknown
93,77.176.66.42,2,0,20100617175047,20100617175139,unknown
94,Nicola,2,0,20120319210212,20120320101231,unknown
95,Fliegerhorst,2,0,20090201214206,20090201214237,unknown
96,Björn Bornhöft,2,2,20090917102355,20090917105241,unknown
97,Gceschmidt,2,2,20110601225442,20110601225812,unknown
98,Odin,2,2,20031207160547,20031207160600,unknown
99,Schwittach,2,0,20080307152107,20080307174447,unknown
100,217.76.102.2,2,0,20050830161231,20050830161335,unknown
101,Rotbuch,2,0,20101022072556,20101022072635,unknown
102,84.130.156.156,2,0,20160826115807,20160826115946,unknown
103,87.178.218.17,2,0,20150211140138,20150211140217,unknown
104,62.226.251.174,2,0,20070411110319,20070411110353,unknown
105,MaGe86,2,1,20140628105402,20140628105818,unknown
106,Hahanubis,2,2,20090912181524,20090912181556,unknown
107,Schnabeltassentier,2,2,20160217110312,20160426063508,unknown
108,Gamma9,2,2,20081124123537,20081124130801,unknown
109,Jo-ra-be,2,0,20100124191101,20101008111333,unknown
110,217.80.77.106,2,0,20060223101028,20060223101425,unknown
111,Frauke32,2,2,20111220175849,20120112141543,unknown
112,172.179.130.165,2,0,20041128175400,20041128175959,unknown
113,Wikidienst,2,2,20100617175111,20100617175148,unknown
114,Anathema,2,2,20040921070537,20041204200816,unknown
115,ElTres,2,1,20161117090027,20161117090426,unknown
116,91.97.122.126,2,0,20130126103158,20130126103322,unknown
117,109.42.0.77,2,0,20160824131853,20160824131928,unknown
118,Stahlfresser,2,2,20110310145453,20110315145425,unknown
119,84.130.180.171,2,0,20120126163755,20120126165435,unknown
120,VolkovBot,2,2,20071115092758,20080813144310,unknown
121,Liberalis,2,0,20050801160739,20051015012540,unknown
122,HeicoH,2,2,20150211140148,20150211140221,unknown
123,TaxonKatBot,2,2,20160809145001,20170502141308,unknown
124,Ilsebill,2,1,20071013214851,20150406220006,unknown
125,Boshomi,2,1,20141024222634,20160101170629,unknown
126,Harry8,2,2,20090122193457,20160830111925,unknown
127,84.130.166.120,2,0,20140629062319,20140629083353,unknown
128,Hikarui,2,1,20110527184727,20110527193108,unknown
129,82.75.133.132,2,0,20070129075313,20070129075607,unknown
130,80.129.74.212,2,0,20070802091556,20070802135223,unknown
131,Dentalum,2,2,20180813101450,20181019212748,unknown
132,Slökmann,2,1,20151021225250,20160528095406,unknown
133,2A02:8108:1BF:E088:CD2B:5BEB:759B:21FE,2,0,20160824131353,20160824131448,unknown
134,84.153.240.52,2,0,20080103182503,20080103182555,unknown
135,188.174.27.186,2,0,20100203201709,20100203201733,unknown
136,Iiigel,2,0,20101019001222,20101019002418,unknown
137,Denis Barthel,2,0,20160611173508,20160611173549,unknown
138,KAMiKAZOW,2,2,20060930150317,20060930150541,unknown
139,LaaknorBot,2,2,20090225115915,20090514070243,unknown
140,2A02:8108:30C0:387C:A5BD:AC30:8FED:A66D,2,0,20160318141550,20160318141606,unknown
141,84.57.42.206,2,0,20070819170022,20070819170700,unknown
142,Centenier,2,2,20160824131940,20160824132007,unknown
143,Gersve,2,1,20040717075557,20040821101800,unknown
144,79.224.187.119,2,0,20121222172726,20121222172752,unknown
145,Ephraim33,2,0,20071117135746,20091001151303,unknown
146,Eisbaer44,2,2,20091230054312,20091230054349,unknown
147,Prügelprinz,2,0,20100616194147,20110109110750,unknown
148,141.20.106.110,2,0,20070315141014,20070315141955,unknown
149,Dbleicher,2,1,20181208083219,20181213105018,unknown
150,Nemonand,2,2,20040907075340,20040907092807,unknown
151,Ixitixel,2,2,20050516181451,20050517224112,unknown
152,Neun-x,2,2,20100511121258,20120203105253,unknown
153,ChrisHardy,2,1,20110115205334,20190202204352,unknown
154,84.130.153.68,2,0,20160907111025,20160907124132,unknown
155,InternetArchiveBot,2,0,20180325133937,20180827142150,unknown
156,Billyhill,2,1,20121020150309,20130526004940,unknown
157,83.135.126.102,2,0,20081212161940,20081212162004,unknown
158,91.32.86.110,2,0,20101019185656,20101019221740,unknown
159,84.58.230.168,2,0,20061208163846,20061208164019,unknown
160,84.130.154.9,2,0,20160825122318,20160825155503,unknown
161,PeKron,2,1,20041213143223,20041213143643,unknown
162,217.226.227.193,2,0,20061001083208,20061001083341,unknown
163,Tsor,2,2,20040506142059,20041219194554,unknown
164,Otberg,1,0,20100516091616,20100516091616,unknown
165,Dschungelfan,1,0,20170114150926,20170114150926,unknown
166,Hardcorebambi,1,1,20181011123322,20181011123322,unknown
167,Botteler,1,1,20040823032715,20040823032715,unknown
168,MorbZ-Bot,1,1,20130304195140,20130304195140,unknown
169,W-j-s,1,1,20090113173143,20090113173143,unknown
170,Ckeen,1,1,20050508094827,20050508094827,unknown
171,F-chen,1,0,20140628000112,20140628000112,unknown
172,Zorrobot,1,1,20090827155213,20090827155213,unknown
173,Paddy,1,0,20051104200050,20051104200050,unknown
174,212.202.113.214,1,0,20060509140553,20060509140553,unknown
175,79.231.122.87,1,0,20160824131957,20160824131957,unknown
176,Wahldresdner,1,1,20110510114254,20110510114254,unknown
177,83.135.148.47,1,0,20070127171947,20070127171947,unknown
178,84.130.169.101,1,0,20120224123423,20120224123423,unknown
179,84.146.67.195,1,0,20070726184351,20070726184351,unknown
180,Girus,1,1,20180730085513,20180730085513,unknown
181,Rainer Wasserfuhr,1,0,20030605212630,20030605212630,unknown
182,ThomasPusch,1,0,20080212194304,20080212194304,unknown
183,Motzelot,1,1,20040721212954,20040721212954,unknown
184,Wikix,1,0,20050414180225,20050414180225,unknown
185,Th1979,1,0,20090608143203,20090608143203,unknown
186,Matt314,1,1,20050928201630,20050928201630,unknown
187,Codc,1,1,20151006111502,20151006111502,unknown
188,Tobias Aland,1,1,20101213105259,20101213105259,unknown
189,172.173.214.137,1,0,20061226083635,20061226083635,unknown
190,Malabon,1,1,20120130203512,20120130203512,unknown
191,89.245.9.25,1,0,20070709124405,20070709124405,unknown
192,2003:80:AE22:5BC7:2091:552:EFF8:C0,1,0,20171203181623,20171203181623,unknown
193,Diwas,1,1,20071121093133,20071121093133,unknown
194,RobbyBer,1,1,20040623191420,20040623191420,unknown
195,Adalbertriehl,1,1,20121001194539,20121001194539,unknown
196,79.209.125.41,1,0,20081108124635,20081108124635,unknown
197,Rybak,1,1,20041222145938,20041222145938,unknown
198,89.204.130.213,1,0,20130930173013,20130930173013,unknown
199,83.55.255.157,1,0,20060217190708,20060217190708,unknown
200,2001:A61:10CB:2501:8947:7CBD:6D96:8EA0,1,0,20160824130911,20160824130911,unknown
201,91.32.86.118,1,0,20101008082842,20101008082842,unknown
202,80.134.245.3,1,0,20061127203110,20061127203110,unknown
203,Definitiv,1,1,20111220083558,20111220083558,unknown
204,Der Ultraweise,1,0,20070607031227,20070607031227,unknown
205,Hubu66,1,0,20170612091610,20170612091610,unknown
206,Klaaschwotzer,1,0,20190213155016,20190213155016,unknown
207,Björn Siebke,1,1,20040521204252,20040521204252,unknown
208,80.138.90.161,1,0,20080818112515,20080818112515,unknown
209,Max-78,1,0,20130525102609,20130525102609,unknown
210,Engie,1,1,20090316143414,20090316143414,unknown
211,¡0-8-15!,1,1,20050704085315,20050704085315,unknown
212,Zollernalb,1,1,20091029234534,20091029234534,unknown
213,79.237.93.175,1,0,20160403173806,20160403173806,unknown
214,87.162.202.167,1,0,20060828134929,20060828134929,unknown
215,95.90.208.3,1,0,20160824163004,20160824163004,unknown
216,Taocp,1,0,20110924131458,20110924131458,unknown
217,84.150.255.104,1,0,20070331084828,20070331084828,unknown
218,87.185.129.122,1,0,20170214091523,20170214091523,unknown
219,Rolz-reus,1,0,20040305155431,20040305155431,unknown
220,Gustavf,1,1,20080530150535,20080530150535,unknown
221,Matthäus Wander,1,0,20040907223056,20040907223056,unknown
222,APPER,1,1,20130324171953,20130324171953,unknown
223,172.180.150.226,1,0,20050516211437,20050516211437,unknown
224,Wikiuka,1,0,20140629080059,20140629080059,unknown
225,84.175.150.39,1,0,20051219193103,20051219193103,unknown
226,87.154.66.247,1,0,20160217113818,20160217113818,unknown
227,66.65.150.103,1,0,20060618105153,20060618105153,unknown
228,Carsaig,1,1,20160824132609,20160824132609,unknown
229,87.78.68.185,1,0,20070202110250,20070202110250,unknown
230,92.252.63.230,1,0,20161012152055,20161012152055,unknown
231,217.255.51.191,1,0,20070819132532,20070819132532,unknown
232,2003:E2:B71B:DD99:9CB7:24A3:881:709A,1,0,20180830051315,20180830051315,unknown
233,84.135.163.240,1,0,20120308114821,20120308114821,unknown
234,61.195.18.116,1,0,20040805150221,20040805150221,unknown
235,Walcoford,1,0,20130124094610,20130124094610,unknown
236,78.42.28.213,1,0,20090111153916,20090111153916,unknown
237,Ncnever,1,1,20050430130043,20050430130043,unknown
238,Fu-Lank,1,0,20140318213032,20140318213032,unknown
239,Einzelkämpfer~dewiki,1,0,20090822210932,20090822210932,unknown
240,134.96.65.123,1,0,20051018003838,20051018003838,unknown
241,Cornwells,1,0,20151113001943,20151113001943,unknown
242,217.95.221.40,1,0,20100512141212,20100512141212,unknown
243,Peter200,1,1,20060317153341,20060317153341,unknown
244,Krea.thief,1,0,20160824131814,20160824131814,unknown
245,Tilla,1,1,20070109040237,20070109040237,unknown
246,Bibonius,1,0,20160907144027,20160907144027,unknown
247,46.115.38.143,1,0,20120219144957,20120219144957,unknown
248,Boudewijn~dewiki,1,0,20070723154103,20070723154103,unknown
249,Ｔｏｍ,1,1,20180613103929,20180613103929,unknown
250,DasBee,1,1,20080103234419,20080103234419,unknown
251,TheK,1,0,20040716120507,20040716120507,unknown
252,FideKoeln,1,1,20121210141211,20121210141211,unknown
253,Jörg Zägel,1,0,20081213044421,20081213044421,unknown
254,Friedemann Lindenthal,1,0,20050207233642,20050207233642,unknown
255,95.223.226.68,1,0,20131211174844,20131211174844,unknown
256,StG1990,1,1,20090504080600,20090504080600,unknown
257,93.211.170.199,1,0,20100214180158,20100214180158,unknown
258,80.129.85.8,1,0,20061208193318,20061208193318,unknown
259,194.138.39.56,1,0,20120126162945,20120126162945,unknown
260,Eschweiler,1,0,20071113223428,20071113223428,unknown
261,172.183.237.139,1,0,20040608192222,20040608192222,unknown
