,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Dioskorides,75,9,20180709205536,20190221175100,unknown
1,Sir,65,46,20050314212651,20071122230538,unknown
2,MrsMyer,52,16,20060428125453,20081213163019,unknown
3,Ulenspygel,51,20,20131216090750,20140503100840,unknown
4,Matthias v.d. Elbe,40,12,20131029064445,20131116163929,unknown
5,Phi,31,6,20100109175541,20190221183228,unknown
6,Pittimann,31,30,20100129101651,20181203142339,unknown
7,TMFS,29,10,20031117171149,20080501190133,unknown
8,Sir James,28,15,20080324133858,20180118090910,unknown
9,Mogelzahn,27,13,20040802074028,20140308144639,unknown
10,Bvo66,24,18,20090605215227,20131222145329,unknown
11,Hardenacke,19,12,20091124111627,20181226171226,unknown
12,Southpark,17,13,20040321181800,20060910013313,unknown
13,Wilhelmus,15,0,20071222160909,20120201151547,unknown
14,Itti,14,13,20121220114151,20151016191727,unknown
15,Aka,14,14,20050511083935,20190222170559,unknown
16,Stuttgart1950,14,14,20090602111113,20090602124326,unknown
17,Zwobot,14,14,20040110010732,20070302044806,unknown
18,N.Eschenhagen,14,2,20061211151626,20170102111242,unknown
19,Pfannenflicker,14,1,20060929100307,20061005074509,unknown
20,Saidmann,13,8,20131217165235,20140611161123,unknown
21,Sirdon,13,3,20050714142559,20070813171455,unknown
22,David Wintzer,12,12,20040901130208,20181005081124,unknown
23,Le petit prince,12,9,20060731204845,20091124113519,unknown
24,Horst Gräbner,12,6,20121220114652,20181001125332,unknown
25,Miraki,11,6,20131102084436,20170614065550,unknown
26,Ulitz,10,3,20150224203824,20181029205844,unknown
27,Gustav von Aschenbach,10,10,20080818133158,20181107093757,unknown
28,Johannes44,10,4,20130930050600,20141229054316,unknown
29,Regi51,10,10,20090202120413,20180513155249,unknown
30,R-B-S,8,8,20160418105249,20160418163859,unknown
31,Letdemsay,8,1,20110205133728,20150220234306,unknown
32,Neun-x,8,1,20120209165931,20131221004438,unknown
33,Spuk968,8,8,20100406110315,20140514121807,unknown
34,Logograph,8,5,20061111101949,20171124082455,unknown
35,Vsop,8,0,20140223114400,20150925225922,unknown
36,80.128.25.8,7,0,20040921194206,20040922151811,unknown
37,Sebbot,7,0,20080421233148,20121004144749,unknown
38,Dr Möpuse,7,0,20070805091018,20070926142847,unknown
39,Triebtäter,7,1,20040528195054,20050124112319,unknown
40,Kresspahl,7,7,20060211123152,20070706185400,unknown
41,Bundeskanzler-Willy-Brandt-Stiftung,7,0,20150504143123,20171006090837,unknown
