,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Ehrhardt,36,15,20110327154107,20130504115701,unknown
1,Zollernalb,28,28,20071217152138,20180212110703,unknown
2,Sf67,13,7,20060415115350,20110704121513,unknown
3,Benatrevqre,10,4,20110512094451,20110622210600,unknown
4,Manuel Heinemann,10,6,20101103122520,20111204203803,unknown
5,Yoda1893,9,2,20110427143715,20121031230521,unknown
6,Haenson,9,0,20071004110546,20071005091128,unknown
7,Donautalbahner,7,2,20071226130710,20090603114805,unknown
8,Bene16,6,0,20101121062141,20120310194633,unknown
9,Alkim Y,5,2,20121102193324,20130621225742,unknown
10,OecherAlemanne,5,2,20110327210501,20150530122712,unknown
11,"Werner, Deutschland",5,0,20170504135346,20170504142400,unknown
12,Tohma,5,0,20150802094806,20160121125341,unknown
13,217.231.121.118,5,0,20160307133442,20160307133629,unknown
14,Ot,5,1,20110412063953,20160320180251,unknown
15,193.197.144.125,5,0,20090526131431,20090604093547,unknown
16,Cosimamz,5,0,20121014130531,20160114135450,unknown
17,FranzOrnerMährischTrübau,4,0,20160911190940,20160911191349,unknown
18,Magiers,4,0,20110401183159,20120120070423,unknown
19,Peteruetz,4,2,20161229181203,20161229181842,unknown
20,Logograph,4,3,20110327172758,20160304072922,unknown
21,217.85.146.162,4,0,20150208080042,20150208110458,unknown
22,Aka,4,4,20121104131832,20190221105819,unknown
23,Graustern,4,3,20181126222820,20181128144248,unknown
24,193.197.144.65,4,0,20050310082837,20050311112854,unknown
25,Olaf Kosinsky,4,0,20130501200641,20170921191435,unknown
26,Neun-x,4,1,20120709101139,20151121043503,unknown
27,WikitanvirBot,3,3,20110331165240,20110512200402,unknown
28,Justus Nussbaum,3,0,20110511153328,20121007110548,unknown
29,Kängurutatze,3,0,20121012194734,20160121120532,unknown
30,Cyve,3,0,20160122102508,20160513075933,unknown
31,93.104.27.225,3,0,20110325180909,20110325200410,unknown
32,93.193.19.8,3,0,20111125091626,20111125121709,unknown
33,Buchbibliothek,3,1,20130621221701,20140914201147,unknown
34,Gsälzbär,3,0,20110613125351,20111129125623,unknown
35,2A02:908:F841:8C80:8CB:F828:1C8E:DBA,3,0,20160219150254,20160219150402,unknown
36,Pelz,3,2,20090622202804,20120102215611,unknown
37,Horst Gräbner,3,3,20160119143500,20160226095831,unknown
38,Carl B aus W,3,0,20121103130314,20121118113649,unknown
39,84.162.82.121,3,0,20050129155330,20050129164838,unknown
40,Nicolai P.,3,0,20110424225529,20110428123233,unknown
41,Sebastianvader,3,2,20110512174523,20110512174618,unknown
42,Jean11,3,2,20140117204413,20140121185454,unknown
43,Hans Haase,3,0,20150802122727,20150803094234,unknown
44,Luckas-bot,3,3,20110328123316,20110328205130,unknown
45,91.56.211.39,3,0,20110706094357,20110706094653,unknown
46,Fit,3,3,20130428202753,20160108004934,unknown
47,Slökmann,3,2,20160116213943,20180420104807,unknown
48,JuergenL,3,2,20050117100801,20050311110246,unknown
49,Serols,3,3,20160307133501,20170123075844,unknown
50,Jürgen Oetting,3,1,20110328191512,20110401194404,unknown
51,BurghardRichter,3,2,20110328093226,20160406184319,unknown
52,Gnu1742,3,0,20110428063747,20110512095608,unknown
53,93.208.95.145,3,0,20150528201819,20150528202134,unknown
54,AndreasPraefcke,3,1,20110403163409,20110406185218,unknown
55,Rita2008,3,0,20150802140810,20150803124047,unknown
56,Wikuli,3,1,20160501225136,20160512185259,unknown
57,Dtuk,2,0,20180902165822,20180902165943,unknown
58,84.162.235.67,2,0,20060508124144,20060508124320,unknown
59,Stolp,2,2,20081019001315,20141109105950,unknown
60,Gloser,2,0,20151219101033,20160121151920,unknown
61,HeBB,2,0,20110329131519,20110330114044,unknown
62,Peter200,2,2,20110706094558,20110706094703,unknown
63,RudolfSimon,2,1,20120731203219,20120731203902,unknown
64,Aspiriniks,2,2,20110327165312,20150704170543,unknown
65,Eppelheim,2,0,20140919163835,20160113123206,unknown
66,Fu-Lank,2,0,20111105110713,20140203234722,unknown
67,141.58.118.102,2,0,20040726021526,20040726021745,unknown
68,MystBot,2,2,20110215095547,20110319205721,unknown
69,178.3.173.14,2,0,20160825094600,20160825095338,unknown
70,Molgreen,2,1,20180217111103,20180217111138,unknown
71,JFH-52,2,2,20171028190102,20171028190527,unknown
72,EmausBot,2,2,20120512235340,20130330223526,unknown
73,Hadibe,2,2,20110512195159,20171018202751,unknown
74,79.227.175.60,2,0,20121213132831,20121213133042,unknown
75,Balogango,2,1,20140405171831,20140405171953,unknown
76,Spuk968,2,2,20151219195547,20160218132857,unknown
77,Der wahre Jakob,2,0,20180729073319,20180729073823,unknown
78,Pittimann,2,2,20111125091641,20111125121728,unknown
79,Media lib,2,0,20050101161532,20050101161654,unknown
80,Hsingh,2,1,20150818101033,20150818101043,unknown
81,Regi51,2,2,20160911191301,20160911191541,unknown
82,178.195.128.194,2,0,20121014130056,20121014130155,unknown
83,153.96.220.148,2,0,20150612130941,20150612131012,unknown
84,Webverbesserer,2,1,20101204094845,20101204095459,unknown
85,Noebse,2,0,20110327224940,20110327233302,unknown
86,BillyBoynt,2,0,20110613224929,20111017181229,unknown
87,Nemissimo,2,0,20120803232253,20120803232522,unknown
88,Rabanusmaurus,2,0,20160121120340,20160131114453,unknown
89,Tammany2012,2,0,20160314080031,20160314080114,unknown
90,FNDE,2,2,20160303085713,20160310104158,unknown
91,William Wiltshire,2,2,20110506103632,20110512171115,unknown
92,Centenier,2,2,20150208082144,20160308090416,unknown
93,Hpwn,2,0,20170401200250,20170401200506,unknown
94,Sabinus,2,0,20110331130335,20110401105418,unknown
95,Sprachfreund49,2,0,20121102164621,20121102164957,unknown
96,RoBri,2,1,20150926073814,20171129101655,unknown
97,92.225.186.24,2,0,20120923171520,20120923171712,unknown
98,Nillurcheier,2,0,20161230161243,20180420105128,unknown
99,Vexillum,2,1,20111219111730,20121013064920,unknown
100,62.156.44.22,2,0,20151219100144,20151219195023,unknown
101,Querstange,2,0,20160309083736,20160309083849,unknown
102,MGR,2,2,20111118092618,20180429103542,unknown
103,217.94.129.25,2,0,20041006225248,20041006233100,unknown
104,87.185.17.54,2,0,20160304072632,20160304072911,unknown
105,Bigbug21,2,1,20110507210927,20121014104716,unknown
106,Sebbot,2,0,20061218102545,20130412094322,unknown
107,Alnilam,2,2,20150208110039,20150208110522,unknown
108,Schnöpf,2,0,20170407190413,20170830173257,unknown
109,CHensel,2,0,20120216145053,20120419222640,unknown
110,Timo2010,1,0,20140916072110,20140916072110,unknown
111,HaSee,1,0,20090611142155,20090611142155,unknown
112,79.238.168.117,1,0,20160119143252,20160119143252,unknown
113,Ralf Gartner,1,1,20110326090808,20110326090808,unknown
114,StYxXx,1,1,20160314001904,20160314001904,unknown
115,Hahnenkleer,1,1,20161215071210,20161215071210,unknown
116,Eterix,1,1,20110512100314,20110512100314,unknown
117,82.82.187.118,1,0,20111125134125,20111125134125,unknown
118,84.162.55.113,1,0,20050126022437,20050126022437,unknown
119,PanchoS,1,1,20131201195727,20131201195727,unknown
120,ChristianBier,1,0,20080526220047,20080526220047,unknown
121,M Huhn,1,1,20151018201807,20151018201807,unknown
122,84.182.190.136,1,0,20110325093320,20110325093320,unknown
123,Engie,1,1,20160307133642,20160307133642,unknown
124,Fadesga,1,0,20110328203632,20110328203632,unknown
125,217.233.142.45,1,0,20160930101147,20160930101147,unknown
126,2003:73:4F14:EF00:9535:3881:608C:8040,1,0,20180429082542,20180429082542,unknown
127,134.2.82.64,1,0,20110926145940,20110926145940,unknown
128,Kirkurdu,1,0,20121029062018,20121029062018,unknown
129,SonjaKilchberg,1,0,20040326165343,20040326165343,unknown
130,79.218.151.203,1,0,20130922190957,20130922190957,unknown
131,Dundak,1,1,20070304220306,20070304220306,unknown
132,Mikered,1,1,20150702114017,20150702114017,unknown
133,84.157.253.24,1,0,20110126151528,20110126151528,unknown
134,Jbergner,1,0,20160228101002,20160228101002,unknown
135,Wahrheit1,1,0,20110328104412,20110328104412,unknown
136,JamesP,1,1,20160726112834,20160726112834,unknown
137,82.212.50.246,1,0,20110502150927,20110502150927,unknown
138,84.152.118.56,1,0,20180212110645,20180212110645,unknown
139,93.104.21.109,1,0,20110704012523,20110704012523,unknown
140,Blech,1,0,20150530061521,20150530061521,unknown
141,Marco bartoli,1,0,20101105224257,20101105224257,unknown
142,Natsu Dragoneel,1,1,20160222110024,20160222110024,unknown
143,Andreas Werle,1,1,20110327172732,20110327172732,unknown
144,2003:72:AE0B:5000:2134:4270:2822:DEF3,1,0,20160516190158,20160516190158,unknown
145,Mondmotte,1,0,20110420183046,20110420183046,unknown
146,MyContribution,1,1,20170903162639,20170903162639,unknown
147,LucienBOT,1,1,20110515040408,20110515040408,unknown
148,Gamba,1,0,20190109102120,20190109102120,unknown
149,Felix König,1,1,20120416193115,20120416193115,unknown
150,93.209.165.28,1,0,20130426092744,20130426092744,unknown
151,BMK,1,1,20141218063705,20141218063705,unknown
152,Wangen,1,0,20100212095928,20100212095928,unknown
153,Frakturfreund,1,1,20110327123328,20110327123328,unknown
