,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Nuuk,103,36,20060304094107,20180228182219,unknown
1,Dr. Manuel,69,17,20050527004713,20121121111514,unknown
2,Nasiruddin,60,26,20080518131532,20120701190558,unknown
3,Carolus.Abraxas,60,20,20080219201138,20120402154812,unknown
4,Rita2008,50,6,20060321213628,20170518131651,unknown
5,Aristhot,50,17,20060303091138,20060324084411,unknown
6,GuterSoldat,42,3,20060306122940,20060810142451,unknown
7,Init,30,3,20060116142753,20070219190219,unknown
8,Phi,28,5,20100129160147,20171213120431,unknown
9,Ziko,25,1,20080524125349,20081217182033,unknown
10,Atomiccocktail,21,8,20091213192554,20110125120803,unknown
11,Tets,18,8,20061029141406,20120308202504,unknown
12,Exxu,17,10,20050815204117,20060324115908,unknown
13,Nerd,16,13,20030120012534,20051216110205,unknown
14,Tilman Berger,14,11,20040702222507,20120505163121,unknown
15,Kl833x9,14,12,20130902160325,20130903160433,unknown
16,Prüm,14,9,20120102133256,20160814200852,unknown
17,CherryX,14,8,20130106171431,20131123101355,unknown
18,Janjonas,13,12,20161130185537,20190125162315,unknown
19,Stefan64,12,4,20040625122446,20160129121700,unknown
20,Illbeback,12,0,20090401153932,20090501150224,unknown
21,Anton-Josef,11,11,20060303102357,20110712221536,unknown
22,Leonhardt,11,6,20060521115134,20091220134222,unknown
23,Arbeiter- und Bauernmacht,11,8,20090202180921,20090323101932,unknown
24,Fräggel,10,2,20061113140401,20080219231256,unknown
25,Louis Wu,10,3,20070713225704,20170420100357,unknown
26,Cede,10,3,20051113153039,20140406222711,unknown
27,J budissin,9,2,20050530044236,20161108072142,unknown
28,Ilja Lorek,9,7,20030430120517,20040904083302,unknown
29,Zwobot,9,9,20031218093745,20070913122420,unknown
30,Acf,8,4,20040329211331,20080205152154,unknown
31,Xqbot,8,8,20090528161453,20120707023528,unknown
32,SieBot,8,8,20070504005803,20100206175010,unknown
33,Martin-vogel,8,3,20040925221646,20080509094507,unknown
34,84.146.197.190,8,0,20060107115340,20060107123437,unknown
35,Roland Kutzki,8,2,20070821120827,20071211183050,unknown
36,Gonzo Greyskull,8,0,20081121183618,20130927161449,unknown
37,Aka,8,8,20051212173019,20181029215646,unknown
38,Gerd Wiechmann,7,0,20141109133106,20180813180931,unknown
39,Maximilian Schönherr,7,1,20130216202015,20140406215206,unknown
40,Kaiser206,7,7,20061022191222,20081110153935,unknown
41,Skriptor,7,4,20040308225949,20050913120248,unknown
42,Freiheit der Wissenschaft,6,0,20080130225329,20080202124224,unknown
43,62.158.60.62,6,0,20030709093458,20030709094757,unknown
44,VolkovBot,6,6,20080531105856,20120208045545,unknown
45,Borisbaran,6,0,20070828221227,20070828221937,unknown
46,Ralf Roletschek,6,1,20081108090705,20161228220026,unknown
47,Karl der Größte,6,0,20140125154249,20140725104153,unknown
48,Katty,6,0,20051009135923,20051010091445,unknown
49,Southpark,6,4,20050714193703,20061203002455,unknown
50,Thijs!bot,6,6,20060816230535,20070601102429,unknown
51,Savin 2005,6,6,20071112203434,20090401154037,unknown
52,WhoisWhoME,6,1,20130908084104,20170712090503,unknown
53,Tannenberg1819,5,0,20171104095221,20171104101931,unknown
54,YurikBot,5,5,20050803182609,20060804205327,unknown
55,JAnDbot,5,5,20061107102735,20090412093749,unknown
56,Muck31,5,1,20080427174902,20080621134934,unknown
57,HuckTwain,5,2,20081124191128,20081124195200,unknown
58,Franz Jäger Berlin,5,1,20101024202457,20101028163152,unknown
59,Paramecium,5,3,20081118102119,20170723123709,unknown
60,Randalf,5,5,20080104205252,20080609153702,unknown
61,Allesmüller,5,3,20060328160209,20100805055653,unknown
62,Stefan Kühn,5,5,20030716172355,20051219191923,unknown
63,Sol1,5,4,20071222151836,20110730094958,unknown
64,Chricho,5,2,20120528181828,20121024185426,unknown
65,217.249.128.119,5,0,20051109180426,20051109193309,unknown
66,Digamma,5,0,20150612102056,20150628154437,unknown
67,Positiv,5,1,20080426121357,20080804084227,unknown
68,WikitanvirBot,4,4,20110127175743,20110604130058,unknown
69,Quirin,4,4,20051109180717,20051109193001,unknown
70,TXiKiBoT,4,4,20080624123805,20100215053023,unknown
71,Stefanbw,4,0,20061021151956,20150422215757,unknown
72,Lysis,4,4,20040808042945,20040808055540,unknown
73,Stobaios,4,1,20140807015807,20151231141950,unknown
74,ArthurBot,4,4,20081101040140,20090630085422,unknown
75,Rollis Igel,4,0,20150626072939,20150626115301,unknown
76,Roter Ruhrpottler,4,0,20090718181130,20090722173445,unknown
77,Cornischong,4,1,20040617085330,20041029072434,unknown
78,3mnaPashkan,4,0,20121010175418,20121017182419,unknown
79,SibFreak,4,4,20060718195316,20071204170606,unknown
80,Binter,4,2,20080903194214,20080903195752,unknown
81,GrouchoBot,4,4,20090111133829,20090621123204,unknown
82,ArtMechanic,4,4,20040830214907,20100227210720,unknown
83,Sebbot,4,1,20061230080914,20101221150545,unknown
84,Numbo3-bot,4,4,20080630145128,20091128220809,unknown
85,Manecke,4,0,20061119010206,20070224102733,unknown
86,DHN-bot~dewiki,4,4,20060410032331,20060916073718,unknown
87,Seewolf,4,3,20060823103614,20120701203352,unknown
88,ConstanzII,4,1,20070217120624,20070218072533,unknown
89,NiTenIchiRyu,4,4,20050612165304,20061218195743,unknown
90,Fasch,4,0,20070809080133,20070809082719,unknown
91,RobotQuistnix,4,4,20050825013959,20070421090053,unknown
92,Wandervogel,4,0,20170218161436,20171001173236,unknown
93,LucienBOT,4,4,20100624171732,20110216150023,unknown
94,Richard Lenzen,4,4,20121106201134,20161012055243,unknown
95,Mia-etol,4,2,20080605094421,20080709231332,unknown
96,212.9.184.28,4,0,20051203165942,20051203172303,unknown
97,Karl-Henner,4,4,20040515043611,20050620211756,unknown
98,D,4,4,20050914123224,20051028135505,unknown
99,Peter Nowak,3,0,20080314175402,20080426192536,unknown
100,Sisal13,3,3,20070120110755,20071218200133,unknown
101,He3nry,3,3,20060621105558,20080511121540,unknown
102,SashatoBot,3,3,20061222221805,20070813142618,unknown
103,Urbanus,3,2,20030120012119,20030120085658,unknown
104,2.202.3.232,3,0,20120701123257,20120701134242,unknown
105,Camul,3,2,20080407203849,20080407204309,unknown
106,MorbZ-Bot,3,3,20090612111419,20130227102939,unknown
107,Stern,3,0,20040620164444,20050517211701,unknown
108,Luckas-bot,3,3,20110809194718,20110909144321,unknown
109,Obersachsebot,3,3,20090208001152,20090326162014,unknown
110,ErikDunsing,3,3,20040122113624,20180422194325,unknown
111,Chobot,3,3,20050916032857,20120511204112,unknown
112,83.135.224.184,3,0,20051126200917,20051126202230,unknown
113,Odin,3,3,20031004132738,20031004133108,unknown
114,Muwwwti,3,3,20080320233415,20080320233547,unknown
115,Fossa,3,1,20080131020053,20090722173702,unknown
116,NEXT903125,3,0,20100603083617,20100720225438,unknown
117,Dr. Volkmar Weiss,3,1,20040503140951,20040503141555,unknown
118,Dietrich,3,1,20100408064115,20100408071405,unknown
119,Mautpreller,3,1,20120701123455,20140725094631,unknown
120,Langano2,3,3,20130818031657,20130818032202,unknown
121,Computerkid,3,3,20080830210352,20080830212033,unknown
122,Karl.schwab,3,3,20160206135623,20160206142723,unknown
123,Börsenspekulant,3,0,20090701114026,20090709163757,unknown
124,Elvaube,3,0,20090506171938,20090506172323,unknown
125,Ticketautomat,3,2,20070625061800,20080220090517,unknown
126,Phobetor,3,3,20100622083234,20100622085339,unknown
127,M Huhn,3,1,20121103144000,20121103194643,unknown
128,172.181.39.123,3,0,20050714193121,20050714193948,unknown
129,Ephraim33,3,0,20060421190117,20081214144219,unknown
130,Antiquar56,3,3,20080509091703,20080509092740,unknown
131,Zinnmann,3,3,20041214214503,20120119180648,unknown
132,Jocian,3,3,20080324180242,20080324185251,unknown
133,LinkFA-Bot,3,1,20090605100149,20100329211132,unknown
134,Pelz,3,2,20060212000452,20121025191212,unknown
135,Loveless,3,3,20080221184657,20081228032327,unknown
136,PhilipM,3,0,20060124080202,20060126021103,unknown
137,Ute Erb,3,3,20121231114457,20160818174533,unknown
138,Csac4864,3,0,20140717090208,20140717091918,unknown
139,UvM,3,2,20141221192848,20141222133115,unknown
140,SchlechterSoldat,3,0,20060621091744,20070226084036,unknown
141,Dexbot,3,3,20140831032144,20150103030740,unknown
142,David Wintzer,3,0,20050128085808,20060119152158,unknown
143,AlnoktaBOT,3,3,20071016093021,20080615020502,unknown
144,MartinBiely~dewiki,3,3,20060319215016,20060321214921,unknown
145,PhilippoBruno,3,2,20080328232440,20090131234846,unknown
146,BBF3,3,0,20101219104942,20110216201145,unknown
147,Khatschaturjan,3,0,20180921212306,20180922065603,unknown
148,Joergsam,3,0,20161106153716,20161108021742,unknown
149,FlaBot,3,3,20050102081654,20050829184521,unknown
150,Scheppi80,2,2,20080729134400,20080729134739,unknown
151,217.7.78.74,2,0,20050825143747,20050825143844,unknown
152,El Cazangero,2,0,20081117222602,20081117222908,unknown
153,62.45.140.164,2,0,20051217215047,20051227104225,unknown
154,Aineias,2,2,20041016111224,20050517233034,unknown
155,84.19.198.85,2,0,20050715135923,20050715135953,unknown
156,Neun-x,2,0,20150627184438,20150628070731,unknown
157,ND-Leser,2,0,20080914092748,20080914093026,unknown
158,Nidda,2,0,20071016155653,20071016155903,unknown
159,Voyager,2,2,20051007080333,20051007080357,unknown
160,Maurice0341,2,0,20170809143213,20170809143505,unknown
161,Loloman,2,2,20080228213141,20080228213303,unknown
162,Morricone,2,2,20070801005201,20070927005743,unknown
163,80.140.163.128,2,0,20050818174600,20050818174754,unknown
164,NebMaatRe,2,2,20081120153722,20081120182814,unknown
165,82.135.71.119,2,0,20051105134712,20051105135423,unknown
166,DaB.,2,0,20030210174220,20030210175143,unknown
167,Bota47,2,2,20060612085305,20060923013425,unknown
168,ZéroBot,2,2,20111106062347,20111123171118,unknown
169,DeepBlueDanube,2,0,20080112023831,20080112024725,unknown
170,80.134.218.25,2,0,20051028100406,20051028100631,unknown
171,84.137.223.47,2,0,20060123073942,20060123074059,unknown
172,Krdbot,2,2,20121024172958,20180124122120,unknown
173,Tickle me,2,1,20051204234344,20051204235455,unknown
174,Head,2,1,20060110120314,20060122085458,unknown
175,Irakli,2,2,20070224090911,20070224091037,unknown
176,Phrood,2,0,20070924134714,20080107165437,unknown
177,80.228.79.142,2,0,20040402091020,20040402091805,unknown
178,Ztirom,2,2,20040830101315,20040830102049,unknown
179,Constanz~dewiki,2,1,20060810081235,20061111155131,unknown
180,AndreasPraefcke,2,1,20120516185439,20120708193443,unknown
181,Schaengel89,2,0,20050830095059,20060123142503,unknown
182,Schwarz7201,2,1,20160102185520,20160508202430,unknown
183,Feliz,2,0,20090604202715,20090705102402,unknown
184,Balû,2,2,20040720065055,20040817125545,unknown
185,Musicsciencer,2,0,20060709150736,20060709150817,unknown
186,217.253.183.61,2,0,20050815214349,20050815215515,unknown
187,85.178.19.238,2,0,20060124075707,20060124075852,unknown
188,Vwpolonia75,2,0,20100727170038,20100727170602,unknown
189,Sealle,2,1,20140707035021,20170223114409,unknown
190,193.170.208.153,2,0,20060117143328,20060117143407,unknown
191,Europrofiti,2,2,20180228070328,20180228071156,unknown
192,Heldburg,2,0,20060510092235,20060510092604,unknown
193,Tohma,2,2,20080914100007,20111105202047,unknown
194,Bronks~dewiki,2,1,20070216110808,20070216110838,unknown
195,Max80,2,1,20051123222740,20051123223021,unknown
