,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Pingsjong,50,7,20110826093601,20180801094800,unknown
1,Anti.,23,6,20131218181109,20170515061056,unknown
2,JosFritz,13,6,20111009150829,20160903112820,unknown
3,Nicola,11,1,20110304064649,20150224081700,unknown
4,SpiegelLeser,9,6,20100304203815,20100320220540,unknown
5,Galant Khan,8,3,20160517154538,20160518041250,unknown
6,Aka,8,8,20060708131643,20190118174553,unknown
7,Gustav von Aschenbach,8,5,20090807110854,20150723110305,unknown
8,Giftmischer,7,7,20100605135319,20180108162145,unknown
9,TMFS,6,2,20041210123440,20080219181440,unknown
10,Tohma,6,0,20080216191018,20170926161747,unknown
11,Grip99,6,1,20111004005936,20140726211340,unknown
12,Callidior,5,5,20090511232415,20110914024911,unknown
13,Hillchen,5,0,20110717124623,20110822172934,unknown
14,Deposuit,5,1,20111009111340,20111010080519,unknown
15,Unterstrichmoepunterstrich,5,3,20140922222601,20150921042414,unknown
16,Mnh,5,5,20061017073302,20061017080403,unknown
17,Neun-x,5,1,20111005072626,20120915151057,unknown
18,Anony,4,3,20070206172932,20070206173218,unknown
19,Zollernalb,4,4,20120827224811,20160211113020,unknown
20,Nemissimo,4,0,20120712171211,20130620120335,unknown
21,Volkstribun 2.0,4,3,20151104151445,20151111071249,unknown
22,AlternativesLebensglück,4,0,20170908074352,20180706154821,unknown
23,Citius Altius Fortius,4,0,20130316122629,20130316122956,unknown
24,Vincent Eisfeld,4,1,20150618101733,20150618111355,unknown
25,Gödeke,4,4,20100802195134,20131011200101,unknown
26,134.95.110.9,4,0,20091127134947,20091130115837,unknown
27,62.143.202.40,4,0,20110822165432,20110822174055,unknown
28,Frīheidasliova,4,0,20160823080818,20160823081153,unknown
29,66.199.240.50,3,0,20061017073510,20061017074042,unknown
30,82.212.58.111,3,0,20170925150200,20170925151224,unknown
31,Steschke,3,1,20140911160125,20150212210040,unknown
32,Smart0433,3,0,20170217093541,20170519225216,unknown
33,Thomas Schulte im Walde,3,0,20140319135429,20140319135716,unknown
34,Port(u*o)s,3,2,20110822180301,20110826105100,unknown
35,Jivee Blau,3,3,20120519200348,20161204202554,unknown
36,Rmcharb,3,3,20170124130104,20181014181828,unknown
37,92.229.83.34,3,0,20090807095352,20090807100347,unknown
38,Lichtgestalt,3,1,20040624110753,20040624111035,unknown
39,Graphikus,3,2,20120827214502,20151219220646,unknown
40,Kraschnaut,3,3,20160502084315,20160502084807,unknown
41,KastusK,3,0,20140210170932,20150117103948,unknown
42,Färber,3,0,20150723105429,20150723105956,unknown
43,WeiterWeg,3,1,20170118134447,20170118141549,unknown
44,Kaschihh,2,2,20170518214252,20170518214403,unknown
45,2003:C9:BE6:A281:F1B8:27A6:727F:1CF,2,0,20180527065321,20180527065504,unknown
46,Jobu0101,2,2,20130326162534,20150130192159,unknown
47,Boshomi,2,1,20151205024522,20160605182946,unknown
48,2003:88:AF2D:2E01:211:24FF:FE2A:19CF,2,0,20170217044055,20170220044919,unknown
49,NEXT903125,2,0,20101230041205,20101230041318,unknown
50,Komischn,2,1,20160826215954,20160826222802,unknown
51,TaxonKatBot,2,2,20160621142000,20170502131337,unknown
52,Spuk968,2,2,20100304181012,20111215175525,unknown
53,4Frankie,2,1,20110915135809,20110915140022,unknown
54,Henning.Schröder,2,2,20041002194822,20041002194937,unknown
55,N50%,2,1,20091202212615,20091212160816,unknown
56,188.192.13.163,2,0,20180407193819,20180407193854,unknown
57,Pittimann,2,0,20110822171940,20110822173731,unknown
58,77.188.232.146,2,0,20120519200341,20120519200511,unknown
59,66.171.228.141,2,0,20110407092301,20110407093504,unknown
60,131.220.116.9,2,0,20171211115837,20171211115909,unknown
61,80.141.245.104,2,0,20040603125241,20040603125346,unknown
62,95.117.134.211,2,0,20130316121007,20130316121058,unknown
63,Geitost,2,2,20090823150102,20091024222100,unknown
64,KorrekTOM,2,2,20180118173918,20180201002836,unknown
65,178.26.170.156,2,0,20170713140036,20170713140126,unknown
66,2A02:908:191:5FA0:8853:2E80:CFC2:5CD1,2,0,20181014181622,20181014181734,unknown
67,Webverbesserer,2,1,20110922211919,20120827054719,unknown
68,Zxmt,2,1,20171211120030,20180522103430,unknown
69,Dmicha,2,2,20130611114456,20170526084559,unknown
70,Olaf Kosinsky,2,2,20150212175115,20150212185657,unknown
71,212.144.225.40,2,0,20150723223624,20150723223709,unknown
72,PhilFS,2,1,20090723160009,20091208081722,unknown
73,RoBri,2,2,20130915174449,20180407193912,unknown
74,Crux,2,2,20041119151828,20041123141813,unknown
75,Grey Geezer,2,0,20120626154151,20130715142006,unknown
76,Pelz,2,1,20070708221106,20111118001514,unknown
77,Über-Blick,2,0,20170209014617,20170209014646,unknown
