,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Volkstribun 2.0,20,12,20171019234843,20171119153005,unknown
1,Olaf Kosinsky,14,6,20120726181008,20180419100303,unknown
2,WinfriedSchneider,13,4,20171114115633,20171119155654,unknown
3,N.Eschenhagen,11,1,20061212140813,20131008185229,unknown
4,Aka,9,9,20110204165016,20180303084004,unknown
5,TMFS,8,1,20050712162542,20071028170056,unknown
6,Bluemangenius,6,6,20130515101141,20130606110640,unknown
7,Felix König,5,5,20110628135106,20130923192637,unknown
8,Schillersf,5,1,20041119122430,20041119132335,unknown
9,RealHH,4,1,20101210220600,20121015204627,unknown
10,ManfredFX,4,0,20130311164413,20150409210604,unknown
11,Dlonra,4,0,20090820114826,20120712191040,unknown
12,Hvd69,4,3,20110311101244,20110311102155,unknown
13,87.148.43.94,4,0,20151111092424,20151111092656,unknown
14,RoBri,4,4,20170318075548,20190129170559,unknown
15,Miltrak,3,0,20130422221339,20130913013344,unknown
16,AlexdG,3,1,20110918212758,20110918213127,unknown
17,Iiigel,3,1,20120512210522,20120512211719,unknown
18,Neun-x,3,0,20130125063436,20130519175415,unknown
19,Kleiner Stampfi,3,0,20130516132829,20131231004700,unknown
20,9of17,3,0,20101117102600,20101117103139,unknown
21,Medicus Jurist,3,0,20100328190549,20100405162544,unknown
22,Sprachpfleger,3,1,20130125163201,20171125135055,unknown
23,Pelz,2,2,20111227190636,20120206231943,unknown
24,Kresspahl,2,2,20161203192616,20170508071048,unknown
25,Steschke,2,0,20130825205915,20161130222216,unknown
26,Snoopy1964,2,2,20151111092437,20151111092721,unknown
27,Alex 805,2,1,20150516070900,20150516071609,unknown
28,MitigationMeasure,2,2,20140405111115,20140405111148,unknown
29,JKS,2,0,20120507103610,20120507103716,unknown
30,Klios,2,0,20170429095016,20170429095938,unknown
31,CherryX,2,0,20120911071000,20120911071019,unknown
32,InternetArchiveBot,2,0,20180325083509,20180827140634,unknown
33,Superikonoskop,2,0,20171119085931,20171119153724,unknown
34,Heiko,2,2,20040910095706,20040927220123,unknown
35,Liberaler Humanist,2,1,20110105175215,20110105175243,unknown
36,91.16.246.221,2,0,20101215195838,20101215195951,unknown
37,Zwobot,2,2,20061001130756,20070911233110,unknown
38,Boshomi,2,2,20161028203202,20161130212344,unknown
