,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,TMFS,51,14,20031112195625,20080409005611,unknown
1,Mogelzahn,39,17,20050617083929,20131216083244,unknown
2,Gustav von Aschenbach,29,13,20070711134538,20190108085234,unknown
3,Volkstribun 2.0,25,14,20130629102304,20181122004551,unknown
4,Xocolatl,18,18,20060522182110,20171127193423,unknown
5,Politics,17,4,20080330135439,20100207122551,unknown
6,Syrcro,17,16,20070418072631,20080107220808,unknown
7,Aka,17,17,20050705185609,20181229103611,unknown
8,Iridos,14,0,20070520233700,20070527070221,unknown
9,Nicor,14,2,20070512225850,20110310144701,unknown
10,Andropov,14,0,20141201142813,20190219201529,unknown
11,Spartanischer Esel,14,3,20071217121332,20080610113513,unknown
12,Stefan2552,13,0,20070412121114,20070713154828,unknown
13,KastusK,13,0,20130623173122,20180331100954,unknown
14,Berlin-Jurist,12,3,20051017140321,20070728115408,unknown
15,VampLanginus,12,5,20120906220504,20150405221309,unknown
16,Wici,12,4,20080923204313,20111210195336,unknown
17,Parzi,11,5,20070917104145,20120907122636,unknown
18,Hartmut Banske,9,0,20070829213652,20070902161129,unknown
19,Chemnitzer96,9,0,20150730171959,20160820164019,unknown
20,Michelhausen,8,0,20111228171526,20120210152254,unknown
21,RoBri,8,1,20170215153159,20180731172749,unknown
22,Meier99,8,8,20160611104328,20160611161203,unknown
23,Ot,8,4,20110620042311,20171001045834,unknown
24,Boshomi,8,1,20150609193203,20161130212348,unknown
25,217.110.45.194,7,0,20070104173419,20070105102306,unknown
26,Spacesson,7,0,20071231223340,20080101214816,unknown
27,84.128.93.53,7,0,20110227141705,20110227204601,unknown
28,217.248.92.43,7,0,20060128173856,20060128184937,unknown
29,JAMES BOND,7,7,20070710210605,20070714111846,unknown
30,Jivee Blau,7,6,20100403215148,20180424131549,unknown
31,Reaper2k,7,0,20070214090408,20070214120303,unknown
32,Widlotic,7,3,20120904133036,20120922065445,unknown
33,GesellschaftsKritiker,6,1,20080107042448,20080107212048,unknown
34,Franz Richter,6,5,20070612201549,20070612213125,unknown
35,Zollernalb,6,6,20090211100436,20160730092957,unknown
36,Occulos,6,0,20070916164745,20070916192742,unknown
37,Schniggendiller,6,5,20090130193944,20131217084813,unknown
38,Neun-x,6,0,20120917174927,20140419062018,unknown
39,Olaf Kosinsky,6,3,20130816160939,20171108120557,unknown
40,Zwobot,6,6,20040209162132,20050504221359,unknown
41,Webverbesserer,6,5,20101124203529,20120907175842,unknown
42,AF666,6,4,20070708182944,20101124224942,unknown
43,Pfalzfrank,6,1,20061018011531,20070902222020,unknown
44,House1630,6,2,20150723172241,20150724131712,unknown
45,Klingon83,6,5,20090918181910,20100701205433,unknown
46,Ngowatchtransparent,5,1,20090220224649,20090611110120,unknown
47,Horst Gräbner,5,5,20140218175001,20170202081918,unknown
48,80.142.204.197,5,0,20060405111112,20060405112440,unknown
49,Bwbuz,5,0,20150823221227,20171223103724,unknown
50,Mwknacker,5,2,20130723104558,20130723183223,unknown
51,84.44.212.243,5,0,20160128212844,20160128213629,unknown
52,W-sky,5,2,20070726191249,20070901142736,unknown
53,Herr Andrax,5,2,20070219151623,20070522074509,unknown
54,Benatrevqre,5,1,20061203030416,20061226001225,unknown
55,195.93.65.7,5,0,20031030021102,20031030022055,unknown
56,Law-and-order,5,0,20070406161640,20070412181448,unknown
57,Alauda,5,1,20070916165937,20080101153817,unknown
58,Cyve,5,0,20160611090554,20160611104718,unknown
59,MAY,5,0,20091201035950,20190103012652,unknown
60,217.85.131.169,5,0,20140831035745,20140831064749,unknown
61,Altaripensis,5,0,20131213181017,20140510142133,unknown
62,Regi51,5,5,20100203183736,20171126202612,unknown
63,Itti,4,4,20140201172734,20150708161418,unknown
64,Dealerofsalvation,4,3,20070623044731,20070623045501,unknown
65,LKD,4,4,20071129220801,20101109113030,unknown
66,213.39.193.73,4,0,20050512034449,20050512034911,unknown
67,Nemissimo,4,1,20070707155239,20080102191324,unknown
68,790,4,0,20051217120700,20081121222129,unknown
69,Golbsi,4,4,20080319013727,20080319020536,unknown
70,93.222.216.239,4,0,20131225185404,20131225185645,unknown
71,IngmarHL,4,2,20070112201145,20070418110844,unknown
72,Pittimann,4,4,20100504112746,20170202082044,unknown
73,Luke081515Bot,4,0,20161117214254,20161129212158,unknown
74,89.182.195.103,4,0,20110920085641,20110920090109,unknown
75,Carol.Christiansen,4,3,20080107161224,20140308090835,unknown
76,Holger1974,4,0,20091028130832,20091028133803,unknown
77,178.3.228.209,4,0,20131217084619,20131217085122,unknown
78,Tönjes,4,3,20070104173556,20070823191449,unknown
79,Armin P.,4,4,20101031081013,20150701140512,unknown
80,Hs-berlin,4,0,20150504133536,20150527124254,unknown
81,Pfieffer Latsch,4,1,20101027180853,20121209103823,unknown
82,Morgenstund,4,3,20070620133850,20070702094352,unknown
83,Hannes Röst,4,2,20080603043404,20080603181138,unknown
84,Skara Brae,4,4,20070901175724,20071201201607,unknown
85,Striegistalzwerg,4,0,20110615124113,20110617095829,unknown
86,NetReaper,4,2,20071201214934,20071216203234,unknown
87,Sebbot,4,2,20090325005235,20141203073850,unknown
88,Eck,4,0,20060804051429,20060804110643,unknown
89,N.Eschenhagen,3,0,20070215180800,20070621090207,unknown
90,Natsu Dragoneel,3,2,20160525085331,20171109102424,unknown
91,Jed,3,3,20040206020847,20110916204904,unknown
92,Kharon,3,3,20160306011425,20160306012537,unknown
93,Dis sts,3,3,20161024153120,20161025090540,unknown
94,Tzzzpfff,3,3,20051012132116,20051012132638,unknown
95,217.81.117.242,3,0,20100922075937,20100922080609,unknown
96,Tobi B.,3,3,20070405181625,20070628100022,unknown
97,Meisterkoch,3,2,20071202031410,20080331220113,unknown
98,David Wintzer,3,3,20111214162630,20171024125750,unknown
99,91.119.142.51,3,0,20150724123039,20150725092823,unknown
100,EmausBot,3,3,20110527124459,20130401225810,unknown
101,Ehrhardt,3,1,20050319193756,20091025175002,unknown
102,Luca Brunini,3,1,20150205125821,20150205134455,unknown
103,Alnilam,3,3,20110627090811,20170221092903,unknown
104,87.178.7.145,3,0,20180731143610,20180731174730,unknown
105,89.55.82.66,3,0,20060811125307,20060811131326,unknown
106,Geierkrächz,3,3,20100508130051,20100525162239,unknown
107,Seewolf,3,3,20080319014153,20150325084438,unknown
108,Lux lb,3,0,20070514092601,20070728111917,unknown
109,84.188.111.202,3,0,20141227040757,20141227041050,unknown
110,85.178.75.62,3,0,20061018011422,20061018012232,unknown
111,Gunilla,3,1,20090809103728,20091016203209,unknown
112,Schnabeltassentier,3,1,20160211083157,20171212041709,unknown
113,Taxiarchos228,3,0,20040826155138,20070104151525,unknown
114,Unsterblicher,3,3,20100922075946,20100922080616,unknown
115,Eppelheim,3,0,20181022093856,20181022094055,unknown
116,DaB.,3,3,20050829161559,20061018015219,unknown
117,79.201.13.213,3,0,20150404194251,20150404194428,unknown
118,LIU,3,1,20130104120153,20130104120755,unknown
119,Kyber,3,3,20070527101007,20071203143056,unknown
120,Falkmart,3,0,20170216110154,20171224091914,unknown
121,Brederode,3,1,20180311111345,20180312105701,unknown
122,Radschläger,3,3,20081211150143,20100130141255,unknown
123,Überzeugungstäter 2.0,3,2,20141122043109,20141123201207,unknown
124,80.136.110.210,3,0,20101115205837,20101115211402,unknown
125,FlaBot,3,3,20051022131158,20051208144717,unknown
126,DerHexer,3,2,20070105103331,20140922192010,unknown
127,Kuebi,3,0,20110309191843,20161231215614,unknown
128,Abogado~dewiki,3,1,20070408130021,20070710175449,unknown
129,AV,3,2,20070719092601,20080123171110,unknown
130,Sitacuisses,3,1,20101125075737,20140129150013,unknown
131,Spuk968,3,3,20100212164730,20110926125050,unknown
132,Turric,3,0,20070523110309,20070523173528,unknown
133,Magpie ebt,3,3,20120519124219,20120519124321,unknown
134,Reinhard Kraasch,3,3,20080927181640,20080927181753,unknown
135,Yoda1893,3,0,20091024222310,20181208130457,unknown
136,217.245.22.82,3,0,20051023121917,20051023122052,unknown
137,InternetArchiveBot,3,0,20180325102253,20190309041652,unknown
138,Klios,3,0,20091022152254,20171022113543,unknown
139,(nob),3,0,20040302153854,20040304183013,unknown
140,130.133.8.114,3,0,20070823191022,20101110194152,unknown
141,EH⁴²,3,3,20150712143907,20150712171125,unknown
142,TTaube,3,0,20051216144504,20051216144756,unknown
143,Von Eden,3,3,20110311045854,20120307134132,unknown
144,J. Schwerdtfeger,3,1,20070916155024,20070916155607,unknown
145,Fatma G.,2,1,20091031175200,20091031175218,unknown
