,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,AxelHH,25,4,20060917204456,20170630193933,unknown
1,Oberfoerster,19,2,20080408102758,20121019111858,unknown
2,212.65.1.102,17,0,20060920081958,20080307141825,unknown
3,Karl432,11,6,20130605161930,20150605104858,unknown
4,Saippuakauppias,7,1,20070714134244,20090112220526,unknown
5,Caronna,7,2,20120417141553,20181104115225,unknown
6,Verzettelung,6,6,20160610054125,20160610055230,unknown
7,KastusK,5,0,20150511180255,20160213155232,unknown
8,Lothar520,5,4,20170826162758,20181105000226,unknown
9,Schlepper,5,5,20100715103631,20100715105706,unknown
10,78.34.208.194,4,0,20081204000408,20081204001105,unknown
11,Fiege,4,2,20070301084056,20070410191548,unknown
12,Hejkal,4,2,20060517201812,20060714204629,unknown
13,J tom,3,3,20091129115126,20091223084541,unknown
14,CommonsDelinker,3,3,20081203225029,20140627145648,unknown
15,Diwanbartwisch,3,0,20131219093432,20131219105157,unknown
16,Cherubino,3,2,20140902154728,20140903103340,unknown
17,Kit Walker~dewiki,3,0,20070430214353,20080214084529,unknown
18,Rauenstein,3,2,20060204163651,20070123121048,unknown
19,Rüdiger Bier,3,1,20071106191017,20090309103957,unknown
20,Frank-m,3,0,20060107151047,20120928161545,unknown
21,Thijs!bot,2,2,20080731195728,20081206000350,unknown
22,Zeuke,2,0,20070124115039,20081206034444,unknown
23,213.6.72.62,2,0,20050913104059,20050913104158,unknown
24,Pennywise1349,2,0,20071208023704,20071208023730,unknown
25,87.184.220.97,2,0,20141029234252,20141029234357,unknown
26,Metilsteiner,2,0,20140213163043,20140213180242,unknown
27,Luke081515Bot,2,0,20161116235403,20161211235823,unknown
28,Über-Blick,2,0,20120705204446,20120705204602,unknown
29,Aka,2,2,20180329193113,20181104162055,unknown
30,Dorado,2,0,20071105232425,20071107144522,unknown
31,Sciencia58,2,0,20171116184855,20171116185036,unknown
32,Notebook,2,0,20060721051910,20060908120323,unknown
33,77.181.85.25,2,0,20110105170136,20110105173217,unknown
34,Hasselklausi,2,0,20161231125632,20170708115157,unknown
35,Gabrikla,2,0,20160324192048,20170805180831,unknown
36,Aibot,2,2,20070822091400,20080721112946,unknown
37,Mps,2,2,20110908085134,20170121180914,unknown
38,ChristianBier,2,0,20080725143955,20081129120552,unknown
