,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,AF666,951,243,20050404083228,20180509225836,unknown
1,DerSalamander,167,121,20101203115240,20141228150046,unknown
2,Sir Quickly,78,9,20050307233958,20110730180237,unknown
3,THAWonderland,56,9,20160410053651,20190216210344,unknown
4,Sonstiges,51,17,20080515223119,20110512100032,unknown
5,House1630,47,12,20101114221510,20160521123955,unknown
6,Kiebitzi,40,5,20080922142601,20110806210733,unknown
7,Savok,28,2,20120502223051,20150402100131,unknown
8,Eishöhle,19,4,20140312201256,20140315171247,unknown
9,Felix Staratschek,17,0,20071009131145,20131130121407,unknown
10,Ute Erb,16,16,20121024104859,20180512213619,unknown
11,Komischn,16,15,20100721115922,20170323100902,unknown
12,Fmrauch,15,3,20070712155416,20160110023856,unknown
13,Bwbuz,12,0,20150322204958,20151123105034,unknown
14,Geitost,11,9,20090725143839,20120327014440,unknown
15,Donautalbahner,11,9,20080717125325,20080920105355,unknown
16,Altaripensis,11,1,20130926130617,20140526154203,unknown
17,Aka,10,10,20060206180332,20190110141117,unknown
18,Chrisglub,10,9,20110919164059,20111219124228,unknown
19,217.83.0.176,10,0,20050331091430,20050331101932,unknown
20,Frisia Orientalis,10,8,20080817090024,20080817103810,unknown
21,Mogelzahn,10,2,20050127133214,20141228203719,unknown
22,217.84.233.3,9,0,20070309140000,20070309141719,unknown
23,Mike ÖDP Berlin,9,0,20131219113323,20150114154201,unknown
24,Vanellus,9,3,20140525193240,20181022180206,unknown
25,Chef,9,5,20050823164022,20060430132139,unknown
26,Dietrich,9,0,20130102133442,20130102143050,unknown
27,ElTres,8,1,20111006122307,20140701090012,unknown
28,Felix König,8,5,20100626183636,20131130134411,unknown
29,CommonsDelinker,8,8,20081005173956,20111107072842,unknown
30,Niggo911,8,2,20101117202634,20170528182659,unknown
31,Nillurcheier,8,0,20170925203833,20181223111143,unknown
32,Unscheinbar,7,5,20050123112352,20050307163120,unknown
33,84.128.130.86,7,0,20040907175526,20040907181750,unknown
34,213.6.60.19,7,0,20051202133627,20051202140142,unknown
35,84.173.29.195,7,0,20060122163110,20060122163531,unknown
36,217.83.10.2,7,0,20050317203240,20050317221027,unknown
37,Lantus,7,1,20081003215535,20160109065832,unknown
38,84.128.131.71,6,0,20050330133058,20050330135821,unknown
39,Zinnmann,6,4,20051204131932,20150827144646,unknown
40,Harry8,6,3,20120528135218,20130927113955,unknown
