"Article","Views"
"Angela Merkel",2087760
"Jens Spahn",1314542
"Friedrich Merz",1292113
"Bundeskanzler (Deutschland)",1046778
"Bundespräsident (Deutschland)",1042007
"Andrea Nahles",1010027
"Alice Weidel",986585
"Horst Seehofer",972416
"Hans-Georg Maaßen",936496
"Sahra Wagenknecht",875343
"Heiko Maas",846337
"Alternative für Deutschland",779218
"Faschismus",770909
"Martin Luther",736377
"Annalena Baerbock",673179
"Katarina Barley",629879
"Julia Klöckner",625386
"Alexander Gauland",585896
"Sozialdemokratische Partei Deutschlands",564217
"Konrad Adenauer",559980
"Rote Armee Fraktion",553880
"Swastika",550677
"Helmut Schmidt",543521
"Gerhard Schröder",528217
"Bundesregierung (Deutschland)",508085
"Ursula von der Leyen",506579
"Willy Brandt",499623
"Kommunismus",481264
"Kabinett Merkel IV",475364
"Bündnis 90/Die Grünen",473297
"Martin Schulz",467452
"Helmut Kohl",466414
"Franziska Giffey",455987
"Franz Josef Strauß",433984
"Sawsan Chebli",419028
"Christlich Demokratische Union Deutschlands",412029
"Olaf Scholz",409785
"Rechtsextreme Symbole und Zeichen",394454
"Nationalsozialistische Deutsche Arbeiterpartei",392918
"Frank-Walter Steinmeier",391459
"Populismus",388035
"Wladimir Iljitsch Lenin",382275
"Peter Altmaier",381900
"Die Linke",380144
"Sigmar Gabriel",380104
"GSG 9 der Bundespolizei",353120
"Jeanne d’Arc",343785
"Oskar Lafontaine",342194
"Freie Demokratische Partei",339530
"Kristina Vogel",339478
"Wolfgang Schäuble",335553
"Liberalismus",331535
"Identitäre Bewegung",331168
"Gregor Gysi",327786
"Sozialismus",322827
"Apartheid",316218
"Claudia Roth",311855
"Freie Wähler (Bundesvereinigung)",311716
"Alexander Neu",311354
"Christlich-Soziale Union in Bayern",308477
"Katrin Göring-Eckardt",307284
"Anja Karliczek",302445
"Joschka Fischer",298014
"Alexander Dobrindt",287496
"Andreas Scheuer",284235
"Menschenrechte",277285
"Karl-Theodor zu Guttenberg",269375
"Edmund Stoiber",265719
"Neoliberalismus",253632
"Dolchstoßlegende",246104
"Manuela Schwesig",245401
"Die blaue Partei",242769
"Bundesamt für Verfassungsschutz",229465
"Anarchismus",226778
"Guido Westerwelle",225404
"Volker Bouffier",222633
"Sozialistische Einheitspartei Deutschlands",222154
"Präsident des Deutschen Bundestages",220429
"Claudia Pechstein",218389
"Nationaldemokratische Partei Deutschlands",217908
"Thomas de Maizière",217493
"Ludwig Erhard",216839
"Spanischer Bürgerkrieg",212144
"Arnd Peiffer",211402
"Malu Dreyer",207259
"Kabinett Merkel III",206081
"Friedrich Engels",203085
"Bundespolizei (Deutschland)",202632
"Chauvinismus",202091
"Liste der deutschen Bundesregierungen",199949
"Liste der politischen Parteien in Deutschland",198412
"Svenja Schulze",197991
"Nationalismus",197347
"Konservatismus",195733
"Christian Wulff",194435
"Ilse Aigner",189215
"Anarchie",188223
"Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative",187359
"Reinhard Grindel",186638
"Wolfgang Bosbach",186634
"Auswärtiges Amt",182396
"Ausschreitungen in Chemnitz 2018",177632
"Laizismus",176728
"Richard von Weizsäcker",175815
"Volker Kauder",175514
"Philipp Rösler",172897
"Freie Wähler Bayern",172113
"Norbert Blüm",170301
"Kommunistische Partei Deutschlands",170280
"Burning Man",169828
"Franz Müntefering",168530
"Kurt Georg Kiesinger",166105
"Helge Braun",163586
"Rechtsextremismus",157385
"Bundesministerium (Deutschland)",156439
"Nazi",155909
"Winfried Kretschmann",153692
"Arminius",151801
"Bolschewismus",148508
"Vizekanzler (Deutschland)",148496
"Ulrich Wegener",147574
"Joachim Gauck",139522
"Viktor Orbán",138952
"Die Internationale",138419
"Entführung des Flugzeugs „Landshut“",136653
"Boxeraufstand",136097
"Horst Köhler",135792
"Theodor Heuss",134463
"Rudolf Scharping",134316
"Black Panther Party",133580
"Walter Scheel",133126
"Wolfgang Kubicki",129526
"Lars Klingbeil",128336
"Bundesministerium der Verteidigung",128331
"Volksverteidigungseinheiten",128285
"Deutsche Zentrumspartei",128024
"Generalinspekteur der Bundeswehr",127923
"Manifest der Kommunistischen Partei",127596
"Jürgen Möllemann",125404
"Libertarismus",124791
"Liberal-Konservative Reformer",123734
"Rechtspopulismus",123558
"Franquismus",123388
"Patriotismus",123355
"Flugbereitschaft des Bundesministeriums der Verteidigung",123339
"Hans-Dietrich Genscher",120548
"Theo Waigel",120249
"Aufstehen",120033
"Totalitarismus",118155
"Klaus von Dohnanyi",117867
"Politische Linke",114684
"Linksextremismus",114505
"Piratenpartei Deutschland",114315
"Protokolle der Weisen von Zion",113755
"Norbert Lammert",113242
"Johannes Rau",113064
"Euskadi Ta Askatasuna",112493
"Ton Steine Scherben",112080
"Lothar de Maizière",111937
"Laissez-faire",111607
"Ostblock",111602
"Daniel Günther",111173
"Säkularismus",111019
"Natalie Geisenberger",110909
"Erika Steinbach",110641
"Bundeskriminalamt (Deutschland)",109412
"Liste der Mitglieder des Deutschen Bundestages (19. Wahlperiode)",109211
"Björn Engholm",108967
"Günther Krause",107163
"Politically Incorrect",106782
"Norbert Röttgen",106513
"Compact (Magazin)",105718
"Johannes Kahrs",105205
"Wolfsangel",105051
"Klaus Wowereit",104040
"Bundeskanzleramt (Deutschland)",103874
"Otto Schily",103777
"Bundesamt für den Militärischen Abschirmdienst",102206
"Räterepublik",102156
"Katrin Suder",102124
"Bundesministerium der Finanzen",102005
"Heinrich Lübke",101583
"Bundesminister (Deutschland)",101417
"Nationale Front für die Befreiung Südvietnams",101053
"Herbert Wehner",100129
"Partei des Demokratischen Sozialismus",98461
"Philipp Jenninger",98375
"Theodor Oberländer",98050
"Roland Koch",97033
"Antifaschismus",96311
"Petra Pau",95974
"Bayernpartei",95670
"Tichys Einblick",95059
"Bundesministerium für Wirtschaft und Energie",93928
"Jürgen Trittin",93282
"Staatsminister (Deutschland)",91815
"Freiheit",91594
"Die Republikaner",90634
"Hans-Jochen Vogel",90377
"Rita Süssmuth",90281
"Heiner Geißler",90014
"Bundesministerium für Verkehr und digitale Infrastruktur",88852
"Sebastian Edathy",88566
"Deutsche Kommunistische Partei",88548
"Peer Steinbrück",87235
"Gustav Heinemann",86860
"Gerd Müller (Politiker, 1955)",86088
"Politische Rechte (Politik)",85390
"Bundesministerium für Bildung und Forschung",85164
"Deutschnationale Volkspartei",84743
"Diether Dehm",84184
"Schlacht bei Tannenberg (1410)",84024
"Bundesgrenzschutz",83458
"Kabinett Merkel I",83227
"Bundesministerium für Arbeit und Soziales",83035
"Hans Globke",82917
"Mitglied des Deutschen Bundestages",82758
"Annette Schavan",82340
"Ökologisch-Demokratische Partei",82189
"Desiderius-Erasmus-Stiftung",81881
"Hans-Christian Ströbele",81814
"Kabinett Merkel II",81779
"Carsten Linnemann",81703
"Bundesamt für Migration und Flüchtlinge",81256
"Roman Herzog",80683
"Christian Schmidt",79974
"Unabhängige Sozialdemokratische Partei Deutschlands",79073
"Islamismus",78794
"Kristina Schröder",78291
"Trotzkismus",77836
"Peter Ramsauer",76436
"Deutsche Demokratische Partei",76275
"Michael Müller (Politiker, 1964)",76274
"Kurt Biedenkopf",76138
"Marxismus-Leninismus",75104
"Sozialdemokratie",74975
"Felix Loch",74706
"Der III. Weg",74228
"Renate Künast",74061
"Bundesministerium für Familie, Senioren, Frauen und Jugend",73889
"Vercingetorix",73747
"Gerhard Schröder (CDU)",73675
"Kurt Schumacher",73151
"Schwarze",72647
"Manifest Destiny",72557
"Adrian Ursache",72496
"Politische Korrektheit",71614
"Bundesministerium der Justiz und für Verbraucherschutz",71589
"Linksliberalismus",71420
"Hermann Gröhe",70779
"Philipp Mißfelder",70720
"Dietmar Bartsch",70656
"Restauration (Geschichte)",69735
"Cumhuriyet Halk Partisi",69649
"Sozialistengesetz",69194
"Wolfgang Thierse",68849
"Sozialistischer Bruderkuss",68727
"Bernhard Vogel (Ministerpräsident)",68708
"Thomas Oppermann (Politiker)",68370
"Pariser Kommune",68328
"Sabine Leutheusser-Schnarrenberger",68046
"Ole von Beust",67240
"Amtsbezeichnungen der Bundespolizei",66781
"Bundesministerium für Gesundheit (Deutschland)",66638
"Hannelore Kraft",66409
"Nationalstaat",65927
"Deutsche Volkspartei",65843
"McCarthy-Ära",65602
"Hans-Peter Friedrich",65493
"Peter Struck",65461
"Präsident des Bundesrates (Deutschland)",65457
"Antideutsche",65141
"Valknut",64582
"Gerhart Baum",64259
"Willy Wimmer",63675
"Kabinett Schröder I",63173
"Ronald Pofalla",63125
"Trennung zwischen Staat und religiösen Institutionen",63068
"Konstantin von Notz",62616
"Ferdinand Lassalle",62052
"Otto Graf Lambsdorff",61888
"Unsichtbare Hand",61801
"Sevim Dağdelen",61255
"Uschi Disl",61066
"Volker Beck",61063
"Johanna Wanka",61006
"Ulrike Trebesius",60048
"Statistisches Bundesamt",59741
"Heide Simonis",59654
"Brigitte Zypries",59641
"Wirtschaftsliberalismus",59621
"Bendlerblock",59547
"Stephan Weil",58538
"Tobias Schweinsteiger",58238
"Wolfgang Clement",58037
"Michael Seidenbecher",57582
"African National Congress",57440
"Beweissicherungs- und Festnahmeeinheit",56137
"Staatenloser",56098
"Egon Bahr",55783
"Bundesministerium für Ernährung und Landwirtschaft",55602
"Peter Gauweiler",55099
"Kurt Beck",55093
"Karl Carstens",54917
"Ernst Albrecht",54910
"Township (Südafrika)",54561
"Fascis",54449
"Journalistenwatch",54198
"Hammer und Sichel",54148
"Deutsche Partei",54109
"Wolfgang Tiefensee",54089
"Rainer Barzel",54041
"Bundeszentrale für politische Bildung",53635
"Hermann Otto Solms",53324
"Jennifer Oeser",53171
"Extremismus",53153
"Hans Filbinger",52883
"Demokratischer Sozialismus",52665
"Klaus Kinkel",52128
"Niels Annen",51972
