User,Edited Articles,Total Edits,Total Minors
AF666,58,3079,410
Benatrevqre,98,2479,879
Jesusfreund,30,2418,553
Ulitz,58,2074,655
Aka,247,1984,1972
TMFS,112,1851,531
Miltrak,101,1792,7
Kopilot,24,1630,229
Phi,87,1469,326
JosFritz,47,1326,605
Mogelzahn,112,1313,717
DerSalamander,34,1151,661
Zusasa,2,1137,1
Sargoth,56,1130,553
Qualiabavariae,39,1108,37
Antaios,17,1105,461
Rita2008,83,1045,73
In dubio pro dubio,46,1014,926
Lukati,12,1001,100
EH⁴²,64,995,303
Anglo-Araneophilus,1,980,270
Southpark,100,958,730
Zaphiro,78,948,887
Berlin-Jurist,57,926,307
Hardenacke,103,917,708
Neun-x,144,892,91
Horst Gräbner,192,863,613
Dioskorides,13,842,141
Tohma,96,817,110
Pittimann,172,798,744
ElTres,31,774,77
Leit,94,760,364
Nuuk,93,753,350
Gustav von Aschenbach,129,716,502
Regi51,177,701,687
Olaf Kosinsky,109,674,158
Zwobot,157,637,630
Armin P.,83,629,492
Feliks,44,599,17
GiordanoBruno,28,587,203
EBB,52,578,450
Arcy,25,576,55
Unscheinbar,99,567,381
Phantom,28,556,279
Alkim Y,45,539,183
Q-ß,9,523,125
Ktiv,1,523,64
Boris Fernbacher,18,517,39
BurghardRichter,49,514,279
Lettres,49,482,96
Allonsenfants,5,460,15
Über-Blick,90,452,9
Fossa,58,452,65
RoBri,147,451,317
Luckas-bot,153,448,448
Boshomi,152,432,133
Hao Xi,19,427,263
Verzettelung,41,422,284
Gonzo Greyskull,39,401,75
Niggo911,18,400,94
HaeB,80,399,164
Smoking Joe,3,398,135
Ot,104,397,211
Iseebias,1,396,0
Itti,129,394,368
Xqbot,130,383,383
Sir James,58,380,243
J. Patrick Fischer,23,379,114
Felix König,89,371,224
Nerd,27,367,195
N.Eschenhagen,62,366,93
Sir,71,363,248
Seewolf,134,358,312
Cyve,47,357,39
Eishöhle,27,354,260
Skriptor,48,349,186
Msuess,5,347,324
imported>Deeceevoice,1,346,6
Andropov,62,345,55
Dietrich,44,344,26
Nils Freiheit,4,344,164
D,79,342,284
Spuk968,109,341,326
Kängurutatze,31,339,27
Ziko,88,336,8
Volkstribun 2.0,34,333,131
Herr Andrax,29,331,77
Scooter,119,325,208
GS,16,325,55
Stefan64,83,322,204
Schilderwaldmeister,23,321,93
Dr. Manuel,20,320,74
Mediatus,5,315,314
Olag,16,314,41
Karsten11,91,313,67
Luke081515Bot,139,312,0
Pelz,141,309,228
Kleiner Stampfi,33,309,101
Peter200,109,303,287
Alnilam,115,296,265
HerbertErwin,10,294,205
Jivee Blau,119,293,249
Rmcharb,109,293,176
MAY,67,293,6
Agathenon,46,286,130
PsY.cHo,65,280,279
InternetArchiveBot,163,277,0
Sava,10,272,42
Chef,34,271,140
Rusti,38,268,0
Natsu Dragoneel,72,267,181
Jergen,85,263,160
Toter Alter Mann,36,263,212
Zollernalb,94,262,254
Zollstock,21,262,0
Logograph,101,261,199
House1630,54,260,66
Sebbot,120,259,55
Braveheart,35,259,92
Abe Lincoln,35,258,38
Alberto568,15,257,60
Fiona B.,15,257,67
JD,35,256,175
Häuslebauer,21,255,41
SieBot,93,253,250
LKD,79,253,250
Jed,111,252,233
Str1977,50,252,20
FelMol,12,252,22
Stefan Kühn,108,251,190
Nicola,18,250,24
Yoda1893,68,248,57
Mannerheim,39,248,79
DerHexer,98,247,204
EmausBot,129,245,245
Altaripensis,28,245,64
JFH-52,75,243,186
Simplicius,31,243,23
GuterSoldat,20,242,23
Nicholas Urquhart,1,240,0
SamWinchester000,66,239,2
KastusK,57,239,3
Schnabeltassentier,112,236,140
Lley,24,236,87
Vsop,21,236,43
Niedergrund,15,232,99
Elektrofisch,8,232,24
Q'Alex,27,231,84
CommonsDelinker,93,230,143
imported>Zaphnathpaaneah,1,229,0
Diba,83,227,216
KorrekTOM,30,226,151
RobotQuistnix,95,225,225
Anima,29,225,108
3mnaPashkan,9,225,1
Alstersegler,33,222,0
Waldersee,14,222,130
Ute Erb,78,221,217
33cln33,34,221,131
Gabel1960,18,220,26
FlaBot,105,218,184
Giftmischer,103,217,198
Giro,21,217,64
Kuebi,66,216,84
C.Löser,57,216,107
Serols,91,215,211
Tsui,38,215,94
David Wintzer,68,214,195
Krakatau,5,214,68
Janjonas,29,213,197
Lektor w,28,213,56
imported>Muntuwandi,1,212,0
Richard Lenzen,51,210,195
VolkovBot,101,209,209
Anti.,43,209,53
Schwarze Feder,12,209,16
WAH,90,205,96
Tfjt,31,205,133
Thijs!bot,102,203,203
Carolus.Abraxas,14,203,41
He3nry,95,201,186
Howwi,84,199,175
Sprachpfleger,73,199,131
Hybscher,9,197,36
Eike sauer,23,196,71
Komischn,80,195,185
Jensbest,25,194,27
Kplasa,1,194,7
Zeno Gantner,76,193,148
212.118.216.43,29,193,0
Jocian,19,192,136
Mr. Mustard,15,192,35
imported>Editingoprah,1,191,0
Sirdon,29,190,29
Ich901,5,190,0
Altsprachenfreund,75,188,107
Blunt.,43,188,121
Nemissimo,33,188,22
Fräggel,31,188,23
MAGISTER,3,188,132
MorbZ-Bot,132,187,187
Ekab,17,187,16
TXiKiBoT,89,185,185
Tönjes,80,185,139
AHZ,70,185,93
Inkowik,92,182,166
Atomiccocktail,40,182,31
Ezeu,1,182,0
Connoisseur of politics,27,179,107
Livani,15,178,16
Barb,14,178,117
Pass3456,17,177,2
M. Yasan,16,175,52
Bene16,42,173,77
Hansele,48,170,16
Pfieffer Latsch,56,169,33
Perrak,51,169,28
Thorbjoern,50,169,66
Times,30,169,44
Horst-schlaemma,46,168,47
Slökmann,85,166,109
Pittigrilli,13,166,22
Philraith12,5,166,68
Invisigoth67,113,165,125
Berichtbestatter,19,165,28
Snoopy1964,75,164,155
WeiterWeg,26,164,16
imported>Halaqah,1,163,0
Buchbibliothek,70,162,86
Complex,69,161,147
Triebtäter,67,161,12
Carol.Christiansen,66,160,143
Marcus Cyron,69,159,125
Filterkaffee,43,157,88
Rosenkohl,30,157,26
OB-LA-DI,10,157,35
Jón,62,156,79
Meier99,16,155,139
Lysippos,3,155,15
Asthma,75,154,70
Stefanbw,61,153,0
Zinnmann,41,153,97
分液漏斗,12,153,146
WinfriedSchneider,45,152,111
Bungert55,11,152,64
Johannes Rohr,2,152,30
Wiegels,89,151,123
Ralf Roletschek,50,150,32
Anton-Josef,38,149,144
Nicolai P.,36,149,40
Dandelo,78,148,70
Brodkey65,45,148,82
Tets,25,148,56
Wikifreund,50,147,22
Prüm,46,147,97
Informationswiedergutmachung,86,146,95
Tsor,66,146,106
Excolis,50,145,38
Wo st 01,24,144,59
Ephraim33,88,143,0
Felix Stember,65,143,106
Lectorium,16,143,5
Sinn,57,142,79
Politics,22,142,43
YurikBot,84,141,140
Se4598,62,141,140
Jesi,82,140,3
Roentgenium111,37,140,44
Orik,19,140,24
Kryobob,2,140,17
Andy king50,72,139,87
JAnDbot,62,139,136
Harry8,59,139,67
Anathema,53,139,99
Malabon,51,139,107
Eisbaer44,31,139,112
Engie,70,138,128
Stern,49,138,43
WhoisWhoME,10,138,21
Krdbot,108,137,67
Hubertl,57,137,81
Sol1,47,137,71
Cartinal,31,137,76
111Alpha,17,137,21
KL052,35,136,33
Florian.Keßler,74,135,108
Der.Traeumer,72,135,109
Alexander Leischner,6,135,100
ZéroBot,98,134,134
Tobias1983,73,134,87
Khatschaturjan,41,134,9
H-stt,23,134,43
Kleiner Tiger,5,134,58
Markobr,67,132,126
Mathias Schindler,62,132,128
Holger1974,46,131,4
Emmridet,40,131,121
Pinneberg,11,131,59
GrouchoBot,82,130,130
Saidmann,11,130,22
